"","P","n","parameter","data_size"
"1",NA,NA,NA,NA
"2",0.01,9,"fiducial-n",10
"3",0.01,12,"fiducial-n",10
"4",0.01,12,"fiducial-n",10
"5",0.01,27,"fiducial-n",10
"6",0.01,31,"fiducial-n",10
"7",0.01,21,"fiducial-n",10
"8",0.01,11,"fiducial-n",10
"9",0.01,13,"fiducial-n",10
"10",0.01,37,"fiducial-n",10
"11",0.01,4,"fiducial-n",10
"12",0.01,53,"fiducial-n",10
"13",0.01,8,"fiducial-n",10
"14",0.01,12,"fiducial-n",10
"15",0.01,41,"fiducial-n",10
"16",0.01,16,"fiducial-n",10
"17",0.01,31,"fiducial-n",10
"18",0.01,14,"fiducial-n",10
"19",0.01,41,"fiducial-n",10
"20",0.01,38,"fiducial-n",10
"21",0.01,15,"fiducial-n",10
"22",0.01,14,"fiducial-n",10
"23",0.01,58,"fiducial-n",10
"24",0.01,14,"fiducial-n",10
"25",0.01,55,"fiducial-n",10
"26",0.01,24,"fiducial-n",10
"27",0.01,44,"fiducial-n",10
"28",0.01,38,"fiducial-n",10
"29",0.01,29,"fiducial-n",10
"30",0.01,11,"fiducial-n",10
"31",0.01,8,"fiducial-n",10
"32",0.01,18,"fiducial-n",10
"33",0.01,50,"fiducial-n",10
"34",0.01,8,"fiducial-n",10
"35",0.01,9,"fiducial-n",10
"36",0.01,23,"fiducial-n",10
"37",0.01,35,"fiducial-n",10
"38",0.01,43,"fiducial-n",10
"39",0.01,69,"fiducial-n",10
"40",0.01,59,"fiducial-n",10
"41",0.01,16,"fiducial-n",10
"42",0.01,7,"fiducial-n",10
"43",0.01,8,"fiducial-n",10
"44",0.01,15,"fiducial-n",10
"45",0.01,9,"fiducial-n",10
"46",0.01,6,"fiducial-n",10
"47",0.01,21,"fiducial-n",10
"48",0.01,11,"fiducial-n",10
"49",0.01,24,"fiducial-n",10
"50",0.01,105,"fiducial-n",10
"51",0.01,11,"fiducial-n",10
"52",0.01,9,"fiducial-n",10
"53",0.01,26,"fiducial-n",10
"54",0.01,15,"fiducial-n",10
"55",0.01,7,"fiducial-n",10
"56",0.01,10,"fiducial-n",10
"57",0.01,42,"fiducial-n",10
"58",0.01,10,"fiducial-n",10
"59",0.01,63,"fiducial-n",10
"60",0.01,13,"fiducial-n",10
"61",0.01,16,"fiducial-n",10
"62",0.01,13,"fiducial-n",10
"63",0.01,21,"fiducial-n",10
"64",0.01,31,"fiducial-n",10
"65",0.01,15,"fiducial-n",10
"66",0.01,5,"fiducial-n",10
"67",0.01,16,"fiducial-n",10
"68",0.01,12,"fiducial-n",10
"69",0.01,31,"fiducial-n",10
"70",0.01,8,"fiducial-n",10
"71",0.01,19,"fiducial-n",10
"72",0.01,54,"fiducial-n",10
"73",0.01,13,"fiducial-n",10
"74",0.01,13,"fiducial-n",10
"75",0.01,6,"fiducial-n",10
"76",0.01,15,"fiducial-n",10
"77",0.01,47,"fiducial-n",10
"78",0.01,10,"fiducial-n",10
"79",0.01,18,"fiducial-n",10
"80",0.01,15,"fiducial-n",10
"81",0.01,15,"fiducial-n",10
"82",0.01,16,"fiducial-n",10
"83",0.01,66,"fiducial-n",10
"84",0.01,35,"fiducial-n",10
"85",0.01,45,"fiducial-n",10
"86",0.01,9,"fiducial-n",10
"87",0.01,12,"fiducial-n",10
"88",0.01,22,"fiducial-n",10
"89",0.01,6,"fiducial-n",10
"90",0.01,30,"fiducial-n",10
"91",0.01,3,"fiducial-n",10
"92",0.01,22,"fiducial-n",10
"93",0.01,18,"fiducial-n",10
"94",0.01,52,"fiducial-n",10
"95",0.01,50,"fiducial-n",10
"96",0.01,27,"fiducial-n",10
"97",0.01,38,"fiducial-n",10
"98",0.01,21,"fiducial-n",10
"99",0.01,22,"fiducial-n",10
"100",0.01,27,"fiducial-n",10
"101",0.01,33,"fiducial-n",10
"102",0.01,44,"bayesian-n",10
"103",0.01,34,"bayesian-n",10
"104",0.01,40,"bayesian-n",10
"105",0.01,13,"bayesian-n",10
"106",0.01,21,"bayesian-n",10
"107",0.01,24,"bayesian-n",10
"108",0.01,12,"bayesian-n",10
"109",0.01,27,"bayesian-n",10
"110",0.01,40,"bayesian-n",10
"111",0.01,20,"bayesian-n",10
"112",0.01,7,"bayesian-n",10
"113",0.01,42,"bayesian-n",10
"114",0.01,15,"bayesian-n",10
"115",0.01,37,"bayesian-n",10
"116",0.01,16,"bayesian-n",10
"117",0.01,57,"bayesian-n",10
"118",0.01,27,"bayesian-n",10
"119",0.01,9,"bayesian-n",10
"120",0.01,12,"bayesian-n",10
"121",0.01,29,"bayesian-n",10
"122",0.01,2,"bayesian-n",10
"123",0.01,67,"bayesian-n",10
"124",0.01,41,"bayesian-n",10
"125",0.01,47,"bayesian-n",10
"126",0.01,40,"bayesian-n",10
"127",0.01,15,"bayesian-n",10
"128",0.01,26,"bayesian-n",10
"129",0.01,48,"bayesian-n",10
"130",0.01,24,"bayesian-n",10
"131",0.01,20,"bayesian-n",10
"132",0.01,37,"bayesian-n",10
"133",0.01,14,"bayesian-n",10
"134",0.01,25,"bayesian-n",10
"135",0.01,67,"bayesian-n",10
"136",0.01,48,"bayesian-n",10
"137",0.01,36,"bayesian-n",10
"138",0.01,24,"bayesian-n",10
"139",0.01,26,"bayesian-n",10
"140",0.01,5,"bayesian-n",10
"141",0.01,31,"bayesian-n",10
"142",0.01,20,"bayesian-n",10
"143",0.01,40,"bayesian-n",10
"144",0.01,38,"bayesian-n",10
"145",0.01,37,"bayesian-n",10
"146",0.01,47,"bayesian-n",10
"147",0.01,27,"bayesian-n",10
"148",0.01,33,"bayesian-n",10
"149",0.01,30,"bayesian-n",10
"150",0.01,30,"bayesian-n",10
"151",0.01,23,"bayesian-n",10
"152",0.01,73,"bayesian-n",10
"153",0.01,25,"bayesian-n",10
"154",0.01,26,"bayesian-n",10
"155",0.01,37,"bayesian-n",10
"156",0.01,24,"bayesian-n",10
"157",0.01,38,"bayesian-n",10
"158",0.01,13,"bayesian-n",10
"159",0.01,23,"bayesian-n",10
"160",0.01,16,"bayesian-n",10
"161",0.01,45,"bayesian-n",10
"162",0.01,24,"bayesian-n",10
"163",0.01,11,"bayesian-n",10
"164",0.01,15,"bayesian-n",10
"165",0.01,12,"bayesian-n",10
"166",0.01,33,"bayesian-n",10
"167",0.01,18,"bayesian-n",10
"168",0.01,30,"bayesian-n",10
"169",0.01,40,"bayesian-n",10
"170",0.01,37,"bayesian-n",10
"171",0.01,62,"bayesian-n",10
"172",0.01,21,"bayesian-n",10
"173",0.01,18,"bayesian-n",10
"174",0.01,77,"bayesian-n",10
"175",0.01,17,"bayesian-n",10
"176",0.01,13,"bayesian-n",10
"177",0.01,57,"bayesian-n",10
"178",0.01,36,"bayesian-n",10
"179",0.01,15,"bayesian-n",10
"180",0.01,8,"bayesian-n",10
"181",0.01,21,"bayesian-n",10
"182",0.01,14,"bayesian-n",10
"183",0.01,32,"bayesian-n",10
"184",0.01,16,"bayesian-n",10
"185",0.01,12,"bayesian-n",10
"186",0.01,30,"bayesian-n",10
"187",0.01,9,"bayesian-n",10
"188",0.01,21,"bayesian-n",10
"189",0.01,22,"bayesian-n",10
"190",0.01,27,"bayesian-n",10
"191",0.01,46,"bayesian-n",10
"192",0.01,23,"bayesian-n",10
"193",0.01,17,"bayesian-n",10
"194",0.01,51,"bayesian-n",10
"195",0.01,18,"bayesian-n",10
"196",0.01,28,"bayesian-n",10
"197",0.01,9,"bayesian-n",10
"198",0.01,39,"bayesian-n",10
"199",0.01,36,"bayesian-n",10
"200",0.01,8,"bayesian-n",10
"201",0.01,122,"bayesian-n",10
"202",0.01,12,"fiducial-n",50
"203",0.01,11,"fiducial-n",50
"204",0.01,8,"fiducial-n",50
"205",0.01,10,"fiducial-n",50
"206",0.01,8,"fiducial-n",50
"207",0.01,11,"fiducial-n",50
"208",0.01,12,"fiducial-n",50
"209",0.01,9,"fiducial-n",50
"210",0.01,8,"fiducial-n",50
"211",0.01,19,"fiducial-n",50
"212",0.01,18,"fiducial-n",50
"213",0.01,12,"fiducial-n",50
"214",0.01,9,"fiducial-n",50
"215",0.01,27,"fiducial-n",50
"216",0.01,9,"fiducial-n",50
"217",0.01,7,"fiducial-n",50
"218",0.01,20,"fiducial-n",50
"219",0.01,16,"fiducial-n",50
"220",0.01,7,"fiducial-n",50
"221",0.01,6,"fiducial-n",50
"222",0.01,16,"fiducial-n",50
"223",0.01,20,"fiducial-n",50
"224",0.01,6,"fiducial-n",50
"225",0.01,10,"fiducial-n",50
"226",0.01,20,"fiducial-n",50
"227",0.01,11,"fiducial-n",50
"228",0.01,18,"fiducial-n",50
"229",0.01,12,"fiducial-n",50
"230",0.01,12,"fiducial-n",50
"231",0.01,8,"fiducial-n",50
"232",0.01,17,"fiducial-n",50
"233",0.01,12,"fiducial-n",50
"234",0.01,10,"fiducial-n",50
"235",0.01,11,"fiducial-n",50
"236",0.01,17,"fiducial-n",50
"237",0.01,15,"fiducial-n",50
"238",0.01,5,"fiducial-n",50
"239",0.01,9,"fiducial-n",50
"240",0.01,7,"fiducial-n",50
"241",0.01,8,"fiducial-n",50
"242",0.01,9,"fiducial-n",50
"243",0.01,10,"fiducial-n",50
"244",0.01,12,"fiducial-n",50
"245",0.01,13,"fiducial-n",50
"246",0.01,17,"fiducial-n",50
"247",0.01,9,"fiducial-n",50
"248",0.01,12,"fiducial-n",50
"249",0.01,12,"fiducial-n",50
"250",0.01,6,"fiducial-n",50
"251",0.01,12,"fiducial-n",50
"252",0.01,8,"fiducial-n",50
"253",0.01,12,"fiducial-n",50
"254",0.01,3,"fiducial-n",50
"255",0.01,6,"fiducial-n",50
"256",0.01,14,"fiducial-n",50
"257",0.01,6,"fiducial-n",50
"258",0.01,20,"fiducial-n",50
"259",0.01,12,"fiducial-n",50
"260",0.01,8,"fiducial-n",50
"261",0.01,7,"fiducial-n",50
"262",0.01,8,"fiducial-n",50
"263",0.01,13,"fiducial-n",50
"264",0.01,15,"fiducial-n",50
"265",0.01,11,"fiducial-n",50
"266",0.01,26,"fiducial-n",50
"267",0.01,10,"fiducial-n",50
"268",0.01,16,"fiducial-n",50
"269",0.01,21,"fiducial-n",50
"270",0.01,14,"fiducial-n",50
"271",0.01,9,"fiducial-n",50
"272",0.01,10,"fiducial-n",50
"273",0.01,9,"fiducial-n",50
"274",0.01,4,"fiducial-n",50
"275",0.01,6,"fiducial-n",50
"276",0.01,31,"fiducial-n",50
"277",0.01,10,"fiducial-n",50
"278",0.01,10,"fiducial-n",50
"279",0.01,12,"fiducial-n",50
"280",0.01,14,"fiducial-n",50
"281",0.01,22,"fiducial-n",50
"282",0.01,18,"fiducial-n",50
"283",0.01,14,"fiducial-n",50
"284",0.01,12,"fiducial-n",50
"285",0.01,15,"fiducial-n",50
"286",0.01,18,"fiducial-n",50
"287",0.01,14,"fiducial-n",50
"288",0.01,9,"fiducial-n",50
"289",0.01,10,"fiducial-n",50
"290",0.01,20,"fiducial-n",50
"291",0.01,6,"fiducial-n",50
"292",0.01,21,"fiducial-n",50
"293",0.01,8,"fiducial-n",50
"294",0.01,28,"fiducial-n",50
"295",0.01,17,"fiducial-n",50
"296",0.01,14,"fiducial-n",50
"297",0.01,14,"fiducial-n",50
"298",0.01,13,"fiducial-n",50
"299",0.01,17,"fiducial-n",50
"300",0.01,14,"fiducial-n",50
"301",0.01,28,"fiducial-n",50
"302",0.01,11,"bayesian-n",50
"303",0.01,17,"bayesian-n",50
"304",0.01,17,"bayesian-n",50
"305",0.01,12,"bayesian-n",50
"306",0.01,14,"bayesian-n",50
"307",0.01,11,"bayesian-n",50
"308",0.01,9,"bayesian-n",50
"309",0.01,11,"bayesian-n",50
"310",0.01,17,"bayesian-n",50
"311",0.01,14,"bayesian-n",50
"312",0.01,17,"bayesian-n",50
"313",0.01,13,"bayesian-n",50
"314",0.01,17,"bayesian-n",50
"315",0.01,15,"bayesian-n",50
"316",0.01,17,"bayesian-n",50
"317",0.01,7,"bayesian-n",50
"318",0.01,13,"bayesian-n",50
"319",0.01,8,"bayesian-n",50
"320",0.01,15,"bayesian-n",50
"321",0.01,12,"bayesian-n",50
"322",0.01,14,"bayesian-n",50
"323",0.01,12,"bayesian-n",50
"324",0.01,16,"bayesian-n",50
"325",0.01,11,"bayesian-n",50
"326",0.01,18,"bayesian-n",50
"327",0.01,12,"bayesian-n",50
"328",0.01,9,"bayesian-n",50
"329",0.01,12,"bayesian-n",50
"330",0.01,19,"bayesian-n",50
"331",0.01,14,"bayesian-n",50
"332",0.01,9,"bayesian-n",50
"333",0.01,9,"bayesian-n",50
"334",0.01,6,"bayesian-n",50
"335",0.01,18,"bayesian-n",50
"336",0.01,10,"bayesian-n",50
"337",0.01,12,"bayesian-n",50
"338",0.01,11,"bayesian-n",50
"339",0.01,12,"bayesian-n",50
"340",0.01,13,"bayesian-n",50
"341",0.01,15,"bayesian-n",50
"342",0.01,20,"bayesian-n",50
"343",0.01,10,"bayesian-n",50
"344",0.01,8,"bayesian-n",50
"345",0.01,15,"bayesian-n",50
"346",0.01,10,"bayesian-n",50
"347",0.01,8,"bayesian-n",50
"348",0.01,12,"bayesian-n",50
"349",0.01,15,"bayesian-n",50
"350",0.01,9,"bayesian-n",50
"351",0.01,16,"bayesian-n",50
"352",0.01,26,"bayesian-n",50
"353",0.01,15,"bayesian-n",50
"354",0.01,12,"bayesian-n",50
"355",0.01,10,"bayesian-n",50
"356",0.01,17,"bayesian-n",50
"357",0.01,13,"bayesian-n",50
"358",0.01,13,"bayesian-n",50
"359",0.01,11,"bayesian-n",50
"360",0.01,10,"bayesian-n",50
"361",0.01,15,"bayesian-n",50
"362",0.01,23,"bayesian-n",50
"363",0.01,10,"bayesian-n",50
"364",0.01,7,"bayesian-n",50
"365",0.01,15,"bayesian-n",50
"366",0.01,10,"bayesian-n",50
"367",0.01,16,"bayesian-n",50
"368",0.01,11,"bayesian-n",50
"369",0.01,13,"bayesian-n",50
"370",0.01,8,"bayesian-n",50
"371",0.01,22,"bayesian-n",50
"372",0.01,15,"bayesian-n",50
"373",0.01,10,"bayesian-n",50
"374",0.01,21,"bayesian-n",50
"375",0.01,9,"bayesian-n",50
"376",0.01,19,"bayesian-n",50
"377",0.01,12,"bayesian-n",50
"378",0.01,14,"bayesian-n",50
"379",0.01,13,"bayesian-n",50
"380",0.01,6,"bayesian-n",50
"381",0.01,8,"bayesian-n",50
"382",0.01,15,"bayesian-n",50
"383",0.01,11,"bayesian-n",50
"384",0.01,14,"bayesian-n",50
"385",0.01,18,"bayesian-n",50
"386",0.01,14,"bayesian-n",50
"387",0.01,10,"bayesian-n",50
"388",0.01,19,"bayesian-n",50
"389",0.01,15,"bayesian-n",50
"390",0.01,8,"bayesian-n",50
"391",0.01,18,"bayesian-n",50
"392",0.01,10,"bayesian-n",50
"393",0.01,17,"bayesian-n",50
"394",0.01,12,"bayesian-n",50
"395",0.01,19,"bayesian-n",50
"396",0.01,12,"bayesian-n",50
"397",0.01,20,"bayesian-n",50
"398",0.01,10,"bayesian-n",50
"399",0.01,7,"bayesian-n",50
"400",0.01,16,"bayesian-n",50
"401",0.01,14,"bayesian-n",50
"402",0.01,12,"fiducial-n",100
"403",0.01,9,"fiducial-n",100
"404",0.01,15,"fiducial-n",100
"405",0.01,19,"fiducial-n",100
"406",0.01,13,"fiducial-n",100
"407",0.01,9,"fiducial-n",100
"408",0.01,11,"fiducial-n",100
"409",0.01,9,"fiducial-n",100
"410",0.01,9,"fiducial-n",100
"411",0.01,13,"fiducial-n",100
"412",0.01,18,"fiducial-n",100
"413",0.01,20,"fiducial-n",100
"414",0.01,27,"fiducial-n",100
"415",0.01,12,"fiducial-n",100
"416",0.01,17,"fiducial-n",100
"417",0.01,12,"fiducial-n",100
"418",0.01,10,"fiducial-n",100
"419",0.01,13,"fiducial-n",100
"420",0.01,17,"fiducial-n",100
"421",0.01,11,"fiducial-n",100
"422",0.01,12,"fiducial-n",100
"423",0.01,16,"fiducial-n",100
"424",0.01,12,"fiducial-n",100
"425",0.01,10,"fiducial-n",100
"426",0.01,14,"fiducial-n",100
"427",0.01,17,"fiducial-n",100
"428",0.01,12,"fiducial-n",100
"429",0.01,16,"fiducial-n",100
"430",0.01,12,"fiducial-n",100
"431",0.01,12,"fiducial-n",100
"432",0.01,22,"fiducial-n",100
"433",0.01,11,"fiducial-n",100
"434",0.01,15,"fiducial-n",100
"435",0.01,21,"fiducial-n",100
"436",0.01,10,"fiducial-n",100
"437",0.01,14,"fiducial-n",100
"438",0.01,14,"fiducial-n",100
"439",0.01,8,"fiducial-n",100
"440",0.01,11,"fiducial-n",100
"441",0.01,12,"fiducial-n",100
"442",0.01,10,"fiducial-n",100
"443",0.01,16,"fiducial-n",100
"444",0.01,16,"fiducial-n",100
"445",0.01,13,"fiducial-n",100
"446",0.01,13,"fiducial-n",100
"447",0.01,13,"fiducial-n",100
"448",0.01,10,"fiducial-n",100
"449",0.01,13,"fiducial-n",100
"450",0.01,14,"fiducial-n",100
"451",0.01,14,"fiducial-n",100
"452",0.01,9,"fiducial-n",100
"453",0.01,16,"fiducial-n",100
"454",0.01,11,"fiducial-n",100
"455",0.01,10,"fiducial-n",100
"456",0.01,19,"fiducial-n",100
"457",0.01,11,"fiducial-n",100
"458",0.01,11,"fiducial-n",100
"459",0.01,21,"fiducial-n",100
"460",0.01,14,"fiducial-n",100
"461",0.01,12,"fiducial-n",100
"462",0.01,13,"fiducial-n",100
"463",0.01,13,"fiducial-n",100
"464",0.01,11,"fiducial-n",100
"465",0.01,11,"fiducial-n",100
"466",0.01,11,"fiducial-n",100
"467",0.01,17,"fiducial-n",100
"468",0.01,13,"fiducial-n",100
"469",0.01,11,"fiducial-n",100
"470",0.01,16,"fiducial-n",100
"471",0.01,15,"fiducial-n",100
"472",0.01,11,"fiducial-n",100
"473",0.01,14,"fiducial-n",100
"474",0.01,12,"fiducial-n",100
"475",0.01,7,"fiducial-n",100
"476",0.01,18,"fiducial-n",100
"477",0.01,17,"fiducial-n",100
"478",0.01,16,"fiducial-n",100
"479",0.01,11,"fiducial-n",100
"480",0.01,9,"fiducial-n",100
"481",0.01,16,"fiducial-n",100
"482",0.01,12,"fiducial-n",100
"483",0.01,15,"fiducial-n",100
"484",0.01,11,"fiducial-n",100
"485",0.01,16,"fiducial-n",100
"486",0.01,12,"fiducial-n",100
"487",0.01,13,"fiducial-n",100
"488",0.01,17,"fiducial-n",100
"489",0.01,15,"fiducial-n",100
"490",0.01,16,"fiducial-n",100
"491",0.01,14,"fiducial-n",100
"492",0.01,20,"fiducial-n",100
"493",0.01,15,"fiducial-n",100
"494",0.01,11,"fiducial-n",100
"495",0.01,10,"fiducial-n",100
"496",0.01,16,"fiducial-n",100
"497",0.01,13,"fiducial-n",100
"498",0.01,11,"fiducial-n",100
"499",0.01,14,"fiducial-n",100
"500",0.01,11,"fiducial-n",100
"501",0.01,14,"fiducial-n",100
"502",0.01,10,"bayesian-n",100
"503",0.01,17,"bayesian-n",100
"504",0.01,9,"bayesian-n",100
"505",0.01,15,"bayesian-n",100
"506",0.01,10,"bayesian-n",100
"507",0.01,11,"bayesian-n",100
"508",0.01,20,"bayesian-n",100
"509",0.01,20,"bayesian-n",100
"510",0.01,27,"bayesian-n",100
"511",0.01,17,"bayesian-n",100
"512",0.01,6,"bayesian-n",100
"513",0.01,14,"bayesian-n",100
"514",0.01,15,"bayesian-n",100
"515",0.01,15,"bayesian-n",100
"516",0.01,10,"bayesian-n",100
"517",0.01,16,"bayesian-n",100
"518",0.01,13,"bayesian-n",100
"519",0.01,13,"bayesian-n",100
"520",0.01,13,"bayesian-n",100
"521",0.01,12,"bayesian-n",100
"522",0.01,16,"bayesian-n",100
"523",0.01,13,"bayesian-n",100
"524",0.01,16,"bayesian-n",100
"525",0.01,13,"bayesian-n",100
"526",0.01,13,"bayesian-n",100
"527",0.01,14,"bayesian-n",100
"528",0.01,13,"bayesian-n",100
"529",0.01,9,"bayesian-n",100
"530",0.01,13,"bayesian-n",100
"531",0.01,15,"bayesian-n",100
"532",0.01,17,"bayesian-n",100
"533",0.01,14,"bayesian-n",100
"534",0.01,10,"bayesian-n",100
"535",0.01,14,"bayesian-n",100
"536",0.01,21,"bayesian-n",100
"537",0.01,16,"bayesian-n",100
"538",0.01,15,"bayesian-n",100
"539",0.01,13,"bayesian-n",100
"540",0.01,9,"bayesian-n",100
"541",0.01,15,"bayesian-n",100
"542",0.01,13,"bayesian-n",100
"543",0.01,9,"bayesian-n",100
"544",0.01,11,"bayesian-n",100
"545",0.01,14,"bayesian-n",100
"546",0.01,15,"bayesian-n",100
"547",0.01,15,"bayesian-n",100
"548",0.01,7,"bayesian-n",100
"549",0.01,15,"bayesian-n",100
"550",0.01,11,"bayesian-n",100
"551",0.01,8,"bayesian-n",100
"552",0.01,13,"bayesian-n",100
"553",0.01,10,"bayesian-n",100
"554",0.01,15,"bayesian-n",100
"555",0.01,14,"bayesian-n",100
"556",0.01,12,"bayesian-n",100
"557",0.01,15,"bayesian-n",100
"558",0.01,12,"bayesian-n",100
"559",0.01,19,"bayesian-n",100
"560",0.01,11,"bayesian-n",100
"561",0.01,16,"bayesian-n",100
"562",0.01,19,"bayesian-n",100
"563",0.01,15,"bayesian-n",100
"564",0.01,12,"bayesian-n",100
"565",0.01,14,"bayesian-n",100
"566",0.01,8,"bayesian-n",100
"567",0.01,15,"bayesian-n",100
"568",0.01,17,"bayesian-n",100
"569",0.01,11,"bayesian-n",100
"570",0.01,16,"bayesian-n",100
"571",0.01,18,"bayesian-n",100
"572",0.01,12,"bayesian-n",100
"573",0.01,12,"bayesian-n",100
"574",0.01,17,"bayesian-n",100
"575",0.01,11,"bayesian-n",100
"576",0.01,15,"bayesian-n",100
"577",0.01,16,"bayesian-n",100
"578",0.01,11,"bayesian-n",100
"579",0.01,12,"bayesian-n",100
"580",0.01,17,"bayesian-n",100
"581",0.01,15,"bayesian-n",100
"582",0.01,12,"bayesian-n",100
"583",0.01,6,"bayesian-n",100
"584",0.01,17,"bayesian-n",100
"585",0.01,14,"bayesian-n",100
"586",0.01,19,"bayesian-n",100
"587",0.01,13,"bayesian-n",100
"588",0.01,12,"bayesian-n",100
"589",0.01,8,"bayesian-n",100
"590",0.01,13,"bayesian-n",100
"591",0.01,10,"bayesian-n",100
"592",0.01,13,"bayesian-n",100
"593",0.01,16,"bayesian-n",100
"594",0.01,14,"bayesian-n",100
"595",0.01,15,"bayesian-n",100
"596",0.01,8,"bayesian-n",100
"597",0.01,13,"bayesian-n",100
"598",0.01,17,"bayesian-n",100
"599",0.01,12,"bayesian-n",100
"600",0.01,10,"bayesian-n",100
"601",0.01,7,"bayesian-n",100
"602",0.05,8,"fiducial-n",10
"603",0.05,14,"fiducial-n",10
"604",0.05,10,"fiducial-n",10
"605",0.05,10,"fiducial-n",10
"606",0.05,22,"fiducial-n",10
"607",0.05,31,"fiducial-n",10
"608",0.05,9,"fiducial-n",10
"609",0.05,19,"fiducial-n",10
"610",0.05,20,"fiducial-n",10
"611",0.05,6,"fiducial-n",10
"612",0.05,20,"fiducial-n",10
"613",0.05,11,"fiducial-n",10
"614",0.05,16,"fiducial-n",10
"615",0.05,11,"fiducial-n",10
"616",0.05,19,"fiducial-n",10
"617",0.05,10,"fiducial-n",10
"618",0.05,22,"fiducial-n",10
"619",0.05,10,"fiducial-n",10
"620",0.05,10,"fiducial-n",10
"621",0.05,13,"fiducial-n",10
"622",0.05,10,"fiducial-n",10
"623",0.05,16,"fiducial-n",10
"624",0.05,17,"fiducial-n",10
"625",0.05,8,"fiducial-n",10
"626",0.05,4,"fiducial-n",10
"627",0.05,5,"fiducial-n",10
"628",0.05,5,"fiducial-n",10
"629",0.05,17,"fiducial-n",10
"630",0.05,16,"fiducial-n",10
"631",0.05,16,"fiducial-n",10
"632",0.05,7,"fiducial-n",10
"633",0.05,16,"fiducial-n",10
"634",0.05,20,"fiducial-n",10
"635",0.05,18,"fiducial-n",10
"636",0.05,19,"fiducial-n",10
"637",0.05,16,"fiducial-n",10
"638",0.05,6,"fiducial-n",10
"639",0.05,8,"fiducial-n",10
"640",0.05,22,"fiducial-n",10
"641",0.05,16,"fiducial-n",10
"642",0.05,8,"fiducial-n",10
"643",0.05,9,"fiducial-n",10
"644",0.05,10,"fiducial-n",10
"645",0.05,9,"fiducial-n",10
"646",0.05,17,"fiducial-n",10
"647",0.05,6,"fiducial-n",10
"648",0.05,8,"fiducial-n",10
"649",0.05,12,"fiducial-n",10
"650",0.05,21,"fiducial-n",10
"651",0.05,13,"fiducial-n",10
"652",0.05,13,"fiducial-n",10
"653",0.05,6,"fiducial-n",10
"654",0.05,27,"fiducial-n",10
"655",0.05,24,"fiducial-n",10
"656",0.05,14,"fiducial-n",10
"657",0.05,16,"fiducial-n",10
"658",0.05,9,"fiducial-n",10
"659",0.05,8,"fiducial-n",10
"660",0.05,12,"fiducial-n",10
"661",0.05,20,"fiducial-n",10
"662",0.05,11,"fiducial-n",10
"663",0.05,14,"fiducial-n",10
"664",0.05,15,"fiducial-n",10
"665",0.05,19,"fiducial-n",10
"666",0.05,11,"fiducial-n",10
"667",0.05,9,"fiducial-n",10
"668",0.05,10,"fiducial-n",10
"669",0.05,14,"fiducial-n",10
"670",0.05,11,"fiducial-n",10
"671",0.05,9,"fiducial-n",10
"672",0.05,10,"fiducial-n",10
"673",0.05,16,"fiducial-n",10
"674",0.05,31,"fiducial-n",10
"675",0.05,10,"fiducial-n",10
"676",0.05,10,"fiducial-n",10
"677",0.05,16,"fiducial-n",10
"678",0.05,11,"fiducial-n",10
"679",0.05,16,"fiducial-n",10
"680",0.05,15,"fiducial-n",10
"681",0.05,17,"fiducial-n",10
"682",0.05,16,"fiducial-n",10
"683",0.05,17,"fiducial-n",10
"684",0.05,12,"fiducial-n",10
"685",0.05,10,"fiducial-n",10
"686",0.05,9,"fiducial-n",10
"687",0.05,16,"fiducial-n",10
"688",0.05,14,"fiducial-n",10
"689",0.05,18,"fiducial-n",10
"690",0.05,21,"fiducial-n",10
"691",0.05,11,"fiducial-n",10
"692",0.05,5,"fiducial-n",10
"693",0.05,15,"fiducial-n",10
"694",0.05,7,"fiducial-n",10
"695",0.05,24,"fiducial-n",10
"696",0.05,14,"fiducial-n",10
"697",0.05,19,"fiducial-n",10
"698",0.05,12,"fiducial-n",10
"699",0.05,10,"fiducial-n",10
"700",0.05,17,"fiducial-n",10
"701",0.05,13,"fiducial-n",10
"702",0.05,16,"bayesian-n",10
"703",0.05,21,"bayesian-n",10
"704",0.05,13,"bayesian-n",10
"705",0.05,11,"bayesian-n",10
"706",0.05,12,"bayesian-n",10
"707",0.05,10,"bayesian-n",10
"708",0.05,14,"bayesian-n",10
"709",0.05,22,"bayesian-n",10
"710",0.05,8,"bayesian-n",10
"711",0.05,16,"bayesian-n",10
"712",0.05,19,"bayesian-n",10
"713",0.05,5,"bayesian-n",10
"714",0.05,18,"bayesian-n",10
"715",0.05,11,"bayesian-n",10
"716",0.05,12,"bayesian-n",10
"717",0.05,22,"bayesian-n",10
"718",0.05,25,"bayesian-n",10
"719",0.05,13,"bayesian-n",10
"720",0.05,7,"bayesian-n",10
"721",0.05,10,"bayesian-n",10
"722",0.05,8,"bayesian-n",10
"723",0.05,16,"bayesian-n",10
"724",0.05,18,"bayesian-n",10
"725",0.05,17,"bayesian-n",10
"726",0.05,13,"bayesian-n",10
"727",0.05,23,"bayesian-n",10
"728",0.05,11,"bayesian-n",10
"729",0.05,13,"bayesian-n",10
"730",0.05,16,"bayesian-n",10
"731",0.05,10,"bayesian-n",10
"732",0.05,14,"bayesian-n",10
"733",0.05,13,"bayesian-n",10
"734",0.05,22,"bayesian-n",10
"735",0.05,5,"bayesian-n",10
"736",0.05,21,"bayesian-n",10
