"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,16.497,"fiducial-n",10,0.165,0.8
"3",0.01,20.845,"bayesian-n",10,0.062,0.925
"4",0.01,4.614,"fiducial-n",50,0.22,0.671
"5",0.01,5.114,"bayesian-n",50,0.192,0.726
"6",0.01,2.617,"fiducial-n",100,0.635,0.238
"7",0.01,2.474,"bayesian-n",100,0.611,0.266
"8",0.05,3.462,"fiducial-n",10,0.627,0.297
"9",0.05,3.414,"bayesian-n",10,0.523,0.394
"10",0.05,1.435,"fiducial-n",50,0.449,0.324
"11",0.05,1.448,"bayesian-n",50,0.445,0.342
"12",0.05,1.544,"fiducial-n",100,0.098,0.704
"13",0.05,1.534,"bayesian-n",100,0.102,0.702
"14",0.1,2.434,"fiducial-n",10,0.378,0.492
"15",0.1,2.493,"bayesian-n",10,0.352,0.523
"16",0.1,1.191,"fiducial-n",50,0.583,0.179
"17",0.1,1.143,"bayesian-n",50,0.567,0.173
"18",0.1,1.365,"fiducial-n",100,0.849,0.014
"19",0.1,1.385,"bayesian-n",100,0.853,0.014
"20",0.2,3.084,"fiducial-n",10,0.058,0.864
"21",0.2,3.065,"bayesian-n",10,0.049,0.869
"22",0.2,0.68,"fiducial-n",50,0.179,0.412
"23",0.2,0.704,"bayesian-n",50,0.168,0.407
"24",0.2,1.492,"fiducial-n",100,0.001,0.939
"25",0.2,1.472,"bayesian-n",100,0,0.949
"26",0.4,3.288,"fiducial-n",10,0.001,0.981
"27",0.4,3.162,"bayesian-n",10,0.001,0.986
"28",0.4,0.401,"fiducial-n",50,0.341,0.059
"29",0.4,0.367,"bayesian-n",50,0.317,0.048
"30",0.4,0.483,"fiducial-n",100,0.482,0.001
"31",0.4,0.528,"bayesian-n",100,0.528,0
"32",0.5,1.234,"fiducial-n",10,0.775,0.038
"33",0.5,1.256,"bayesian-n",10,0.779,0.035
"34",0.5,0.422,"fiducial-n",50,0.415,0.007
"35",0.5,0.427,"bayesian-n",50,0.423,0.003
"36",0.5,0.499,"fiducial-n",100,0.499,0
"37",0.5,0.497,"bayesian-n",100,0.497,0
"38",0.6,0.615,"fiducial-n",10,0.093,0.439
"39",0.6,0.626,"bayesian-n",10,0.101,0.444
"40",0.6,0.074,"fiducial-n",50,0.003,0.071
"41",0.6,0.073,"bayesian-n",50,0.002,0.071
"42",0.6,0,"fiducial-n",100,0,0
"43",0.6,0,"bayesian-n",100,0,0
"44",0.7,0.47,"fiducial-n",10,0.377,0.091
"45",0.7,0.453,"bayesian-n",10,0.356,0.095
"46",0.7,0.059,"fiducial-n",50,0.058,0.001
"47",0.7,0.07,"bayesian-n",50,0.069,0.001
"48",0.7,0.074,"fiducial-n",100,0.074,0
"49",0.7,0.076,"bayesian-n",100,0.076,0
"50",0.8,0.822,"fiducial-n",10,0,0.744
"51",0.8,0.821,"bayesian-n",10,0,0.753
"52",0.8,0,"fiducial-n",50,0,0
"53",0.8,0,"bayesian-n",50,0,0
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.013,"fiducial-n",10,0,0.013
"57",0.9,0.009,"bayesian-n",10,0,0.009
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0,"fiducial-n",10,0,0
"63",0.95,0,"bayesian-n",10,0,0
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
