"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,9.668,"fiducial-n",10,0.414,0.565
"3",0.01,13.155,"bayesian-n",10,0.233,0.736
"4",0.01,5.133,"fiducial-n",50,0.897,0.066
"5",0.01,4.627,"bayesian-n",50,0.852,0.101
"6",0.01,3.695,"fiducial-n",100,0.877,0.085
"7",0.01,3.476,"bayesian-n",100,0.843,0.088
"8",0.05,6.193,"fiducial-n",10,0.115,0.826
"9",0.05,6.454,"bayesian-n",10,0.105,0.845
"10",0.05,2.913,"fiducial-n",50,0.07,0.834
"11",0.05,2.882,"bayesian-n",50,0.048,0.853
"12",0.05,2.803,"fiducial-n",100,0.011,0.939
"13",0.05,2.867,"bayesian-n",100,0.015,0.932
"14",0.1,5.696,"fiducial-n",10,0.975,0.014
"15",0.1,5.295,"bayesian-n",10,0.979,0.01
"16",0.1,2.793,"fiducial-n",50,0.972,0.004
"17",0.1,2.817,"bayesian-n",50,0.973,0.003
"18",0.1,1.275,"fiducial-n",100,0.023,0.758
"19",0.1,1.253,"bayesian-n",100,0.037,0.764
"20",0.2,2.195,"fiducial-n",10,0.791,0.102
"21",0.2,2.103,"bayesian-n",10,0.765,0.13
"22",0.2,0.692,"fiducial-n",50,0.451,0.155
"23",0.2,0.693,"bayesian-n",50,0.442,0.152
"24",0.2,0.346,"fiducial-n",100,0.092,0.244
"25",0.2,0.394,"bayesian-n",100,0.143,0.236
"26",0.4,1.252,"fiducial-n",10,0.134,0.63
"27",0.4,1.172,"bayesian-n",10,0.117,0.612
"28",0.4,0.361,"fiducial-n",50,0.042,0.314
"29",0.4,0.344,"bayesian-n",50,0.026,0.308
"30",0.4,0.057,"fiducial-n",100,0.007,0.05
"31",0.4,0.069,"bayesian-n",100,0.019,0.05
"32",0.5,1.154,"fiducial-n",10,0.024,0.713
"33",0.5,1.227,"bayesian-n",10,0.024,0.751
"34",0.5,0.73,"fiducial-n",50,0,0.714
"35",0.5,0.698,"bayesian-n",50,0,0.68
"36",0.5,0.016,"fiducial-n",100,0,0.016
"37",0.5,0.021,"bayesian-n",100,0.001,0.02
"38",0.6,0.528,"fiducial-n",10,0.425,0.093
"39",0.6,0.551,"bayesian-n",10,0.434,0.11
"40",0.6,0.04,"fiducial-n",50,0.03,0.01
"41",0.6,0.043,"bayesian-n",50,0.03,0.013
"42",0.6,0.001,"fiducial-n",100,0,0.001
"43",0.6,0,"bayesian-n",100,0,0
"44",0.7,1.199,"fiducial-n",10,0,0.888
"45",0.7,1.194,"bayesian-n",10,0,0.909
"46",0.7,0.003,"fiducial-n",50,0,0.003
"47",0.7,0.001,"bayesian-n",50,0,0.001
"48",0.7,0.001,"fiducial-n",100,0,0.001
"49",0.7,0.001,"bayesian-n",100,0,0.001
"50",0.8,0.594,"fiducial-n",10,0,0.568
"51",0.8,0.58,"bayesian-n",10,0,0.56
"52",0.8,0,"fiducial-n",50,0,0
"53",0.8,0,"bayesian-n",50,0,0
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.873,"fiducial-n",10,0.873,0
"57",0.9,0.881,"bayesian-n",10,0.88,0.001
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0,"fiducial-n",10,0,0
"63",0.95,0.001,"bayesian-n",10,0,0.001
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
