"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,9.865,"fiducial-n",10,0.425,0.554
"3",0.01,12.04,"bayesian-n",10,0.227,0.74
"4",0.01,5.547,"fiducial-n",50,0.155,0.773
"5",0.01,6.618,"bayesian-n",50,0.125,0.834
"6",0.01,2.886,"fiducial-n",100,0.28,0.597
"7",0.01,3.229,"bayesian-n",100,0.236,0.679
"8",0.05,4.148,"fiducial-n",10,0.784,0.175
"9",0.05,3.907,"bayesian-n",10,0.729,0.201
"10",0.05,1.52,"fiducial-n",50,0.464,0.329
"11",0.05,1.467,"bayesian-n",50,0.469,0.323
"12",0.05,1.092,"fiducial-n",100,0.29,0.414
"13",0.05,1.054,"bayesian-n",100,0.278,0.414
"14",0.1,2.558,"fiducial-n",10,0.325,0.55
"15",0.1,2.717,"bayesian-n",10,0.302,0.572
"16",0.1,1.637,"fiducial-n",50,0.793,0.072
"17",0.1,1.534,"bayesian-n",50,0.768,0.072
"18",0.1,0.685,"fiducial-n",100,0.313,0.282
"19",0.1,0.684,"bayesian-n",100,0.3,0.271
"20",0.2,4.105,"fiducial-n",10,0.979,0.005
"21",0.2,4.151,"bayesian-n",10,0.984,0.003
"22",0.2,0.74,"fiducial-n",50,0.504,0.114
"23",0.2,0.753,"bayesian-n",50,0.535,0.092
"24",0.2,0.864,"fiducial-n",100,0.006,0.723
"25",0.2,0.862,"bayesian-n",100,0.013,0.714
"26",0.4,1.278,"fiducial-n",10,0.729,0.076
"27",0.4,1.249,"bayesian-n",10,0.706,0.084
"28",0.4,0.331,"fiducial-n",50,0.061,0.266
"29",0.4,0.316,"bayesian-n",50,0.046,0.263
"30",0.4,0.053,"fiducial-n",100,0.007,0.046
"31",0.4,0.063,"bayesian-n",100,0.008,0.055
"32",0.5,1.034,"fiducial-n",10,0.06,0.639
"33",0.5,1.045,"bayesian-n",10,0.074,0.639
"34",0.5,0.171,"fiducial-n",50,0.009,0.162
"35",0.5,0.195,"bayesian-n",50,0.023,0.172
"36",0.5,0.01,"fiducial-n",100,0.006,0.004
"37",0.5,0.017,"bayesian-n",100,0.008,0.009
"38",0.6,1.306,"fiducial-n",10,0.851,0.006
"39",0.6,1.337,"bayesian-n",10,0.874,0.013
"40",0.6,0.066,"fiducial-n",50,0.006,0.06
"41",0.6,0.076,"bayesian-n",50,0.005,0.071
"42",0.6,0.072,"fiducial-n",100,0.072,0
"43",0.6,0.065,"bayesian-n",100,0.065,0
"44",0.7,0.415,"fiducial-n",10,0.132,0.259
"45",0.7,0.418,"bayesian-n",10,0.126,0.269
"46",0.7,0.056,"fiducial-n",50,0,0.056
"47",0.7,0.058,"bayesian-n",50,0,0.058
"48",0.7,0.002,"fiducial-n",100,0,0.002
"49",0.7,0.006,"bayesian-n",100,0,0.006
"50",0.8,0.22,"fiducial-n",10,0.146,0.074
"51",0.8,0.195,"bayesian-n",10,0.123,0.071
"52",0.8,0,"fiducial-n",50,0,0
"53",0.8,0,"bayesian-n",50,0,0
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.026,"fiducial-n",10,0,0.026
"57",0.9,0.019,"bayesian-n",10,0,0.019
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0.002,"fiducial-n",10,0,0.002
"63",0.95,0.002,"bayesian-n",10,0,0.002
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
