"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,10.261,"fiducial-n",10,0.413,0.561
"3",0.01,12.045,"bayesian-n",10,0.234,0.724
"4",0.01,6.84,"fiducial-n",50,0.975,0.017
"5",0.01,6.124,"bayesian-n",50,0.956,0.028
"6",0.01,2.582,"fiducial-n",100,0.628,0.264
"7",0.01,2.53,"bayesian-n",100,0.588,0.308
"8",0.05,3.309,"fiducial-n",10,0.575,0.334
"9",0.05,3.54,"bayesian-n",10,0.488,0.435
"10",0.05,2.116,"fiducial-n",50,0.794,0.094
"11",0.05,2.025,"bayesian-n",50,0.763,0.101
"12",0.05,1.166,"fiducial-n",100,0.585,0.161
"13",0.05,1.195,"bayesian-n",100,0.606,0.174
"14",0.1,5.162,"fiducial-n",10,0.966,0.016
"15",0.1,4.993,"bayesian-n",10,0.969,0.017
"16",0.1,1.529,"fiducial-n",50,0.086,0.715
"17",0.1,1.56,"bayesian-n",50,0.075,0.748
"18",0.1,1.377,"fiducial-n",100,0.02,0.803
"19",0.1,1.39,"bayesian-n",100,0.018,0.818
"20",0.2,1.513,"fiducial-n",10,0.487,0.307
"21",0.2,1.44,"bayesian-n",10,0.435,0.345
"22",0.2,1.382,"fiducial-n",50,0.013,0.833
"23",0.2,1.421,"bayesian-n",50,0.017,0.842
"24",0.2,0.895,"fiducial-n",100,0.013,0.728
"25",0.2,0.864,"bayesian-n",100,0.01,0.724
"26",0.4,0.939,"fiducial-n",10,0.241,0.422
"27",0.4,0.936,"bayesian-n",10,0.208,0.453
"28",0.4,1.343,"fiducial-n",50,0.965,0
"29",0.4,1.329,"bayesian-n",50,0.959,0
"30",0.4,0.094,"fiducial-n",100,0.013,0.081
"31",0.4,0.082,"bayesian-n",100,0.006,0.076
"32",0.5,0.758,"fiducial-n",10,0.321,0.285
"33",0.5,0.714,"bayesian-n",10,0.345,0.265
"34",0.5,0.129,"fiducial-n",50,0.048,0.081
"35",0.5,0.114,"bayesian-n",50,0.041,0.073
"36",0.5,0.167,"fiducial-n",100,0.167,0
"37",0.5,0.152,"bayesian-n",100,0.152,0
"38",0.6,0.818,"fiducial-n",10,0.039,0.6
"39",0.6,0.817,"bayesian-n",10,0.035,0.606
"40",0.6,0.174,"fiducial-n",50,0,0.174
"41",0.6,0.17,"bayesian-n",50,0,0.17
"42",0.6,0.006,"fiducial-n",100,0,0.006
"43",0.6,0.009,"bayesian-n",100,0,0.009
"44",0.7,0.856,"fiducial-n",10,0,0.706
"45",0.7,0.861,"bayesian-n",10,0,0.711
"46",0.7,0.424,"fiducial-n",50,0,0.424
"47",0.7,0.428,"bayesian-n",50,0,0.428
"48",0.7,0,"fiducial-n",100,0,0
"49",0.7,0,"bayesian-n",100,0,0
"50",0.8,0.192,"fiducial-n",10,0,0.191
"51",0.8,0.193,"bayesian-n",10,0,0.189
"52",0.8,0,"fiducial-n",50,0,0
"53",0.8,0,"bayesian-n",50,0,0
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.002,"fiducial-n",10,0,0.002
"57",0.9,0.001,"bayesian-n",10,0,0.001
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0,"fiducial-n",10,0,0
"63",0.95,0,"bayesian-n",10,0,0
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
