"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,8.749,"fiducial-n",10,0.839,0.148
"3",0.01,7.425,"bayesian-n",10,0.646,0.32
"4",0.01,9.463,"fiducial-n",50,0.03,0.945
"5",0.01,10.298,"bayesian-n",50,0.024,0.959
"6",0.01,2.567,"fiducial-n",100,0.647,0.242
"7",0.01,2.653,"bayesian-n",100,0.633,0.258
"8",0.05,3.474,"fiducial-n",10,0.406,0.497
"9",0.05,3.759,"bayesian-n",10,0.337,0.566
"10",0.05,2.446,"fiducial-n",50,0.868,0.057
"11",0.05,2.338,"bayesian-n",50,0.852,0.054
"12",0.05,1.214,"fiducial-n",100,0.604,0.161
"13",0.05,1.171,"bayesian-n",100,0.577,0.175
"14",0.1,3.828,"fiducial-n",10,0.135,0.789
"15",0.1,3.975,"bayesian-n",10,0.101,0.82
"16",0.1,1.362,"fiducial-n",50,0.153,0.617
"17",0.1,1.325,"bayesian-n",50,0.135,0.627
"18",0.1,1.719,"fiducial-n",100,0.007,0.908
"19",0.1,1.705,"bayesian-n",100,0.004,0.89
"20",0.2,1.994,"fiducial-n",10,0.75,0.116
"21",0.2,1.93,"bayesian-n",10,0.731,0.119
"22",0.2,0.985,"fiducial-n",50,0.688,0.062
"23",0.2,0.977,"bayesian-n",50,0.707,0.045
"24",0.2,0.858,"fiducial-n",100,0.755,0.007
"25",0.2,0.838,"bayesian-n",100,0.75,0.006
"26",0.4,1.351,"fiducial-n",10,0.745,0.065
"27",0.4,1.44,"bayesian-n",10,0.79,0.065
"28",0.4,0.397,"fiducial-n",50,0.04,0.344
"29",0.4,0.359,"bayesian-n",50,0.028,0.321
"30",0.4,0.819,"fiducial-n",100,0.818,0
"31",0.4,0.796,"bayesian-n",100,0.795,0
"32",0.5,0.775,"fiducial-n",10,0.137,0.472
"33",0.5,0.836,"bayesian-n",10,0.139,0.494
"34",0.5,0.682,"fiducial-n",50,0,0.666
"35",0.5,0.668,"bayesian-n",50,0,0.651
"36",0.5,0.016,"fiducial-n",100,0.013,0.003
"37",0.5,0.008,"bayesian-n",100,0.008,0
"38",0.6,0.573,"fiducial-n",10,0.114,0.384
"39",0.6,0.528,"bayesian-n",10,0.119,0.357
"40",0.6,0.032,"fiducial-n",50,0.004,0.028
"41",0.6,0.037,"bayesian-n",50,0.007,0.03
"42",0.6,0.01,"fiducial-n",100,0,0.01
"43",0.6,0.011,"bayesian-n",100,0,0.011
"44",0.7,0.404,"fiducial-n",10,0.147,0.244
"45",0.7,0.386,"bayesian-n",10,0.139,0.229
"46",0.7,0.027,"fiducial-n",50,0,0.027
"47",0.7,0.024,"bayesian-n",50,0,0.024
"48",0.7,0,"fiducial-n",100,0,0
"49",0.7,0,"bayesian-n",100,0,0
"50",0.8,0.89,"fiducial-n",10,0.89,0
"51",0.8,0.896,"bayesian-n",10,0.896,0
"52",0.8,0,"fiducial-n",50,0,0
"53",0.8,0,"bayesian-n",50,0,0
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.006,"fiducial-n",10,0,0.006
"57",0.9,0.003,"bayesian-n",10,0,0.003
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0.001,"fiducial-n",10,0,0.001
"63",0.95,0,"bayesian-n",10,0,0
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
