"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,9.125,"fiducial-n",10,0.44,0.526
"3",0.01,12.317,"bayesian-n",10,0.237,0.725
"4",0.01,3.458,"fiducial-n",50,0.657,0.274
"5",0.01,3.326,"bayesian-n",50,0.52,0.37
"6",0.01,3.639,"fiducial-n",100,0.858,0.075
"7",0.01,3.406,"bayesian-n",100,0.845,0.093
"8",0.05,4.552,"fiducial-n",10,0.242,0.678
"9",0.05,4.993,"bayesian-n",10,0.185,0.752
"10",0.05,1.579,"fiducial-n",50,0.337,0.458
"11",0.05,1.53,"bayesian-n",50,0.343,0.437
"12",0.05,1.533,"fiducial-n",100,0.745,0.075
"13",0.05,1.545,"bayesian-n",100,0.756,0.072
"14",0.1,2.388,"fiducial-n",10,0.551,0.322
"15",0.1,2.352,"bayesian-n",10,0.479,0.387
"16",0.1,1.158,"fiducial-n",50,0.177,0.552
"17",0.1,1.25,"bayesian-n",50,0.177,0.581
"18",0.1,1.579,"fiducial-n",100,0.013,0.873
"19",0.1,1.523,"bayesian-n",100,0.013,0.848
"20",0.2,1.666,"fiducial-n",10,0.586,0.228
"21",0.2,1.708,"bayesian-n",10,0.592,0.252
"22",0.2,1.612,"fiducial-n",50,0.935,0.009
"23",0.2,1.611,"bayesian-n",50,0.919,0.003
"24",0.2,0.938,"fiducial-n",100,0.007,0.75
"25",0.2,0.929,"bayesian-n",100,0.004,0.757
"26",0.4,3.032,"fiducial-n",10,0.991,0
"27",0.4,3.02,"bayesian-n",10,0.993,0
"28",0.4,0.356,"fiducial-n",50,0.033,0.311
"29",0.4,0.368,"bayesian-n",50,0.044,0.314
"30",0.4,0.207,"fiducial-n",100,0.199,0.008
"31",0.4,0.173,"bayesian-n",100,0.167,0.006
"32",0.5,0.679,"fiducial-n",10,0.216,0.382
"33",0.5,0.697,"bayesian-n",10,0.198,0.385
"34",0.5,0.14,"fiducial-n",50,0.042,0.097
"35",0.5,0.142,"bayesian-n",50,0.036,0.104
"36",0.5,0.845,"fiducial-n",100,0.845,0
"37",0.5,0.845,"bayesian-n",100,0.845,0
"38",0.6,0.529,"fiducial-n",10,0.181,0.302
"39",0.6,0.549,"bayesian-n",10,0.172,0.313
"40",0.6,0.073,"fiducial-n",50,0.066,0.007
"41",0.6,0.076,"bayesian-n",50,0.067,0.009
"42",0.6,0,"fiducial-n",100,0,0
"43",0.6,0,"bayesian-n",100,0,0
"44",0.7,0.409,"fiducial-n",10,0.22,0.18
"45",0.7,0.415,"bayesian-n",10,0.221,0.182
"46",0.7,0.15,"fiducial-n",50,0,0.15
"47",0.7,0.161,"bayesian-n",50,0,0.161
"48",0.7,0,"fiducial-n",100,0,0
"49",0.7,0,"bayesian-n",100,0,0
"50",0.8,0.021,"fiducial-n",10,0,0.021
"51",0.8,0.031,"bayesian-n",10,0,0.031
"52",0.8,0,"fiducial-n",50,0,0
"53",0.8,0,"bayesian-n",50,0,0
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.001,"fiducial-n",10,0,0.001
"57",0.9,0,"bayesian-n",10,0,0
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0,"fiducial-n",10,0,0
"63",0.95,0,"bayesian-n",10,0,0
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
