"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,9.685,"fiducial-n",10,0.419,0.533
"3",0.01,11.33,"bayesian-n",10,0.243,0.712
"4",0.01,4.555,"fiducial-n",50,0.225,0.676
"5",0.01,5.05,"bayesian-n",50,0.212,0.72
"6",0.01,2.57,"fiducial-n",100,0.375,0.494
"7",0.01,2.628,"bayesian-n",100,0.343,0.525
"8",0.05,4.893,"fiducial-n",10,0.191,0.739
"9",0.05,4.897,"bayesian-n",10,0.199,0.731
"10",0.05,1.996,"fiducial-n",50,0.745,0.134
"11",0.05,1.947,"bayesian-n",50,0.722,0.152
"12",0.05,1.127,"fiducial-n",100,0.558,0.182
"13",0.05,1.172,"bayesian-n",100,0.594,0.161
"14",0.1,2.994,"fiducial-n",10,0.201,0.69
"15",0.1,3.128,"bayesian-n",10,0.188,0.689
"16",0.1,1.095,"fiducial-n",50,0.541,0.199
"17",0.1,1.161,"bayesian-n",50,0.572,0.197
"18",0.1,0.778,"fiducial-n",100,0.162,0.472
"19",0.1,0.766,"bayesian-n",100,0.151,0.462
"20",0.2,1.989,"fiducial-n",10,0.735,0.137
"21",0.2,1.937,"bayesian-n",10,0.737,0.121
"22",0.2,0.642,"fiducial-n",50,0.336,0.229
"23",0.2,0.653,"bayesian-n",50,0.341,0.236
"24",0.2,0.548,"fiducial-n",100,0.49,0.032
"25",0.2,0.572,"bayesian-n",100,0.512,0.042
"26",0.4,1.213,"fiducial-n",10,0.671,0.113
"27",0.4,1.221,"bayesian-n",10,0.677,0.108
"28",0.4,0.61,"fiducial-n",50,0.584,0.014
"29",0.4,0.628,"bayesian-n",50,0.59,0.015
"30",0.4,0.764,"fiducial-n",100,0,0.759
"31",0.4,0.768,"bayesian-n",100,0,0.763
"32",0.5,0.804,"fiducial-n",10,0.488,0.172
"33",0.5,0.799,"bayesian-n",10,0.475,0.171
"34",0.5,0.49,"fiducial-n",50,0.003,0.48
"35",0.5,0.506,"bayesian-n",50,0.001,0.496
"36",0.5,0.961,"fiducial-n",100,0,0.957
"37",0.5,0.962,"bayesian-n",100,0,0.958
"38",0.6,0.826,"fiducial-n",10,0.614,0.071
"39",0.6,0.877,"bayesian-n",10,0.657,0.051
"40",0.6,0.045,"fiducial-n",50,0.034,0.011
"41",0.6,0.039,"bayesian-n",50,0.03,0.009
"42",0.6,0.004,"fiducial-n",100,0.001,0.003
"43",0.6,0.003,"bayesian-n",100,0,0.003
"44",0.7,0.46,"fiducial-n",10,0.057,0.368
"45",0.7,0.421,"bayesian-n",10,0.062,0.329
"46",0.7,0.003,"fiducial-n",50,0,0.003
"47",0.7,0.003,"bayesian-n",50,0,0.003
"48",0.7,0,"fiducial-n",100,0,0
"49",0.7,0,"bayesian-n",100,0,0
"50",0.8,0.22,"fiducial-n",10,0.135,0.085
"51",0.8,0.206,"bayesian-n",10,0.125,0.08
"52",0.8,0,"fiducial-n",50,0,0
"53",0.8,0,"bayesian-n",50,0,0
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.007,"fiducial-n",10,0,0.007
"57",0.9,0.008,"bayesian-n",10,0,0.008
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0.001,"fiducial-n",10,0,0.001
"63",0.95,0,"bayesian-n",10,0,0
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
