"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,9.45,"fiducial-n",10,0.423,0.545
"3",0.01,11.856,"bayesian-n",10,0.267,0.692
"4",0.01,4.737,"fiducial-n",50,0.247,0.674
"5",0.01,5.121,"bayesian-n",50,0.19,0.742
"6",0.01,3.47,"fiducial-n",100,0.194,0.696
"7",0.01,3.443,"bayesian-n",100,0.159,0.73
"8",0.05,4.217,"fiducial-n",10,0.262,0.633
"9",0.05,4.821,"bayesian-n",10,0.191,0.72
"10",0.05,3.432,"fiducial-n",50,0.036,0.897
"11",0.05,3.296,"bayesian-n",50,0.033,0.904
"12",0.05,1.375,"fiducial-n",100,0.128,0.634
"13",0.05,1.316,"bayesian-n",100,0.144,0.612
"14",0.1,2.549,"fiducial-n",10,0.66,0.232
"15",0.1,2.482,"bayesian-n",10,0.627,0.26
"16",0.1,1.576,"fiducial-n",50,0.09,0.713
"17",0.1,1.583,"bayesian-n",50,0.084,0.748
"18",0.1,1.363,"fiducial-n",100,0.029,0.81
"19",0.1,1.344,"bayesian-n",100,0.025,0.785
"20",0.2,1.778,"fiducial-n",10,0.267,0.559
"21",0.2,1.751,"bayesian-n",10,0.242,0.566
"22",0.2,0.704,"fiducial-n",50,0.198,0.396
"23",0.2,0.677,"bayesian-n",50,0.201,0.38
"24",0.2,0.518,"fiducial-n",100,0.446,0.053
"25",0.2,0.542,"bayesian-n",100,0.473,0.05
"26",0.4,1.039,"fiducial-n",10,0.148,0.547
"27",0.4,1.115,"bayesian-n",10,0.141,0.573
"28",0.4,0.702,"fiducial-n",50,0.002,0.643
"29",0.4,0.725,"bayesian-n",50,0.003,0.656
"30",0.4,0.05,"fiducial-n",100,0.013,0.037
"31",0.4,0.056,"bayesian-n",100,0.016,0.04
"32",0.5,0.724,"fiducial-n",10,0.219,0.361
"33",0.5,0.767,"bayesian-n",10,0.217,0.41
"34",0.5,0.456,"fiducial-n",50,0,0.453
"35",0.5,0.477,"bayesian-n",50,0.001,0.468
"36",0.5,0.036,"fiducial-n",100,0,0.036
"37",0.5,0.038,"bayesian-n",100,0,0.038
"38",0.6,0.565,"fiducial-n",10,0.323,0.202
"39",0.6,0.549,"bayesian-n",10,0.332,0.178
"40",0.6,0.151,"fiducial-n",50,0.147,0.004
"41",0.6,0.143,"bayesian-n",50,0.142,0.001
"42",0.6,0.002,"fiducial-n",100,0,0.002
"43",0.6,0,"bayesian-n",100,0,0
"44",0.7,0.425,"fiducial-n",10,0.11,0.294
"45",0.7,0.435,"bayesian-n",10,0.114,0.294
"46",0.7,0.355,"fiducial-n",50,0.355,0
"47",0.7,0.319,"bayesian-n",50,0.319,0
"48",0.7,0,"fiducial-n",100,0,0
"49",0.7,0,"bayesian-n",100,0,0
"50",0.8,0.74,"fiducial-n",10,0.736,0.004
"51",0.8,0.745,"bayesian-n",10,0.736,0.008
"52",0.8,0,"fiducial-n",50,0,0
"53",0.8,0,"bayesian-n",50,0,0
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.013,"fiducial-n",10,0,0.013
"57",0.9,0.011,"bayesian-n",10,0,0.011
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0,"fiducial-n",10,0,0
"63",0.95,0,"bayesian-n",10,0,0
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
