"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,9.559,"fiducial-n",10,0.419,0.536
"3",0.01,11.94,"bayesian-n",10,0.248,0.707
"4",0.01,4.326,"fiducial-n",50,0.232,0.672
"5",0.01,5.028,"bayesian-n",50,0.219,0.708
"6",0.01,2.84,"fiducial-n",100,0.233,0.623
"7",0.01,2.955,"bayesian-n",100,0.212,0.656
"8",0.05,7.482,"fiducial-n",10,0.058,0.902
"9",0.05,8.392,"bayesian-n",10,0.04,0.932
"10",0.05,2.528,"fiducial-n",50,0.087,0.811
"11",0.05,2.569,"bayesian-n",50,0.07,0.826
"12",0.05,1.378,"fiducial-n",100,0.126,0.632
"13",0.05,1.375,"bayesian-n",100,0.134,0.642
"14",0.1,3.914,"fiducial-n",10,0.104,0.806
"15",0.1,4.261,"bayesian-n",10,0.091,0.825
"16",0.1,1.64,"fiducial-n",50,0.804,0.048
"17",0.1,1.668,"bayesian-n",50,0.811,0.052
"18",0.1,0.837,"fiducial-n",100,0.116,0.531
"19",0.1,0.797,"bayesian-n",100,0.108,0.504
"20",0.2,2.002,"fiducial-n",10,0.167,0.65
"21",0.2,2.033,"bayesian-n",10,0.184,0.656
"22",0.2,1.203,"fiducial-n",50,0.023,0.76
"23",0.2,1.207,"bayesian-n",50,0.023,0.757
"24",0.2,1.278,"fiducial-n",100,0.929,0.001
"25",0.2,1.294,"bayesian-n",100,0.926,0
"26",0.4,1.907,"fiducial-n",10,0.022,0.867
"27",0.4,1.943,"bayesian-n",10,0.022,0.846
"28",0.4,1.525,"fiducial-n",50,0,0.987
"29",0.4,1.524,"bayesian-n",50,0,0.972
"30",0.4,0.075,"fiducial-n",100,0.008,0.067
"31",0.4,0.084,"bayesian-n",100,0.011,0.073
"32",0.5,0.814,"fiducial-n",10,0.188,0.439
"33",0.5,0.844,"bayesian-n",10,0.163,0.471
"34",0.5,1.194,"fiducial-n",50,0.985,0
"35",0.5,1.19,"bayesian-n",50,0.987,0
"36",0.5,0.118,"fiducial-n",100,0,0.118
"37",0.5,0.111,"bayesian-n",100,0,0.111
"38",0.6,0.597,"fiducial-n",10,0.092,0.414
"39",0.6,0.636,"bayesian-n",10,0.108,0.415
"40",0.6,0.003,"fiducial-n",50,0,0.003
"41",0.6,0.001,"bayesian-n",50,0,0.001
"42",0.6,0,"fiducial-n",100,0,0
"43",0.6,0.001,"bayesian-n",100,0,0.001
"44",0.7,0.304,"fiducial-n",10,0,0.285
"45",0.7,0.283,"bayesian-n",10,0,0.271
"46",0.7,0.258,"fiducial-n",50,0,0.258
"47",0.7,0.229,"bayesian-n",50,0,0.229
"48",0.7,0,"fiducial-n",100,0,0
"49",0.7,0,"bayesian-n",100,0,0
"50",0.8,0.432,"fiducial-n",10,0,0.418
"51",0.8,0.471,"bayesian-n",10,0,0.454
"52",0.8,0,"fiducial-n",50,0,0
"53",0.8,0,"bayesian-n",50,0,0
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.079,"fiducial-n",10,0,0.079
"57",0.9,0.07,"bayesian-n",10,0,0.07
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0,"fiducial-n",10,0,0
"63",0.95,0,"bayesian-n",10,0,0
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
