"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,26.05,"fiducial-n",10,0.04,0.947
"3",0.01,31.33,"bayesian-n",10,0.013,0.98
"4",0.01,4.462,"fiducial-n",50,0.234,0.687
"5",0.01,5.136,"bayesian-n",50,0.183,0.744
"6",0.01,2.917,"fiducial-n",100,0.742,0.167
"7",0.01,2.848,"bayesian-n",100,0.71,0.205
"8",0.05,4.134,"fiducial-n",10,0.783,0.159
"9",0.05,3.785,"bayesian-n",10,0.726,0.21
"10",0.05,1.74,"fiducial-n",50,0.635,0.201
"11",0.05,1.633,"bayesian-n",50,0.618,0.215
"12",0.05,1.202,"fiducial-n",100,0.624,0.143
"13",0.05,1.228,"bayesian-n",100,0.63,0.147
"14",0.1,4.301,"fiducial-n",10,0.937,0.035
"15",0.1,3.95,"bayesian-n",10,0.899,0.057
"16",0.1,3.147,"fiducial-n",50,0.989,0.003
"17",0.1,3.157,"bayesian-n",50,0.988,0.002
"18",0.1,1.494,"fiducial-n",100,0.022,0.826
"19",0.1,1.476,"bayesian-n",100,0.019,0.818
"20",0.2,1.76,"fiducial-n",10,0.653,0.183
"21",0.2,1.815,"bayesian-n",10,0.664,0.196
"22",0.2,2.236,"fiducial-n",50,0,0.972
"23",0.2,2.242,"bayesian-n",50,0.001,0.974
"24",0.2,0.372,"fiducial-n",100,0.119,0.242
"25",0.2,0.383,"bayesian-n",100,0.101,0.275
"26",0.4,1.215,"fiducial-n",10,0.705,0.095
"27",0.4,1.229,"bayesian-n",10,0.721,0.081
"28",0.4,0.73,"fiducial-n",50,0.004,0.67
"29",0.4,0.787,"bayesian-n",50,0.008,0.703
"30",0.4,0.366,"fiducial-n",100,0,0.365
"31",0.4,0.376,"bayesian-n",100,0,0.376
"32",0.5,0.71,"fiducial-n",10,0.263,0.324
"33",0.5,0.72,"bayesian-n",10,0.258,0.339
"34",0.5,0.822,"fiducial-n",50,0,0.794
"35",0.5,0.801,"bayesian-n",50,0,0.778
"36",0.5,0.022,"fiducial-n",100,0.004,0.018
"37",0.5,0.013,"bayesian-n",100,0.003,0.01
"38",0.6,0.549,"fiducial-n",10,0.21,0.287
"39",0.6,0.547,"bayesian-n",10,0.196,0.295
"40",0.6,0.163,"fiducial-n",50,0.162,0.001
"41",0.6,0.205,"bayesian-n",50,0.202,0.003
"42",0.6,0.043,"fiducial-n",100,0,0.043
"43",0.6,0.049,"bayesian-n",100,0,0.049
"44",0.7,1.067,"fiducial-n",10,0.839,0.012
"45",0.7,1.045,"bayesian-n",10,0.838,0.012
"46",0.7,0.063,"fiducial-n",50,0,0.063
"47",0.7,0.072,"bayesian-n",50,0,0.072
"48",0.7,0,"fiducial-n",100,0,0
"49",0.7,0,"bayesian-n",100,0,0
"50",0.8,0.894,"fiducial-n",10,0.891,0.003
"51",0.8,0.891,"bayesian-n",10,0.891,0
"52",0.8,0,"fiducial-n",50,0,0
"53",0.8,0,"bayesian-n",50,0,0
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.003,"fiducial-n",10,0,0.003
"57",0.9,0.003,"bayesian-n",10,0,0.003
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0,"fiducial-n",10,0,0
"63",0.95,0,"bayesian-n",10,0,0
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
