"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,16.624,"fiducial-n",10,0.151,0.822
"3",0.01,19.957,"bayesian-n",10,0.072,0.912
"4",0.01,3.488,"fiducial-n",50,0.592,0.327
"5",0.01,3.407,"bayesian-n",50,0.527,0.393
"6",0.01,2.988,"fiducial-n",100,0.252,0.627
"7",0.01,3.209,"bayesian-n",100,0.251,0.651
"8",0.05,3.607,"fiducial-n",10,0.414,0.507
"9",0.05,3.938,"bayesian-n",10,0.359,0.57
"10",0.05,1.656,"fiducial-n",50,0.237,0.541
"11",0.05,1.728,"bayesian-n",50,0.269,0.557
"12",0.05,3.655,"fiducial-n",100,0,0.98
"13",0.05,3.601,"bayesian-n",100,0.001,0.98
"14",0.1,2.518,"fiducial-n",10,0.391,0.481
"15",0.1,2.489,"bayesian-n",10,0.386,0.485
"16",0.1,1.084,"fiducial-n",50,0.309,0.414
"17",0.1,1.056,"bayesian-n",50,0.307,0.401
"18",0.1,0.681,"fiducial-n",100,0.309,0.275
"19",0.1,0.666,"bayesian-n",100,0.318,0.247
"20",0.2,2.11,"fiducial-n",10,0.772,0.11
"21",0.2,1.989,"bayesian-n",10,0.755,0.121
"22",0.2,0.653,"fiducial-n",50,0.305,0.266
"23",0.2,0.649,"bayesian-n",50,0.288,0.274
"24",0.2,0.454,"fiducial-n",100,0.355,0.092
"25",0.2,0.443,"bayesian-n",100,0.351,0.081
"26",0.4,0.867,"fiducial-n",10,0.366,0.292
"27",0.4,0.866,"bayesian-n",10,0.378,0.304
"28",0.4,0.453,"fiducial-n",50,0.422,0.027
"29",0.4,0.433,"bayesian-n",50,0.409,0.021
"30",0.4,0.068,"fiducial-n",100,0.052,0.016
"31",0.4,0.077,"bayesian-n",100,0.065,0.012
"32",0.5,2.03,"fiducial-n",10,0.01,0.914
"33",0.5,1.949,"bayesian-n",10,0.003,0.933
"34",0.5,0.148,"fiducial-n",50,0.039,0.109
"35",0.5,0.132,"bayesian-n",50,0.032,0.1
"36",0.5,0.021,"fiducial-n",100,0,0.021
"37",0.5,0.017,"bayesian-n",100,0.003,0.014
"38",0.6,0.594,"fiducial-n",10,0.422,0.134
"39",0.6,0.596,"bayesian-n",10,0.418,0.132
"40",0.6,0.118,"fiducial-n",50,0.115,0.003
"41",0.6,0.129,"bayesian-n",50,0.125,0.004
"42",0.6,0,"fiducial-n",100,0,0
"43",0.6,0.001,"bayesian-n",100,0,0.001
"44",0.7,0.696,"fiducial-n",10,0.637,0.018
"45",0.7,0.724,"bayesian-n",10,0.655,0.029
"46",0.7,0.002,"fiducial-n",50,0,0.002
"47",0.7,0.003,"bayesian-n",50,0,0.003
"48",0.7,0.001,"fiducial-n",100,0,0.001
"49",0.7,0.006,"bayesian-n",100,0,0.006
"50",0.8,0.036,"fiducial-n",10,0,0.036
"51",0.8,0.042,"bayesian-n",10,0,0.042
"52",0.8,0,"fiducial-n",50,0,0
"53",0.8,0,"bayesian-n",50,0,0
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.009,"fiducial-n",10,0,0.009
"57",0.9,0.012,"bayesian-n",10,0,0.012
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0,"fiducial-n",10,0,0
"63",0.95,0,"bayesian-n",10,0,0
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
