"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,9.424,"fiducial-n",10,0.407,0.548
"3",0.01,11.999,"bayesian-n",10,0.251,0.724
"4",0.01,3.986,"fiducial-n",50,0.756,0.19
"5",0.01,3.694,"bayesian-n",50,0.71,0.218
"6",0.01,5.034,"fiducial-n",100,0.072,0.874
"7",0.01,5.178,"bayesian-n",100,0.053,0.895
"8",0.05,7.231,"fiducial-n",10,0.072,0.895
"9",0.05,7.933,"bayesian-n",10,0.05,0.911
"10",0.05,1.815,"fiducial-n",50,0.224,0.608
"11",0.05,1.885,"bayesian-n",50,0.226,0.601
"12",0.05,1.148,"fiducial-n",100,0.232,0.493
"13",0.05,1.106,"bayesian-n",100,0.221,0.484
"14",0.1,2.315,"fiducial-n",10,0.495,0.377
"15",0.1,2.343,"bayesian-n",10,0.481,0.388
"16",0.1,2.442,"fiducial-n",50,0.011,0.924
"17",0.1,2.421,"bayesian-n",50,0.015,0.915
"18",0.1,1.199,"fiducial-n",100,0.03,0.733
"19",0.1,1.27,"bayesian-n",100,0.041,0.758
"20",0.2,1.525,"fiducial-n",10,0.366,0.427
"21",0.2,1.596,"bayesian-n",10,0.385,0.437
"22",0.2,1.082,"fiducial-n",50,0.747,0.043
"23",0.2,1.11,"bayesian-n",50,0.754,0.043
"24",0.2,0.412,"fiducial-n",100,0.179,0.223
"25",0.2,0.366,"bayesian-n",100,0.148,0.21
"26",0.4,0.941,"fiducial-n",10,0.329,0.353
"27",0.4,0.917,"bayesian-n",10,0.323,0.353
"28",0.4,0.268,"fiducial-n",50,0.105,0.161
"29",0.4,0.262,"bayesian-n",50,0.104,0.153
"30",0.4,0.055,"fiducial-n",100,0.026,0.029
"31",0.4,0.056,"bayesian-n",100,0.03,0.026
"32",0.5,0.734,"fiducial-n",10,0.324,0.285
"33",0.5,0.728,"bayesian-n",10,0.319,0.282
"34",0.5,0.225,"fiducial-n",50,0.007,0.217
"35",0.5,0.239,"bayesian-n",50,0.009,0.23
"36",0.5,0.013,"fiducial-n",100,0.002,0.011
"37",0.5,0.014,"bayesian-n",100,0.001,0.013
"38",0.6,0.595,"fiducial-n",10,0.133,0.382
"39",0.6,0.586,"bayesian-n",10,0.138,0.382
"40",0.6,0.945,"fiducial-n",50,0,0.939
"41",0.6,0.927,"bayesian-n",50,0,0.919
"42",0.6,0,"fiducial-n",100,0,0
"43",0.6,0.002,"bayesian-n",100,0,0.002
"44",0.7,0.479,"fiducial-n",10,0.415,0.063
"45",0.7,0.474,"bayesian-n",10,0.389,0.082
"46",0.7,0.171,"fiducial-n",50,0,0.171
"47",0.7,0.15,"bayesian-n",50,0,0.15
"48",0.7,0,"fiducial-n",100,0,0
"49",0.7,0,"bayesian-n",100,0,0
"50",0.8,0.787,"fiducial-n",10,0,0.74
"51",0.8,0.789,"bayesian-n",10,0,0.742
"52",0.8,0,"fiducial-n",50,0,0
"53",0.8,0,"bayesian-n",50,0,0
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.006,"fiducial-n",10,0,0.006
"57",0.9,0.001,"bayesian-n",10,0,0.001
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0,"fiducial-n",10,0,0
"63",0.95,0,"bayesian-n",10,0,0
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
