"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,8.629,"fiducial-n",10,0.832,0.151
"3",0.01,7.405,"bayesian-n",10,0.649,0.325
"4",0.01,4.451,"fiducial-n",50,0.196,0.722
"5",0.01,5.24,"bayesian-n",50,0.179,0.75
"6",0.01,3.751,"fiducial-n",100,0.86,0.084
"7",0.01,3.472,"bayesian-n",100,0.811,0.12
"8",0.05,5.232,"fiducial-n",10,0.901,0.064
"9",0.05,4.678,"bayesian-n",10,0.869,0.099
"10",0.05,1.541,"fiducial-n",50,0.503,0.314
"11",0.05,1.572,"bayesian-n",50,0.524,0.288
"12",0.05,1.4,"fiducial-n",100,0.15,0.628
"13",0.05,1.31,"bayesian-n",100,0.142,0.641
"14",0.1,3.071,"fiducial-n",10,0.791,0.141
"15",0.1,2.899,"bayesian-n",10,0.752,0.161
"16",0.1,1.377,"fiducial-n",50,0.124,0.645
"17",0.1,1.414,"bayesian-n",50,0.104,0.659
"18",0.1,1.266,"fiducial-n",100,0.03,0.767
"19",0.1,1.233,"bayesian-n",100,0.024,0.759
"20",0.2,2.492,"fiducial-n",10,0.089,0.786
"21",0.2,2.672,"bayesian-n",10,0.093,0.795
"22",0.2,0.801,"fiducial-n",50,0.114,0.517
"23",0.2,0.768,"bayesian-n",50,0.103,0.51
"24",0.2,0.501,"fiducial-n",100,0.429,0.057
"25",0.2,0.465,"bayesian-n",100,0.4,0.051
"26",0.4,1.447,"fiducial-n",10,0.067,0.731
"27",0.4,1.464,"bayesian-n",10,0.066,0.743
"28",0.4,0.767,"fiducial-n",50,0.001,0.713
"29",0.4,0.79,"bayesian-n",50,0.001,0.723
"30",0.4,0.113,"fiducial-n",100,0.103,0.01
"31",0.4,0.107,"bayesian-n",100,0.1,0.007
"32",0.5,0.755,"fiducial-n",10,0.21,0.395
"33",0.5,0.757,"bayesian-n",10,0.19,0.401
"34",0.5,0.523,"fiducial-n",50,0,0.517
"35",0.5,0.548,"bayesian-n",50,0.001,0.537
"36",0.5,0.024,"fiducial-n",100,0.022,0.002
"37",0.5,0.027,"bayesian-n",100,0.025,0.002
"38",0.6,0.583,"fiducial-n",10,0.317,0.219
"39",0.6,0.57,"bayesian-n",10,0.352,0.174
"40",0.6,0.419,"fiducial-n",50,0,0.418
"41",0.6,0.414,"bayesian-n",50,0,0.414
"42",0.6,0,"fiducial-n",100,0,0
"43",0.6,0,"bayesian-n",100,0,0
"44",0.7,0.517,"fiducial-n",10,0.039,0.419
"45",0.7,0.531,"bayesian-n",10,0.034,0.446
"46",0.7,0,"fiducial-n",50,0,0
"47",0.7,0,"bayesian-n",50,0,0
"48",0.7,0.001,"fiducial-n",100,0,0.001
"49",0.7,0,"bayesian-n",100,0,0
"50",0.8,0.642,"fiducial-n",10,0.632,0.01
"51",0.8,0.626,"bayesian-n",10,0.612,0.014
"52",0.8,0,"fiducial-n",50,0,0
"53",0.8,0,"bayesian-n",50,0,0
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.012,"fiducial-n",10,0,0.012
"57",0.9,0.019,"bayesian-n",10,0,0.019
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0,"fiducial-n",10,0,0
"63",0.95,0,"bayesian-n",10,0,0
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
