"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,9.486,"fiducial-n",10,0.435,0.537
"3",0.01,12.021,"bayesian-n",10,0.248,0.722
"4",0.01,11.073,"fiducial-n",50,0.01,0.98
"5",0.01,12.073,"bayesian-n",50,0.011,0.982
"6",0.01,6.575,"fiducial-n",100,0.021,0.953
"7",0.01,7.126,"bayesian-n",100,0.015,0.962
"8",0.05,3.697,"fiducial-n",10,0.347,0.555
"9",0.05,4.121,"bayesian-n",10,0.264,0.642
"10",0.05,2.048,"fiducial-n",50,0.14,0.699
"11",0.05,2.125,"bayesian-n",50,0.141,0.697
"12",0.05,2.18,"fiducial-n",100,0.897,0.023
"13",0.05,2.139,"bayesian-n",100,0.908,0.015
"14",0.1,3.746,"fiducial-n",10,0.881,0.08
"15",0.1,3.562,"bayesian-n",10,0.848,0.091
"16",0.1,1.077,"fiducial-n",50,0.283,0.441
"17",0.1,1.056,"bayesian-n",50,0.23,0.475
"18",0.1,1.26,"fiducial-n",100,0.79,0.035
"19",0.1,1.223,"bayesian-n",100,0.793,0.032
"20",0.2,1.604,"fiducial-n",10,0.437,0.378
"21",0.2,1.573,"bayesian-n",10,0.427,0.378
"22",0.2,1.296,"fiducial-n",50,0.013,0.804
"23",0.2,1.251,"bayesian-n",50,0.017,0.783
"24",0.2,0.494,"fiducial-n",100,0.067,0.394
"25",0.2,0.474,"bayesian-n",100,0.064,0.387
"26",0.4,1.686,"fiducial-n",10,0.021,0.819
"27",0.4,1.719,"bayesian-n",10,0.025,0.838
"28",0.4,0.785,"fiducial-n",50,0.001,0.719
"29",0.4,0.781,"bayesian-n",50,0.003,0.708
"30",0.4,0.114,"fiducial-n",100,0.008,0.106
"31",0.4,0.116,"bayesian-n",100,0.007,0.109
"32",0.5,0.667,"fiducial-n",10,0.242,0.323
"33",0.5,0.678,"bayesian-n",10,0.266,0.304
"34",0.5,0.26,"fiducial-n",50,0.01,0.248
"35",0.5,0.263,"bayesian-n",50,0.006,0.257
"36",0.5,0.001,"fiducial-n",100,0,0.001
"37",0.5,0.002,"bayesian-n",100,0,0.002
"38",0.6,1.126,"fiducial-n",10,0,0.793
"39",0.6,1.176,"bayesian-n",10,0,0.814
"40",0.6,1.003,"fiducial-n",50,0,0.976
"41",0.6,1.005,"bayesian-n",50,0,0.971
"42",0.6,0,"fiducial-n",100,0,0
"43",0.6,0,"bayesian-n",100,0,0
"44",0.7,0.403,"fiducial-n",10,0.293,0.107
"45",0.7,0.446,"bayesian-n",10,0.313,0.128
"46",0.7,0.009,"fiducial-n",50,0,0.009
"47",0.7,0.009,"bayesian-n",50,0,0.009
"48",0.7,0,"fiducial-n",100,0,0
"49",0.7,0,"bayesian-n",100,0,0
"50",0.8,0.166,"fiducial-n",10,0,0.164
"51",0.8,0.207,"bayesian-n",10,0,0.202
"52",0.8,0.021,"fiducial-n",50,0,0.021
"53",0.8,0.023,"bayesian-n",50,0,0.023
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.041,"fiducial-n",10,0,0.041
"57",0.9,0.033,"bayesian-n",10,0,0.033
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0,"fiducial-n",10,0,0
"63",0.95,0,"bayesian-n",10,0,0
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
