"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,9.431,"fiducial-n",10,0.417,0.539
"3",0.01,12.173,"bayesian-n",10,0.25,0.71
"4",0.01,3.769,"fiducial-n",50,0.396,0.509
"5",0.01,3.985,"bayesian-n",50,0.337,0.567
"6",0.01,2.397,"fiducial-n",100,0.528,0.351
"7",0.01,2.488,"bayesian-n",100,0.476,0.399
"8",0.05,5.706,"fiducial-n",10,0.145,0.8
"9",0.05,6.02,"bayesian-n",10,0.132,0.817
"10",0.05,2.14,"fiducial-n",50,0.788,0.096
"11",0.05,2.129,"bayesian-n",50,0.792,0.09
"12",0.05,1.542,"fiducial-n",100,0.089,0.723
"13",0.05,1.491,"bayesian-n",100,0.111,0.668
"14",0.1,2.359,"fiducial-n",10,0.545,0.336
"15",0.1,2.487,"bayesian-n",10,0.526,0.345
"16",0.1,2.266,"fiducial-n",50,0.923,0.011
"17",0.1,2.274,"bayesian-n",50,0.931,0.014
"18",0.1,1.124,"fiducial-n",100,0.742,0.051
"19",0.1,1.109,"bayesian-n",100,0.755,0.039
"20",0.2,1.893,"fiducial-n",10,0.2,0.63
"21",0.2,1.931,"bayesian-n",10,0.221,0.616
"22",0.2,0.844,"fiducial-n",50,0.568,0.101
"23",0.2,0.813,"bayesian-n",50,0.58,0.086
"24",0.2,0.426,"fiducial-n",100,0.313,0.107
"25",0.2,0.406,"bayesian-n",100,0.301,0.094
"26",0.4,0.9,"fiducial-n",10,0.388,0.296
"27",0.4,0.903,"bayesian-n",10,0.394,0.289
"28",0.4,0.337,"fiducial-n",50,0.024,0.306
"29",0.4,0.34,"bayesian-n",50,0.03,0.302
"30",0.4,0.153,"fiducial-n",100,0.141,0.012
"31",0.4,0.141,"bayesian-n",100,0.134,0.007
"32",0.5,0.798,"fiducial-n",10,0.516,0.128
"33",0.5,0.808,"bayesian-n",10,0.538,0.116
"34",0.5,0.132,"fiducial-n",50,0.015,0.115
"35",0.5,0.125,"bayesian-n",50,0.018,0.107
"36",0.5,0.113,"fiducial-n",100,0,0.112
"37",0.5,0.117,"bayesian-n",100,0,0.117
"38",0.6,0.524,"fiducial-n",10,0.152,0.328
"39",0.6,0.511,"bayesian-n",10,0.136,0.323
"40",0.6,0.761,"fiducial-n",50,0.761,0
"41",0.6,0.761,"bayesian-n",50,0.76,0.001
"42",0.6,0.001,"fiducial-n",100,0.001,0
"43",0.6,0.001,"bayesian-n",100,0.001,0
"44",0.7,0.366,"fiducial-n",10,0.12,0.233
"45",0.7,0.381,"bayesian-n",10,0.124,0.236
"46",0.7,0.002,"fiducial-n",50,0,0.002
"47",0.7,0,"bayesian-n",50,0,0
"48",0.7,0,"fiducial-n",100,0,0
"49",0.7,0,"bayesian-n",100,0,0
"50",0.8,0.076,"fiducial-n",10,0,0.075
"51",0.8,0.093,"bayesian-n",10,0,0.093
"52",0.8,0,"fiducial-n",50,0,0
"53",0.8,0,"bayesian-n",50,0,0
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.001,"fiducial-n",10,0,0.001
"57",0.9,0.003,"bayesian-n",10,0,0.003
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0,"fiducial-n",10,0,0
"63",0.95,0,"bayesian-n",10,0,0
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
