"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,8.9,"fiducial-n",10,0.82,0.164
"3",0.01,7.578,"bayesian-n",10,0.634,0.331
"4",0.01,4.252,"fiducial-n",50,0.283,0.643
"5",0.01,5.028,"bayesian-n",50,0.187,0.754
"6",0.01,2.427,"fiducial-n",100,0.527,0.351
"7",0.01,2.44,"bayesian-n",100,0.517,0.374
"8",0.05,5.339,"fiducial-n",10,0.911,0.058
"9",0.05,4.608,"bayesian-n",10,0.842,0.102
"10",0.05,1.515,"fiducial-n",50,0.512,0.289
"11",0.05,1.595,"bayesian-n",50,0.517,0.291
"12",0.05,1.018,"fiducial-n",100,0.341,0.361
"13",0.05,1.124,"bayesian-n",100,0.381,0.361
"14",0.1,4.903,"fiducial-n",10,0.05,0.894
"15",0.1,5.252,"bayesian-n",10,0.045,0.896
"16",0.1,1.022,"fiducial-n",50,0.265,0.431
"17",0.1,1.082,"bayesian-n",50,0.274,0.429
"18",0.1,0.933,"fiducial-n",100,0.071,0.597
"19",0.1,0.957,"bayesian-n",100,0.07,0.61
"20",0.2,1.564,"fiducial-n",10,0.475,0.334
"21",0.2,1.611,"bayesian-n",10,0.455,0.342
"22",0.2,1.151,"fiducial-n",50,0.03,0.75
"23",0.2,1.166,"bayesian-n",50,0.028,0.752
"24",0.2,0.728,"fiducial-n",100,0.016,0.63
"25",0.2,0.683,"bayesian-n",100,0.016,0.598
"26",0.4,0.897,"fiducial-n",10,0.303,0.35
"27",0.4,0.905,"bayesian-n",10,0.287,0.372
"28",0.4,0.616,"fiducial-n",50,0.008,0.565
"29",0.4,0.593,"bayesian-n",50,0.005,0.558
"30",0.4,0.201,"fiducial-n",100,0.196,0.005
"31",0.4,0.206,"bayesian-n",100,0.202,0.004
"32",0.5,0.812,"fiducial-n",10,0.129,0.47
"33",0.5,0.773,"bayesian-n",10,0.138,0.452
"34",0.5,0.654,"fiducial-n",50,0.654,0
"35",0.5,0.633,"bayesian-n",50,0.632,0.001
"36",0.5,0.9,"fiducial-n",100,0.9,0
"37",0.5,0.886,"bayesian-n",100,0.886,0
"38",0.6,0.997,"fiducial-n",10,0.033,0.684
"39",0.6,0.947,"bayesian-n",10,0.019,0.676
"40",0.6,0.004,"fiducial-n",50,0,0.004
"41",0.6,0.009,"bayesian-n",50,0,0.009
"42",0.6,0,"fiducial-n",100,0,0
"43",0.6,0,"bayesian-n",100,0,0
"44",0.7,0.493,"fiducial-n",10,0.044,0.408
"45",0.7,0.51,"bayesian-n",10,0.057,0.404
"46",0.7,0.051,"fiducial-n",50,0,0.051
"47",0.7,0.05,"bayesian-n",50,0,0.05
"48",0.7,0,"fiducial-n",100,0,0
"49",0.7,0,"bayesian-n",100,0,0
"50",0.8,0.46,"fiducial-n",10,0,0.438
"51",0.8,0.454,"bayesian-n",10,0,0.444
"52",0.8,0,"fiducial-n",50,0,0
"53",0.8,0,"bayesian-n",50,0,0
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.004,"fiducial-n",10,0,0.004
"57",0.9,0.002,"bayesian-n",10,0,0.002
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0,"fiducial-n",10,0,0
"63",0.95,0.001,"bayesian-n",10,0,0.001
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
