"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,9.745,"fiducial-n",10,0.423,0.545
"3",0.01,11.692,"bayesian-n",10,0.244,0.708
"4",0.01,7.835,"fiducial-n",50,0.053,0.905
"5",0.01,8.232,"bayesian-n",50,0.05,0.924
"6",0.01,2.59,"fiducial-n",100,0.658,0.239
"7",0.01,2.631,"bayesian-n",100,0.595,0.296
"8",0.05,3.438,"fiducial-n",10,0.574,0.34
"9",0.05,3.433,"bayesian-n",10,0.525,0.384
"10",0.05,3.333,"fiducial-n",50,0.951,0.021
"11",0.05,3.31,"bayesian-n",50,0.949,0.016
"12",0.05,1.102,"fiducial-n",100,0.492,0.234
"13",0.05,1.109,"bayesian-n",100,0.473,0.25
"14",0.1,2.392,"fiducial-n",10,0.544,0.322
"15",0.1,2.369,"bayesian-n",10,0.492,0.372
"16",0.1,1.298,"fiducial-n",50,0.142,0.621
"17",0.1,1.213,"bayesian-n",50,0.155,0.571
"18",0.1,0.9,"fiducial-n",100,0.096,0.562
"19",0.1,0.82,"bayesian-n",100,0.096,0.52
"20",0.2,1.681,"fiducial-n",10,0.24,0.548
"21",0.2,1.803,"bayesian-n",10,0.241,0.602
"22",0.2,0.791,"fiducial-n",50,0.566,0.09
"23",0.2,0.811,"bayesian-n",50,0.549,0.109
"24",0.2,0.942,"fiducial-n",100,0.003,0.765
"25",0.2,0.992,"bayesian-n",100,0.004,0.78
"26",0.4,1.146,"fiducial-n",10,0.14,0.583
"27",0.4,1.185,"bayesian-n",10,0.125,0.604
"28",0.4,1.181,"fiducial-n",50,0,0.926
"29",0.4,1.206,"bayesian-n",50,0,0.924
"30",0.4,0.916,"fiducial-n",100,0,0.907
"31",0.4,0.893,"bayesian-n",100,0,0.875
"32",0.5,1.348,"fiducial-n",10,0.837,0.028
"33",0.5,1.352,"bayesian-n",10,0.841,0.015
"34",0.5,0.303,"fiducial-n",50,0.291,0.011
"35",0.5,0.254,"bayesian-n",50,0.246,0.008
"36",0.5,0.312,"fiducial-n",100,0.312,0
"37",0.5,0.308,"bayesian-n",100,0.308,0
"38",0.6,0.565,"fiducial-n",10,0.107,0.398
"39",0.6,0.572,"bayesian-n",10,0.125,0.382
"40",0.6,0.042,"fiducial-n",50,0.002,0.04
"41",0.6,0.039,"bayesian-n",50,0.008,0.031
"42",0.6,0.002,"fiducial-n",100,0,0.002
"43",0.6,0.004,"bayesian-n",100,0,0.004
"44",0.7,0.409,"fiducial-n",10,0.092,0.293
"45",0.7,0.422,"bayesian-n",10,0.103,0.3
"46",0.7,0.022,"fiducial-n",50,0.021,0.001
"47",0.7,0.013,"bayesian-n",50,0.012,0.001
"48",0.7,0,"fiducial-n",100,0,0
"49",0.7,0,"bayesian-n",100,0,0
"50",0.8,0.055,"fiducial-n",10,0,0.055
"51",0.8,0.062,"bayesian-n",10,0,0.062
"52",0.8,0,"fiducial-n",50,0,0
"53",0.8,0,"bayesian-n",50,0,0
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.01,"fiducial-n",10,0,0.01
"57",0.9,0.014,"bayesian-n",10,0,0.014
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0,"fiducial-n",10,0,0
"63",0.95,0,"bayesian-n",10,0,0
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
