"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,10.041,"fiducial-n",10,0.418,0.553
"3",0.01,12.095,"bayesian-n",10,0.266,0.7
"4",0.01,3.55,"fiducial-n",50,0.588,0.318
"5",0.01,3.422,"bayesian-n",50,0.532,0.377
"6",0.01,3.639,"fiducial-n",100,0.853,0.085
"7",0.01,3.464,"bayesian-n",100,0.835,0.094
"8",0.05,3.498,"fiducial-n",10,0.578,0.335
"9",0.05,3.45,"bayesian-n",10,0.527,0.38
"10",0.05,1.667,"fiducial-n",50,0.568,0.274
"11",0.05,1.566,"bayesian-n",50,0.529,0.266
"12",0.05,1.253,"fiducial-n",100,0.61,0.165
"13",0.05,1.229,"bayesian-n",100,0.622,0.142
"14",0.1,4.472,"fiducial-n",10,0.951,0.022
"15",0.1,4.262,"bayesian-n",10,0.921,0.044
"16",0.1,1.058,"fiducial-n",50,0.248,0.452
"17",0.1,0.975,"bayesian-n",50,0.256,0.434
"18",0.1,0.991,"fiducial-n",100,0.68,0.069
"19",0.1,0.99,"bayesian-n",100,0.655,0.072
"20",0.2,2.897,"fiducial-n",10,0.057,0.844
"21",0.2,3.042,"bayesian-n",10,0.05,0.867
"22",0.2,1.744,"fiducial-n",50,0.004,0.909
"23",0.2,1.769,"bayesian-n",50,0.002,0.928
"24",0.2,0.495,"fiducial-n",100,0.055,0.405
"25",0.2,0.495,"bayesian-n",100,0.049,0.419
"26",0.4,1.645,"fiducial-n",10,0.839,0.032
"27",0.4,1.606,"bayesian-n",10,0.823,0.05
"28",0.4,0.313,"fiducial-n",50,0.063,0.245
"29",0.4,0.311,"bayesian-n",50,0.067,0.24
"30",0.4,0.729,"fiducial-n",100,0.728,0
"31",0.4,0.694,"bayesian-n",100,0.694,0
"32",0.5,1.512,"fiducial-n",10,0.028,0.829
"33",0.5,1.494,"bayesian-n",10,0.017,0.834
"34",0.5,0.426,"fiducial-n",50,0.003,0.421
"35",0.5,0.435,"bayesian-n",50,0.004,0.427
"36",0.5,0,"fiducial-n",100,0,0
"37",0.5,0,"bayesian-n",100,0,0
"38",0.6,1.174,"fiducial-n",10,0.837,0.016
"39",0.6,1.161,"bayesian-n",10,0.839,0.018
"40",0.6,0.034,"fiducial-n",50,0.02,0.014
"41",0.6,0.044,"bayesian-n",50,0.017,0.027
"42",0.6,0.496,"fiducial-n",100,0,0.496
"43",0.6,0.53,"bayesian-n",100,0,0.53
"44",0.7,0.433,"fiducial-n",10,0.313,0.114
"45",0.7,0.406,"bayesian-n",10,0.31,0.094
"46",0.7,0.028,"fiducial-n",50,0.028,0
"47",0.7,0.029,"bayesian-n",50,0.029,0
"48",0.7,0,"fiducial-n",100,0,0
"49",0.7,0,"bayesian-n",100,0,0
"50",0.8,0.324,"fiducial-n",10,0,0.319
"51",0.8,0.335,"bayesian-n",10,0,0.319
"52",0.8,0,"fiducial-n",50,0,0
"53",0.8,0,"bayesian-n",50,0,0
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.01,"fiducial-n",10,0,0.01
"57",0.9,0.008,"bayesian-n",10,0,0.008
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0,"fiducial-n",10,0,0
"63",0.95,0,"bayesian-n",10,0,0
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
