"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,25.182,"fiducial-n",10,0.048,0.937
"3",0.01,30.31,"bayesian-n",10,0.017,0.975
"4",0.01,4.188,"fiducial-n",50,0.792,0.162
"5",0.01,3.798,"bayesian-n",50,0.726,0.215
"6",0.01,5.761,"fiducial-n",100,0.039,0.914
"7",0.01,6.226,"bayesian-n",100,0.035,0.936
"8",0.05,4.152,"fiducial-n",10,0.785,0.158
"9",0.05,3.865,"bayesian-n",10,0.72,0.21
"10",0.05,3.001,"fiducial-n",50,0.931,0.024
"11",0.05,2.847,"bayesian-n",50,0.906,0.04
"12",0.05,1.306,"fiducial-n",100,0.662,0.111
"13",0.05,1.281,"bayesian-n",100,0.661,0.112
"14",0.1,3.978,"fiducial-n",10,0.095,0.82
"15",0.1,4.294,"bayesian-n",10,0.084,0.86
"16",0.1,1.66,"fiducial-n",50,0.801,0.052
"17",0.1,1.653,"bayesian-n",50,0.807,0.048
"18",0.1,1.269,"fiducial-n",100,0.804,0.029
"19",0.1,1.197,"bayesian-n",100,0.763,0.032
"20",0.2,1.52,"fiducial-n",10,0.391,0.394
"21",0.2,1.478,"bayesian-n",10,0.385,0.408
"22",0.2,0.692,"fiducial-n",50,0.177,0.411
"23",0.2,0.629,"bayesian-n",50,0.168,0.359
"24",0.2,0.376,"fiducial-n",100,0.122,0.245
"25",0.2,0.397,"bayesian-n",100,0.115,0.265
"26",0.4,0.907,"fiducial-n",10,0.318,0.361
"27",0.4,0.913,"bayesian-n",10,0.326,0.357
"28",0.4,0.266,"fiducial-n",50,0.1,0.164
"29",0.4,0.295,"bayesian-n",50,0.096,0.195
"30",0.4,0.574,"fiducial-n",100,0.571,0.003
"31",0.4,0.555,"bayesian-n",100,0.554,0.001
"32",0.5,2.995,"fiducial-n",10,0,0.998
"33",0.5,3.063,"bayesian-n",10,0,0.998
"34",0.5,0.529,"fiducial-n",50,0.525,0.004
"35",0.5,0.507,"bayesian-n",50,0.503,0.003
"36",0.5,0.022,"fiducial-n",100,0.001,0.021
"37",0.5,0.016,"bayesian-n",100,0.002,0.014
"38",0.6,0.912,"fiducial-n",10,0.694,0.054
"39",0.6,0.843,"bayesian-n",10,0.641,0.044
"40",0.6,0.185,"fiducial-n",50,0.183,0.002
"41",0.6,0.197,"bayesian-n",50,0.195,0.002
"42",0.6,0.031,"fiducial-n",100,0.031,0
"43",0.6,0.024,"bayesian-n",100,0.024,0
"44",0.7,0.389,"fiducial-n",10,0.088,0.28
"45",0.7,0.397,"bayesian-n",10,0.107,0.266
"46",0.7,0.013,"fiducial-n",50,0,0.013
"47",0.7,0.014,"bayesian-n",50,0,0.014
"48",0.7,0.001,"fiducial-n",100,0,0.001
"49",0.7,0.002,"bayesian-n",100,0,0.002
"50",0.8,0.861,"fiducial-n",10,0.86,0.001
"51",0.8,0.833,"bayesian-n",10,0.83,0.003
"52",0.8,0.002,"fiducial-n",50,0,0.002
"53",0.8,0.004,"bayesian-n",50,0,0.004
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.003,"fiducial-n",10,0,0.003
"57",0.9,0.002,"bayesian-n",10,0,0.002
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0,"fiducial-n",10,0,0
"63",0.95,0,"bayesian-n",10,0,0
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
