"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,9.085,"fiducial-n",10,0.434,0.536
"3",0.01,12.318,"bayesian-n",10,0.25,0.721
"4",0.01,7.581,"fiducial-n",50,0.068,0.889
"5",0.01,8.105,"bayesian-n",50,0.062,0.901
"6",0.01,4.089,"fiducial-n",100,0.116,0.801
"7",0.01,4.291,"bayesian-n",100,0.105,0.82
"8",0.05,3.426,"fiducial-n",10,0.606,0.317
"9",0.05,3.535,"bayesian-n",10,0.498,0.413
"10",0.05,1.576,"fiducial-n",50,0.334,0.479
"11",0.05,1.594,"bayesian-n",50,0.29,0.494
"12",0.05,1.141,"fiducial-n",100,0.198,0.505
"13",0.05,1.196,"bayesian-n",100,0.218,0.534
"14",0.1,4.399,"fiducial-n",10,0.065,0.883
"15",0.1,4.893,"bayesian-n",10,0.056,0.876
"16",0.1,1.037,"fiducial-n",50,0.286,0.443
"17",0.1,1.001,"bayesian-n",50,0.282,0.399
"18",0.1,0.725,"fiducial-n",100,0.204,0.387
"19",0.1,0.713,"bayesian-n",100,0.196,0.41
"20",0.2,1.663,"fiducial-n",10,0.294,0.512
"21",0.2,1.697,"bayesian-n",10,0.281,0.524
"22",0.2,1.673,"fiducial-n",50,0.008,0.916
"23",0.2,1.719,"bayesian-n",50,0.003,0.917
"24",0.2,0.539,"fiducial-n",100,0.492,0.028
"25",0.2,0.561,"bayesian-n",100,0.498,0.041
"26",0.4,1.182,"fiducial-n",10,0.121,0.62
"27",0.4,1.185,"bayesian-n",10,0.133,0.593
"28",0.4,0.803,"fiducial-n",50,0.76,0.003
"29",0.4,0.813,"bayesian-n",50,0.761,0.004
"30",0.4,0.791,"fiducial-n",100,0,0.784
"31",0.4,0.823,"bayesian-n",100,0,0.815
"32",0.5,1.655,"fiducial-n",10,0.9,0.023
"33",0.5,1.625,"bayesian-n",10,0.883,0.018
"34",0.5,0.118,"fiducial-n",50,0.075,0.043
"35",0.5,0.142,"bayesian-n",50,0.091,0.05
"36",0.5,0.031,"fiducial-n",100,0,0.031
"37",0.5,0.025,"bayesian-n",100,0.001,0.024
"38",0.6,0.539,"fiducial-n",10,0.176,0.312
"39",0.6,0.562,"bayesian-n",10,0.183,0.321
"40",0.6,0.134,"fiducial-n",50,0,0.134
"41",0.6,0.132,"bayesian-n",50,0,0.132
"42",0.6,0.132,"fiducial-n",100,0,0.132
"43",0.6,0.118,"bayesian-n",100,0,0.118
"44",0.7,0.413,"fiducial-n",10,0.221,0.185
"45",0.7,0.413,"bayesian-n",10,0.21,0.191
"46",0.7,0.819,"fiducial-n",50,0,0.818
"47",0.7,0.801,"bayesian-n",50,0,0.801
"48",0.7,0,"fiducial-n",100,0,0
"49",0.7,0,"bayesian-n",100,0,0
"50",0.8,0.215,"fiducial-n",10,0.13,0.085
"51",0.8,0.231,"bayesian-n",10,0.13,0.101
"52",0.8,0,"fiducial-n",50,0,0
"53",0.8,0,"bayesian-n",50,0,0
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.046,"fiducial-n",10,0,0.046
"57",0.9,0.056,"bayesian-n",10,0,0.056
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0,"fiducial-n",10,0,0
"63",0.95,0,"bayesian-n",10,0,0
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
