"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,8.556,"fiducial-n",10,0.815,0.16
"3",0.01,7.036,"bayesian-n",10,0.612,0.357
"4",0.01,3.788,"fiducial-n",50,0.406,0.505
"5",0.01,3.997,"bayesian-n",50,0.354,0.551
"6",0.01,2.513,"fiducial-n",100,0.389,0.483
"7",0.01,2.549,"bayesian-n",100,0.375,0.513
"8",0.05,7.593,"fiducial-n",10,0.07,0.891
"9",0.05,8.003,"bayesian-n",10,0.055,0.921
"10",0.05,1.808,"fiducial-n",50,0.68,0.17
"11",0.05,1.785,"bayesian-n",50,0.687,0.149
"12",0.05,1.333,"fiducial-n",100,0.13,0.636
"13",0.05,1.404,"bayesian-n",100,0.144,0.632
"14",0.1,5.084,"fiducial-n",10,0.042,0.916
"15",0.1,5.499,"bayesian-n",10,0.045,0.916
"16",0.1,1.167,"fiducial-n",50,0.198,0.528
"17",0.1,1.155,"bayesian-n",50,0.195,0.531
"18",0.1,0.686,"fiducial-n",100,0.352,0.232
"19",0.1,0.693,"bayesian-n",100,0.355,0.244
"20",0.2,1.59,"fiducial-n",10,0.386,0.417
"21",0.2,1.616,"bayesian-n",10,0.34,0.453
"22",0.2,0.668,"fiducial-n",50,0.18,0.4
"23",0.2,0.688,"bayesian-n",50,0.188,0.385
"24",0.2,0.457,"fiducial-n",100,0.068,0.359
"25",0.2,0.521,"bayesian-n",100,0.056,0.434
"26",0.4,1.376,"fiducial-n",10,0.085,0.678
"27",0.4,1.434,"bayesian-n",10,0.074,0.732
"28",0.4,1.064,"fiducial-n",50,0.002,0.871
"29",0.4,1.064,"bayesian-n",50,0.001,0.876
"30",0.4,0.193,"fiducial-n",100,0.003,0.19
"31",0.4,0.196,"bayesian-n",100,0.002,0.192
"32",0.5,1.485,"fiducial-n",10,0.857,0.023
"33",0.5,1.471,"bayesian-n",10,0.863,0.018
"34",0.5,0.653,"fiducial-n",50,0.001,0.641
"35",0.5,0.659,"bayesian-n",50,0.001,0.644
"36",0.5,0.04,"fiducial-n",100,0,0.04
"37",0.5,0.023,"bayesian-n",100,0,0.023
"38",0.6,0.663,"fiducial-n",10,0.04,0.513
"39",0.6,0.714,"bayesian-n",10,0.054,0.525
"40",0.6,0.033,"fiducial-n",50,0.015,0.018
"41",0.6,0.033,"bayesian-n",50,0.015,0.018
"42",0.6,0.052,"fiducial-n",100,0,0.052
"43",0.6,0.049,"bayesian-n",100,0,0.049
"44",0.7,1.036,"fiducial-n",10,0.004,0.803
"45",0.7,1.012,"bayesian-n",10,0.001,0.788
"46",0.7,0,"fiducial-n",50,0,0
"47",0.7,0.002,"bayesian-n",50,0,0.002
"48",0.7,0.008,"fiducial-n",100,0,0.008
"49",0.7,0.003,"bayesian-n",100,0,0.003
"50",0.8,0.032,"fiducial-n",10,0,0.032
"51",0.8,0.03,"bayesian-n",10,0,0.03
"52",0.8,0,"fiducial-n",50,0,0
"53",0.8,0,"bayesian-n",50,0,0
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.002,"fiducial-n",10,0,0.002
"57",0.9,0.009,"bayesian-n",10,0,0.009
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0,"fiducial-n",10,0,0
"63",0.95,0,"bayesian-n",10,0,0
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
