"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,8.607,"fiducial-n",10,0.813,0.164
"3",0.01,7.243,"bayesian-n",10,0.59,0.372
"4",0.01,3.475,"fiducial-n",50,0.571,0.341
"5",0.01,3.194,"bayesian-n",50,0.519,0.397
"6",0.01,3.525,"fiducial-n",100,0.171,0.736
"7",0.01,3.503,"bayesian-n",100,0.167,0.733
"8",0.05,8.86,"fiducial-n",10,0.041,0.927
"9",0.05,9.73,"bayesian-n",10,0.025,0.959
"10",0.05,1.619,"fiducial-n",50,0.314,0.468
"11",0.05,1.682,"bayesian-n",50,0.295,0.525
"12",0.05,1.268,"fiducial-n",100,0.623,0.16
"13",0.05,1.201,"bayesian-n",100,0.616,0.15
"14",0.1,2.509,"fiducial-n",10,0.657,0.228
"15",0.1,2.571,"bayesian-n",10,0.655,0.23
"16",0.1,1.008,"fiducial-n",50,0.333,0.353
"17",0.1,1.038,"bayesian-n",50,0.363,0.372
"18",0.1,0.93,"fiducial-n",100,0.086,0.589
"19",0.1,0.895,"bayesian-n",100,0.084,0.566
"20",0.2,2.546,"fiducial-n",10,0.085,0.793
"21",0.2,2.596,"bayesian-n",10,0.097,0.8
"22",0.2,0.644,"fiducial-n",50,0.372,0.183
"23",0.2,0.623,"bayesian-n",50,0.355,0.205
"24",0.2,0.637,"fiducial-n",100,0.565,0.036
"25",0.2,0.636,"bayesian-n",100,0.557,0.04
"26",0.4,1.153,"fiducial-n",10,0.145,0.593
"27",0.4,1.154,"bayesian-n",10,0.145,0.584
"28",0.4,0.757,"fiducial-n",50,0.72,0.005
"29",0.4,0.726,"bayesian-n",50,0.697,0.004
"30",0.4,0.258,"fiducial-n",100,0,0.258
"31",0.4,0.267,"bayesian-n",100,0.002,0.265
"32",0.5,0.822,"fiducial-n",10,0.199,0.437
"33",0.5,0.791,"bayesian-n",10,0.201,0.432
"34",0.5,0.684,"fiducial-n",50,0,0.664
"35",0.5,0.702,"bayesian-n",50,0,0.684
"36",0.5,0.04,"fiducial-n",100,0.04,0
"37",0.5,0.036,"bayesian-n",100,0.035,0.001
"38",0.6,0.828,"fiducial-n",10,0.035,0.614
"39",0.6,0.839,"bayesian-n",10,0.054,0.596
"40",0.6,0.031,"fiducial-n",50,0.017,0.014
"41",0.6,0.038,"bayesian-n",50,0.014,0.024
"42",0.6,0.045,"fiducial-n",100,0.045,0
"43",0.6,0.048,"bayesian-n",100,0.048,0
"44",0.7,0.487,"fiducial-n",10,0.437,0.05
"45",0.7,0.498,"bayesian-n",10,0.441,0.056
"46",0.7,0.01,"fiducial-n",50,0,0.01
"47",0.7,0.011,"bayesian-n",50,0,0.011
"48",0.7,0.033,"fiducial-n",100,0.033,0
"49",0.7,0.044,"bayesian-n",100,0.044,0
"50",0.8,0.38,"fiducial-n",10,0,0.367
"51",0.8,0.387,"bayesian-n",10,0,0.375
"52",0.8,0,"fiducial-n",50,0,0
"53",0.8,0,"bayesian-n",50,0,0
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.004,"fiducial-n",10,0,0.004
"57",0.9,0.012,"bayesian-n",10,0,0.012
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0,"fiducial-n",10,0,0
"63",0.95,0,"bayesian-n",10,0,0
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
