"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,9.563,"fiducial-n",10,0.396,0.56
"3",0.01,11.835,"bayesian-n",10,0.242,0.727
"4",0.01,4.027,"fiducial-n",50,0.759,0.178
"5",0.01,3.76,"bayesian-n",50,0.721,0.218
"6",0.01,2.939,"fiducial-n",100,0.745,0.176
"7",0.01,2.831,"bayesian-n",100,0.701,0.199
"8",0.05,4.088,"fiducial-n",10,0.778,0.169
"9",0.05,3.748,"bayesian-n",10,0.729,0.196
"10",0.05,1.877,"fiducial-n",50,0.19,0.634
"11",0.05,2.047,"bayesian-n",50,0.179,0.659
"12",0.05,1.171,"fiducial-n",100,0.539,0.223
"13",0.05,1.1,"bayesian-n",100,0.513,0.225
"14",0.1,2.462,"fiducial-n",10,0.629,0.258
"15",0.1,2.386,"bayesian-n",10,0.58,0.305
"16",0.1,1.592,"fiducial-n",50,0.793,0.058
"17",0.1,1.508,"bayesian-n",50,0.774,0.065
"18",0.1,1.684,"fiducial-n",100,0.013,0.882
"19",0.1,1.715,"bayesian-n",100,0.01,0.892
"20",0.2,2.629,"fiducial-n",10,0.076,0.817
"21",0.2,2.772,"bayesian-n",10,0.071,0.839
"22",0.2,1.095,"fiducial-n",50,0.037,0.713
"23",0.2,1.087,"bayesian-n",50,0.045,0.685
"24",0.2,1.936,"fiducial-n",100,0.996,0
"25",0.2,1.938,"bayesian-n",100,0.994,0
"26",0.4,1.995,"fiducial-n",10,0.908,0.02
"27",0.4,2.097,"bayesian-n",10,0.918,0.015
"28",0.4,0.57,"fiducial-n",50,0.531,0.031
"29",0.4,0.561,"bayesian-n",50,0.536,0.017
"30",0.4,0.066,"fiducial-n",100,0.042,0.024
"31",0.4,0.05,"bayesian-n",100,0.034,0.016
"32",0.5,1.442,"fiducial-n",10,0.863,0.025
"33",0.5,1.43,"bayesian-n",10,0.838,0.029
"34",0.5,1.018,"fiducial-n",50,0,0.915
"35",0.5,1.002,"bayesian-n",50,0,0.927
"36",0.5,0.019,"fiducial-n",100,0.018,0.001
"37",0.5,0.023,"bayesian-n",100,0.019,0.004
"38",0.6,1.833,"fiducial-n",10,0.002,0.963
"39",0.6,1.824,"bayesian-n",10,0,0.956
"40",0.6,0.042,"fiducial-n",50,0.02,0.022
"41",0.6,0.041,"bayesian-n",50,0.022,0.019
"42",0.6,0.08,"fiducial-n",100,0.08,0
"43",0.6,0.083,"bayesian-n",100,0.083,0
"44",0.7,1.139,"fiducial-n",10,0.874,0.002
"45",0.7,1.09,"bayesian-n",10,0.869,0.004
"46",0.7,0.756,"fiducial-n",50,0,0.756
"47",0.7,0.727,"bayesian-n",50,0,0.727
"48",0.7,0,"fiducial-n",100,0,0
"49",0.7,0,"bayesian-n",100,0,0
"50",0.8,0.622,"fiducial-n",10,0,0.589
"51",0.8,0.632,"bayesian-n",10,0,0.592
"52",0.8,0,"fiducial-n",50,0,0
"53",0.8,0,"bayesian-n",50,0,0
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.008,"fiducial-n",10,0,0.008
"57",0.9,0.005,"bayesian-n",10,0,0.005
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0,"fiducial-n",10,0,0
"63",0.95,0.001,"bayesian-n",10,0,0.001
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
