"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,9.577,"fiducial-n",10,0.434,0.527
"3",0.01,11.987,"bayesian-n",10,0.258,0.704
"4",0.01,4.12,"fiducial-n",50,0.761,0.18
"5",0.01,3.789,"bayesian-n",50,0.692,0.238
"6",0.01,4.788,"fiducial-n",100,0.067,0.868
"7",0.01,5.076,"bayesian-n",100,0.063,0.884
"8",0.05,3.432,"fiducial-n",10,0.595,0.319
"9",0.05,3.399,"bayesian-n",10,0.474,0.433
"10",0.05,4.279,"fiducial-n",50,0.012,0.956
"11",0.05,4.24,"bayesian-n",50,0.011,0.956
"12",0.05,2.104,"fiducial-n",100,0.044,0.837
"13",0.05,2,"bayesian-n",100,0.03,0.827
"14",0.1,2.44,"fiducial-n",10,0.668,0.231
"15",0.1,2.518,"bayesian-n",10,0.621,0.259
"16",0.1,1.431,"fiducial-n",50,0.723,0.081
"17",0.1,1.51,"bayesian-n",50,0.759,0.07
"18",0.1,2.277,"fiducial-n",100,0.987,0.001
"19",0.1,2.28,"bayesian-n",100,0.98,0
"20",0.2,1.548,"fiducial-n",10,0.529,0.292
"21",0.2,1.673,"bayesian-n",10,0.579,0.242
"22",0.2,1.19,"fiducial-n",50,0.034,0.751
"23",0.2,1.262,"bayesian-n",50,0.028,0.777
"24",0.2,0.868,"fiducial-n",100,0.75,0.007
"25",0.2,0.886,"bayesian-n",100,0.778,0.008
"26",0.4,1.266,"fiducial-n",10,0.699,0.086
"27",0.4,1.224,"bayesian-n",10,0.678,0.104
"28",0.4,0.679,"fiducial-n",50,0.003,0.629
"29",0.4,0.678,"bayesian-n",50,0.008,0.624
"30",0.4,0.906,"fiducial-n",100,0.904,0
"31",0.4,0.919,"bayesian-n",100,0.918,0
"32",0.5,0.745,"fiducial-n",10,0.219,0.386
"33",0.5,0.746,"bayesian-n",10,0.176,0.43
"34",0.5,0.129,"fiducial-n",50,0.012,0.117
"35",0.5,0.154,"bayesian-n",50,0.021,0.133
"36",0.5,0.246,"fiducial-n",100,0.246,0
"37",0.5,0.232,"bayesian-n",100,0.232,0
"38",0.6,0.55,"fiducial-n",10,0.197,0.302
"39",0.6,0.584,"bayesian-n",10,0.195,0.335
"40",0.6,0.046,"fiducial-n",50,0,0.046
"41",0.6,0.038,"bayesian-n",50,0,0.038
"42",0.6,0,"fiducial-n",100,0,0
"43",0.6,0,"bayesian-n",100,0,0
"44",0.7,0.402,"fiducial-n",10,0.163,0.226
"45",0.7,0.356,"bayesian-n",10,0.154,0.191
"46",0.7,0.051,"fiducial-n",50,0,0.051
"47",0.7,0.047,"bayesian-n",50,0,0.047
"48",0.7,0,"fiducial-n",100,0,0
"49",0.7,0,"bayesian-n",100,0,0
"50",0.8,0.212,"fiducial-n",10,0,0.21
"51",0.8,0.196,"bayesian-n",10,0,0.191
"52",0.8,0,"fiducial-n",50,0,0
"53",0.8,0,"bayesian-n",50,0,0
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.005,"fiducial-n",10,0,0.005
"57",0.9,0.01,"bayesian-n",10,0,0.01
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0.002,"fiducial-n",10,0,0.002
"63",0.95,0,"bayesian-n",10,0,0
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
