"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,8.798,"fiducial-n",10,0.823,0.162
"3",0.01,7.631,"bayesian-n",10,0.632,0.328
"4",0.01,9.377,"fiducial-n",50,0.026,0.954
"5",0.01,10.013,"bayesian-n",50,0.026,0.959
"6",0.01,2.734,"fiducial-n",100,0.674,0.219
"7",0.01,2.576,"bayesian-n",100,0.621,0.27
"8",0.05,3.9,"fiducial-n",10,0.768,0.178
"9",0.05,3.673,"bayesian-n",10,0.689,0.244
"10",0.05,1.528,"fiducial-n",50,0.427,0.363
"11",0.05,1.466,"bayesian-n",50,0.428,0.375
"12",0.05,1.072,"fiducial-n",100,0.436,0.282
"13",0.05,1.032,"bayesian-n",100,0.423,0.281
"14",0.1,2.346,"fiducial-n",10,0.524,0.353
"15",0.1,2.307,"bayesian-n",10,0.484,0.381
"16",0.1,2.623,"fiducial-n",50,0.971,0.004
"17",0.1,2.669,"bayesian-n",50,0.974,0.007
"18",0.1,0.799,"fiducial-n",100,0.146,0.467
"19",0.1,0.794,"bayesian-n",100,0.16,0.477
"20",0.2,1.571,"fiducial-n",10,0.361,0.441
"21",0.2,1.498,"bayesian-n",10,0.327,0.459
"22",0.2,0.841,"fiducial-n",50,0.597,0.085
"23",0.2,0.845,"bayesian-n",50,0.612,0.073
"24",0.2,1.114,"fiducial-n",100,0.001,0.861
"25",0.2,1.105,"bayesian-n",100,0.001,0.85
"26",0.4,0.877,"fiducial-n",10,0.273,0.39
"27",0.4,0.943,"bayesian-n",10,0.275,0.408
"28",0.4,0.3,"fiducial-n",50,0.08,0.214
"29",0.4,0.31,"bayesian-n",50,0.072,0.236
"30",0.4,0.095,"fiducial-n",100,0.006,0.089
"31",0.4,0.108,"bayesian-n",100,0.011,0.097
"32",0.5,0.93,"fiducial-n",10,0.609,0.107
"33",0.5,0.861,"bayesian-n",10,0.561,0.122
"34",0.5,0.155,"fiducial-n",50,0.016,0.139
"35",0.5,0.141,"bayesian-n",50,0.014,0.127
"36",0.5,0.037,"fiducial-n",100,0.001,0.036
"37",0.5,0.028,"bayesian-n",100,0.001,0.027
"38",0.6,0.663,"fiducial-n",10,0.115,0.443
"39",0.6,0.635,"bayesian-n",10,0.113,0.426
"40",0.6,0.114,"fiducial-n",50,0.002,0.112
"41",0.6,0.091,"bayesian-n",50,0,0.091
"42",0.6,0.003,"fiducial-n",100,0,0.003
"43",0.6,0.002,"bayesian-n",100,0,0.002
"44",0.7,0.677,"fiducial-n",10,0,0.588
"45",0.7,0.678,"bayesian-n",10,0,0.588
"46",0.7,0.38,"fiducial-n",50,0,0.38
"47",0.7,0.385,"bayesian-n",50,0,0.385
"48",0.7,0,"fiducial-n",100,0,0
"49",0.7,0,"bayesian-n",100,0,0
"50",0.8,0.058,"fiducial-n",10,0,0.057
"51",0.8,0.067,"bayesian-n",10,0,0.067
"52",0.8,0,"fiducial-n",50,0,0
"53",0.8,0,"bayesian-n",50,0,0
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.04,"fiducial-n",10,0,0.04
"57",0.9,0.042,"bayesian-n",10,0,0.042
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0,"fiducial-n",10,0,0
"63",0.95,0,"bayesian-n",10,0,0
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
