"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,25.914,"fiducial-n",10,0.04,0.95
"3",0.01,29.457,"bayesian-n",10,0.016,0.976
"4",0.01,3.589,"fiducial-n",50,0.598,0.324
"5",0.01,3.421,"bayesian-n",50,0.52,0.403
"6",0.01,5.642,"fiducial-n",100,0.04,0.915
"7",0.01,6.189,"bayesian-n",100,0.026,0.945
"8",0.05,3.45,"fiducial-n",10,0.575,0.343
"9",0.05,3.232,"bayesian-n",10,0.513,0.378
"10",0.05,1.924,"fiducial-n",50,0.734,0.117
"11",0.05,1.973,"bayesian-n",50,0.754,0.124
"12",0.05,1.164,"fiducial-n",100,0.221,0.5
"13",0.05,1.18,"bayesian-n",100,0.223,0.502
"14",0.1,2.632,"fiducial-n",10,0.665,0.231
"15",0.1,2.587,"bayesian-n",10,0.646,0.242
"16",0.1,1.16,"fiducial-n",50,0.205,0.514
"17",0.1,1.179,"bayesian-n",50,0.196,0.54
"18",0.1,0.873,"fiducial-n",100,0.099,0.543
"19",0.1,0.899,"bayesian-n",100,0.101,0.566
"20",0.2,3.67,"fiducial-n",10,0.023,0.922
"21",0.2,3.834,"bayesian-n",10,0.018,0.922
"22",0.2,0.628,"fiducial-n",50,0.253,0.298
"23",0.2,0.625,"bayesian-n",50,0.259,0.283
"24",0.2,0.546,"fiducial-n",100,0.042,0.447
"25",0.2,0.532,"bayesian-n",100,0.036,0.458
"26",0.4,1.066,"fiducial-n",10,0.61,0.138
"27",0.4,1.069,"bayesian-n",10,0.596,0.147
"28",0.4,0.3,"fiducial-n",50,0.235,0.064
"29",0.4,0.313,"bayesian-n",50,0.256,0.054
"30",0.4,0.148,"fiducial-n",100,0.139,0.009
"31",0.4,0.14,"bayesian-n",100,0.138,0.002
"32",0.5,0.741,"fiducial-n",10,0.416,0.196
"33",0.5,0.757,"bayesian-n",10,0.415,0.213
"34",0.5,0.158,"fiducial-n",50,0.025,0.13
"35",0.5,0.152,"bayesian-n",50,0.021,0.131
"36",0.5,0.009,"fiducial-n",100,0.004,0.005
"37",0.5,0.012,"bayesian-n",100,0.001,0.011
"38",0.6,1.605,"fiducial-n",10,0.001,0.923
"39",0.6,1.646,"bayesian-n",10,0.001,0.922
"40",0.6,0.677,"fiducial-n",50,0.677,0
"41",0.6,0.66,"bayesian-n",50,0.66,0
"42",0.6,0,"fiducial-n",100,0,0
"43",0.6,0,"bayesian-n",100,0,0
"44",0.7,0.44,"fiducial-n",10,0.33,0.105
"45",0.7,0.452,"bayesian-n",10,0.337,0.108
"46",0.7,0.477,"fiducial-n",50,0.477,0
"47",0.7,0.523,"bayesian-n",50,0.523,0
"48",0.7,0,"fiducial-n",100,0,0
"49",0.7,0,"bayesian-n",100,0,0
"50",0.8,0.013,"fiducial-n",10,0,0.013
"51",0.8,0.016,"bayesian-n",10,0,0.016
"52",0.8,0.003,"fiducial-n",50,0,0.003
"53",0.8,0,"bayesian-n",50,0,0
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.023,"fiducial-n",10,0,0.023
"57",0.9,0.023,"bayesian-n",10,0,0.023
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0,"fiducial-n",10,0,0
"63",0.95,0,"bayesian-n",10,0,0
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
