"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,9.522,"fiducial-n",10,0.409,0.546
"3",0.01,11.889,"bayesian-n",10,0.24,0.725
"4",0.01,7.162,"fiducial-n",50,0.07,0.887
"5",0.01,8.256,"bayesian-n",50,0.045,0.927
"6",0.01,2.46,"fiducial-n",100,0.525,0.36
"7",0.01,2.456,"bayesian-n",100,0.469,0.391
"8",0.05,4.803,"fiducial-n",10,0.885,0.077
"9",0.05,4.374,"bayesian-n",10,0.854,0.103
"10",0.05,1.697,"fiducial-n",50,0.27,0.551
"11",0.05,1.641,"bayesian-n",50,0.263,0.538
"12",0.05,1.683,"fiducial-n",100,0.079,0.763
"13",0.05,1.645,"bayesian-n",100,0.088,0.748
"14",0.1,2.262,"fiducial-n",10,0.494,0.373
"15",0.1,2.345,"bayesian-n",10,0.453,0.424
"16",0.1,1.804,"fiducial-n",50,0.052,0.8
"17",0.1,1.776,"bayesian-n",50,0.057,0.781
"18",0.1,0.753,"fiducial-n",100,0.272,0.35
"19",0.1,0.677,"bayesian-n",100,0.258,0.323
"20",0.2,1.659,"fiducial-n",10,0.579,0.246
"21",0.2,1.688,"bayesian-n",10,0.571,0.272
"22",0.2,0.653,"fiducial-n",50,0.389,0.189
"23",0.2,0.658,"bayesian-n",50,0.396,0.174
"24",0.2,0.656,"fiducial-n",100,0.593,0.029
"25",0.2,0.647,"bayesian-n",100,0.578,0.031
"26",0.4,1.029,"fiducial-n",10,0.213,0.489
"27",0.4,1.019,"bayesian-n",10,0.181,0.509
"28",0.4,0.484,"fiducial-n",50,0.455,0.023
"29",0.4,0.484,"bayesian-n",50,0.448,0.03
"30",0.4,0.381,"fiducial-n",100,0,0.381
"31",0.4,0.426,"bayesian-n",100,0,0.425
"32",0.5,0.831,"fiducial-n",10,0.157,0.477
"33",0.5,0.786,"bayesian-n",10,0.151,0.446
"34",0.5,0.539,"fiducial-n",50,0.001,0.533
"35",0.5,0.528,"bayesian-n",50,0.001,0.517
"36",0.5,0.95,"fiducial-n",100,0,0.948
"37",0.5,0.939,"bayesian-n",100,0,0.938
"38",0.6,0.623,"fiducial-n",10,0.445,0.126
"39",0.6,0.631,"bayesian-n",10,0.429,0.146
"40",0.6,0.047,"fiducial-n",50,0.035,0.012
"41",0.6,0.036,"bayesian-n",50,0.028,0.008
"42",0.6,0,"fiducial-n",100,0,0
"43",0.6,0.001,"bayesian-n",100,0,0.001
"44",0.7,0.48,"fiducial-n",10,0.373,0.099
"45",0.7,0.446,"bayesian-n",10,0.362,0.083
"46",0.7,0,"fiducial-n",50,0,0
"47",0.7,0,"bayesian-n",50,0,0
"48",0.7,0,"fiducial-n",100,0,0
"49",0.7,0,"bayesian-n",100,0,0
"50",0.8,0.926,"fiducial-n",10,0.925,0.001
"51",0.8,0.923,"bayesian-n",10,0.923,0
"52",0.8,0,"fiducial-n",50,0,0
"53",0.8,0,"bayesian-n",50,0,0
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.009,"fiducial-n",10,0,0.009
"57",0.9,0.01,"bayesian-n",10,0,0.01
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0,"fiducial-n",10,0,0
"63",0.95,0,"bayesian-n",10,0,0
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
