"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,9.399,"fiducial-n",10,0.432,0.53
"3",0.01,11.957,"bayesian-n",10,0.25,0.716
"4",0.01,5.319,"fiducial-n",50,0.901,0.071
"5",0.01,4.707,"bayesian-n",50,0.864,0.099
"6",0.01,2.478,"fiducial-n",100,0.503,0.378
"7",0.01,2.49,"bayesian-n",100,0.458,0.413
"8",0.05,4.505,"fiducial-n",10,0.26,0.658
"9",0.05,4.881,"bayesian-n",10,0.223,0.709
"10",0.05,1.788,"fiducial-n",50,0.674,0.179
"11",0.05,1.742,"bayesian-n",50,0.659,0.183
"12",0.05,1.073,"fiducial-n",100,0.442,0.272
"13",0.05,1.052,"bayesian-n",100,0.447,0.273
"14",0.1,2.873,"fiducial-n",10,0.266,0.645
"15",0.1,2.791,"bayesian-n",10,0.246,0.642
"16",0.1,1.115,"fiducial-n",50,0.52,0.218
"17",0.1,1.098,"bayesian-n",50,0.532,0.189
"18",0.1,0.68,"fiducial-n",100,0.371,0.22
"19",0.1,0.676,"bayesian-n",100,0.369,0.22
"20",0.2,1.668,"fiducial-n",10,0.59,0.233
"21",0.2,1.668,"bayesian-n",10,0.574,0.255
"22",0.2,0.651,"fiducial-n",50,0.268,0.294
"23",0.2,0.627,"bayesian-n",50,0.242,0.307
"24",0.2,0.4,"fiducial-n",100,0.093,0.29
"25",0.2,0.459,"bayesian-n",100,0.115,0.323
"26",0.4,1.23,"fiducial-n",10,0.105,0.64
"27",0.4,1.211,"bayesian-n",10,0.113,0.618
"28",0.4,0.375,"fiducial-n",50,0.332,0.043
"29",0.4,0.411,"bayesian-n",50,0.379,0.028
"30",0.4,1.037,"fiducial-n",100,0,0.977
"31",0.4,1.037,"bayesian-n",100,0,0.976
"32",0.5,2.897,"fiducial-n",10,0.993,0
"33",0.5,2.916,"bayesian-n",10,0.997,0.001
"34",0.5,0.108,"fiducial-n",50,0.047,0.061
"35",0.5,0.114,"bayesian-n",50,0.045,0.069
"36",0.5,0.578,"fiducial-n",100,0.578,0
"37",0.5,0.587,"bayesian-n",100,0.587,0
"38",0.6,0.608,"fiducial-n",10,0.526,0.076
"39",0.6,0.587,"bayesian-n",10,0.499,0.081
"40",0.6,0.044,"fiducial-n",50,0,0.044
"41",0.6,0.044,"bayesian-n",50,0,0.044
"42",0.6,0.047,"fiducial-n",100,0,0.047
"43",0.6,0.033,"bayesian-n",100,0,0.033
"44",0.7,0.388,"fiducial-n",10,0.165,0.207
"45",0.7,0.386,"bayesian-n",10,0.155,0.217
"46",0.7,0,"fiducial-n",50,0,0
"47",0.7,0.002,"bayesian-n",50,0,0.002
"48",0.7,0.775,"fiducial-n",100,0.775,0
"49",0.7,0.747,"bayesian-n",100,0.747,0
"50",0.8,0.148,"fiducial-n",10,0,0.147
"51",0.8,0.124,"bayesian-n",10,0,0.121
"52",0.8,0.008,"fiducial-n",50,0,0.008
"53",0.8,0.007,"bayesian-n",50,0,0.007
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.007,"fiducial-n",10,0,0.007
"57",0.9,0.007,"bayesian-n",10,0,0.007
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0,"fiducial-n",10,0,0
"63",0.95,0,"bayesian-n",10,0,0
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
