"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,16.868,"fiducial-n",10,0.152,0.822
"3",0.01,21.109,"bayesian-n",10,0.071,0.916
"4",0.01,5.103,"fiducial-n",50,0.895,0.08
"5",0.01,4.809,"bayesian-n",50,0.863,0.094
"6",0.01,2.395,"fiducial-n",100,0.543,0.325
"7",0.01,2.606,"bayesian-n",100,0.495,0.402
"8",0.05,7.302,"fiducial-n",10,0.063,0.898
"9",0.05,8.226,"bayesian-n",10,0.046,0.928
"10",0.05,1.658,"fiducial-n",50,0.261,0.539
"11",0.05,1.747,"bayesian-n",50,0.248,0.555
"12",0.05,1.245,"fiducial-n",100,0.621,0.133
"13",0.05,1.275,"bayesian-n",100,0.631,0.133
"14",0.1,6.319,"fiducial-n",10,0.019,0.949
"15",0.1,6.706,"bayesian-n",10,0.017,0.963
"16",0.1,1.134,"fiducial-n",50,0.202,0.515
"17",0.1,1.055,"bayesian-n",50,0.209,0.479
"18",0.1,0.722,"fiducial-n",100,0.459,0.149
"19",0.1,0.74,"bayesian-n",100,0.447,0.161
"20",0.2,5.259,"fiducial-n",10,0.003,0.989
"21",0.2,5.138,"bayesian-n",10,0.004,0.982
"22",0.2,1.627,"fiducial-n",50,0.001,0.888
"23",0.2,1.597,"bayesian-n",50,0.011,0.893
"24",0.2,0.613,"fiducial-n",100,0.548,0.034
"25",0.2,0.595,"bayesian-n",100,0.532,0.031
"26",0.4,1.026,"fiducial-n",10,0.18,0.508
"27",0.4,1.078,"bayesian-n",10,0.189,0.532
"28",0.4,0.319,"fiducial-n",50,0.053,0.261
"29",0.4,0.306,"bayesian-n",50,0.066,0.234
"30",0.4,0.057,"fiducial-n",100,0.008,0.049
"31",0.4,0.057,"bayesian-n",100,0.007,0.05
"32",0.5,1.234,"fiducial-n",10,0.78,0.042
"33",0.5,1.188,"bayesian-n",10,0.758,0.043
"34",0.5,0.53,"fiducial-n",50,0.002,0.52
"35",0.5,0.512,"bayesian-n",50,0.002,0.504
"36",0.5,0.055,"fiducial-n",100,0.054,0.001
"37",0.5,0.048,"bayesian-n",100,0.047,0.001
"38",0.6,0.585,"fiducial-n",10,0.373,0.163
"39",0.6,0.581,"bayesian-n",10,0.37,0.162
"40",0.6,0.069,"fiducial-n",50,0,0.069
"41",0.6,0.074,"bayesian-n",50,0,0.074
"42",0.6,0,"fiducial-n",100,0,0
"43",0.6,0,"bayesian-n",100,0,0
"44",0.7,0.409,"fiducial-n",10,0.1,0.284
"45",0.7,0.405,"bayesian-n",10,0.097,0.287
"46",0.7,0,"fiducial-n",50,0,0
"47",0.7,0.001,"bayesian-n",50,0,0.001
"48",0.7,0,"fiducial-n",100,0,0
"49",0.7,0,"bayesian-n",100,0,0
"50",0.8,0.12,"fiducial-n",10,0,0.12
"51",0.8,0.148,"bayesian-n",10,0,0.145
"52",0.8,0,"fiducial-n",50,0,0
"53",0.8,0,"bayesian-n",50,0,0
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.014,"fiducial-n",10,0,0.014
"57",0.9,0.02,"bayesian-n",10,0,0.02
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0,"fiducial-n",10,0,0
"63",0.95,0,"bayesian-n",10,0,0
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
