"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,8.558,"fiducial-n",10,0.811,0.172
"3",0.01,7.174,"bayesian-n",10,0.642,0.314
"4",0.01,3.689,"fiducial-n",50,0.387,0.524
"5",0.01,4.157,"bayesian-n",50,0.337,0.582
"6",0.01,2.587,"fiducial-n",100,0.384,0.501
"7",0.01,2.677,"bayesian-n",100,0.334,0.549
"8",0.05,9.236,"fiducial-n",10,0.033,0.944
"9",0.05,9.688,"bayesian-n",10,0.021,0.963
"10",0.05,2.312,"fiducial-n",50,0.119,0.729
"11",0.05,2.321,"bayesian-n",50,0.078,0.781
"12",0.05,1.059,"fiducial-n",100,0.361,0.353
"13",0.05,1.034,"bayesian-n",100,0.377,0.312
"14",0.1,4.81,"fiducial-n",10,0.06,0.885
"15",0.1,5.08,"bayesian-n",10,0.042,0.908
"16",0.1,1.307,"fiducial-n",50,0.124,0.63
"17",0.1,1.258,"bayesian-n",50,0.143,0.6
"18",0.1,0.981,"fiducial-n",100,0.665,0.058
"19",0.1,0.95,"bayesian-n",100,0.634,0.077
"20",0.2,1.575,"fiducial-n",10,0.57,0.242
"21",0.2,1.57,"bayesian-n",10,0.543,0.284
"22",0.2,1.436,"fiducial-n",50,0.01,0.847
"23",0.2,1.468,"bayesian-n",50,0.011,0.855
"24",0.2,0.522,"fiducial-n",100,0.447,0.057
"25",0.2,0.537,"bayesian-n",100,0.446,0.071
"26",0.4,1.171,"fiducial-n",10,0.11,0.628
"27",0.4,1.195,"bayesian-n",10,0.117,0.626
"28",0.4,0.96,"fiducial-n",50,0.001,0.828
"29",0.4,0.938,"bayesian-n",50,0,0.805
"30",0.4,1.026,"fiducial-n",100,0,0.966
"31",0.4,1.02,"bayesian-n",100,0,0.973
"32",0.5,0.701,"fiducial-n",10,0.352,0.247
"33",0.5,0.671,"bayesian-n",10,0.332,0.257
"34",0.5,0.776,"fiducial-n",50,0.001,0.749
"35",0.5,0.794,"bayesian-n",50,0,0.775
"36",0.5,0.459,"fiducial-n",100,0,0.459
"37",0.5,0.435,"bayesian-n",100,0,0.435
"38",0.6,0.745,"fiducial-n",10,0.574,0.091
"39",0.6,0.664,"bayesian-n",10,0.501,0.087
"40",0.6,0.033,"fiducial-n",50,0.01,0.023
"41",0.6,0.044,"bayesian-n",50,0.011,0.033
"42",0.6,0.003,"fiducial-n",100,0,0.003
"43",0.6,0.007,"bayesian-n",100,0,0.007
"44",0.7,0.397,"fiducial-n",10,0.224,0.169
"45",0.7,0.375,"bayesian-n",10,0.204,0.16
"46",0.7,0,"fiducial-n",50,0,0
"47",0.7,0.001,"bayesian-n",50,0,0.001
"48",0.7,0,"fiducial-n",100,0,0
"49",0.7,0,"bayesian-n",100,0,0
"50",0.8,0.595,"fiducial-n",10,0,0.58
"51",0.8,0.6,"bayesian-n",10,0,0.578
"52",0.8,0.006,"fiducial-n",50,0,0.006
"53",0.8,0.001,"bayesian-n",50,0,0.001
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.003,"fiducial-n",10,0,0.003
"57",0.9,0.009,"bayesian-n",10,0,0.009
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0.001,"fiducial-n",10,0,0.001
"63",0.95,0,"bayesian-n",10,0,0
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
