"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,9.4,"fiducial-n",10,0.421,0.538
"3",0.01,12.39,"bayesian-n",10,0.217,0.751
"4",0.01,4.432,"fiducial-n",50,0.254,0.669
"5",0.01,5.012,"bayesian-n",50,0.2,0.715
"6",0.01,2.54,"fiducial-n",100,0.507,0.369
"7",0.01,2.591,"bayesian-n",100,0.501,0.38
"8",0.05,3.549,"fiducial-n",10,0.632,0.282
"9",0.05,3.464,"bayesian-n",10,0.563,0.364
"10",0.05,2.192,"fiducial-n",50,0.122,0.735
"11",0.05,2.176,"bayesian-n",50,0.147,0.707
"12",0.05,1.08,"fiducial-n",100,0.319,0.391
"13",0.05,1.1,"bayesian-n",100,0.324,0.404
"14",0.1,5.678,"fiducial-n",10,0.978,0.015
"15",0.1,5.226,"bayesian-n",10,0.972,0.018
"16",0.1,2.777,"fiducial-n",50,0.01,0.947
"17",0.1,2.839,"bayesian-n",50,0.006,0.942
"18",0.1,1.351,"fiducial-n",100,0.022,0.782
"19",0.1,1.344,"bayesian-n",100,0.022,0.786
"20",0.2,3.5,"fiducial-n",10,0.024,0.932
"21",0.2,3.437,"bayesian-n",10,0.022,0.921
"22",0.2,1.376,"fiducial-n",50,0.011,0.826
"23",0.2,1.358,"bayesian-n",50,0.007,0.824
"24",0.2,0.526,"fiducial-n",100,0.047,0.441
"25",0.2,0.535,"bayesian-n",100,0.058,0.44
"26",0.4,1.103,"fiducial-n",10,0.617,0.144
"27",0.4,1.055,"bayesian-n",10,0.582,0.143
"28",0.4,0.298,"fiducial-n",50,0.227,0.07
"29",0.4,0.302,"bayesian-n",50,0.251,0.051
"30",0.4,0.751,"fiducial-n",100,0,0.744
"31",0.4,0.725,"bayesian-n",100,0,0.725
"32",0.5,1.285,"fiducial-n",10,0.784,0.035
"33",0.5,1.256,"bayesian-n",10,0.786,0.047
"34",0.5,0.416,"fiducial-n",50,0.411,0.005
"35",0.5,0.435,"bayesian-n",50,0.427,0.008
"36",0.5,0.075,"fiducial-n",100,0,0.075
"37",0.5,0.067,"bayesian-n",100,0,0.067
"38",0.6,0.56,"fiducial-n",10,0.322,0.18
"39",0.6,0.597,"bayesian-n",10,0.349,0.202
"40",0.6,0.778,"fiducial-n",50,0,0.774
"41",0.6,0.792,"bayesian-n",50,0,0.79
"42",0.6,0.005,"fiducial-n",100,0,0.005
"43",0.6,0.003,"bayesian-n",100,0,0.003
"44",0.7,0.657,"fiducial-n",10,0.023,0.554
"45",0.7,0.693,"bayesian-n",10,0.012,0.586
"46",0.7,0.27,"fiducial-n",50,0,0.27
"47",0.7,0.272,"bayesian-n",50,0,0.272
"48",0.7,0,"fiducial-n",100,0,0
"49",0.7,0,"bayesian-n",100,0,0
"50",0.8,0.043,"fiducial-n",10,0,0.043
"51",0.8,0.044,"bayesian-n",10,0,0.043
"52",0.8,0.004,"fiducial-n",50,0,0.004
"53",0.8,0.002,"bayesian-n",50,0,0.002
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.052,"fiducial-n",10,0,0.052
"57",0.9,0.053,"bayesian-n",10,0,0.053
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0,"fiducial-n",10,0,0
"63",0.95,0.001,"bayesian-n",10,0,0.001
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
