"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,8.839,"fiducial-n",10,0.808,0.178
"3",0.01,7.574,"bayesian-n",10,0.641,0.32
"4",0.01,6.719,"fiducial-n",50,0.968,0.021
"5",0.01,6.164,"bayesian-n",50,0.945,0.039
"6",0.01,3.446,"fiducial-n",100,0.198,0.703
"7",0.01,3.572,"bayesian-n",100,0.139,0.76
"8",0.05,5.224,"fiducial-n",10,0.909,0.063
"9",0.05,4.802,"bayesian-n",10,0.868,0.083
"10",0.05,1.837,"fiducial-n",50,0.689,0.152
"11",0.05,1.845,"bayesian-n",50,0.687,0.164
"12",0.05,1.742,"fiducial-n",100,0.817,0.061
"13",0.05,1.692,"bayesian-n",100,0.808,0.059
"14",0.1,7.625,"fiducial-n",10,0.006,0.978
"15",0.1,7.793,"bayesian-n",10,0.012,0.981
"16",0.1,1.342,"fiducial-n",50,0.71,0.103
"17",0.1,1.353,"bayesian-n",50,0.692,0.121
"18",0.1,0.64,"fiducial-n",100,0.24,0.306
"19",0.1,0.682,"bayesian-n",100,0.281,0.31
"20",0.2,1.547,"fiducial-n",10,0.574,0.233
"21",0.2,1.585,"bayesian-n",10,0.574,0.245
"22",0.2,1.306,"fiducial-n",50,0.016,0.802
"23",0.2,1.28,"bayesian-n",50,0.016,0.807
"24",0.2,0.532,"fiducial-n",100,0.066,0.423
"25",0.2,0.446,"bayesian-n",100,0.058,0.367
"26",0.4,0.986,"fiducial-n",10,0.489,0.195
"27",0.4,0.938,"bayesian-n",10,0.505,0.192
"28",0.4,1.018,"fiducial-n",50,0.899,0.002
"29",0.4,0.997,"bayesian-n",50,0.869,0.001
"30",0.4,0.097,"fiducial-n",100,0.006,0.091
"31",0.4,0.085,"bayesian-n",100,0.004,0.08
"32",0.5,0.705,"fiducial-n",10,0.267,0.312
"33",0.5,0.706,"bayesian-n",10,0.273,0.308
"34",0.5,0.538,"fiducial-n",50,0.533,0.005
"35",0.5,0.534,"bayesian-n",50,0.529,0.005
"36",0.5,0.123,"fiducial-n",100,0,0.123
"37",0.5,0.119,"bayesian-n",100,0,0.119
"38",0.6,0.62,"fiducial-n",10,0.097,0.43
"39",0.6,0.605,"bayesian-n",10,0.072,0.456
"40",0.6,0.113,"fiducial-n",50,0,0.113
"41",0.6,0.107,"bayesian-n",50,0.003,0.104
"42",0.6,0.004,"fiducial-n",100,0,0.004
"43",0.6,0,"bayesian-n",100,0,0
"44",0.7,0.968,"fiducial-n",10,0.818,0.012
"45",0.7,0.947,"bayesian-n",10,0.787,0.006
"46",0.7,0.017,"fiducial-n",50,0,0.017
"47",0.7,0.026,"bayesian-n",50,0,0.026
"48",0.7,0,"fiducial-n",100,0,0
"49",0.7,0,"bayesian-n",100,0,0
"50",0.8,0.661,"fiducial-n",10,0,0.622
"51",0.8,0.646,"bayesian-n",10,0,0.612
"52",0.8,0,"fiducial-n",50,0,0
"53",0.8,0,"bayesian-n",50,0,0
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.001,"fiducial-n",10,0,0.001
"57",0.9,0,"bayesian-n",10,0,0
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0,"fiducial-n",10,0,0
"63",0.95,0.001,"bayesian-n",10,0,0.001
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
