"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,9.542,"fiducial-n",10,0.443,0.513
"3",0.01,11.853,"bayesian-n",10,0.251,0.717
"4",0.01,9.326,"fiducial-n",50,0.036,0.942
"5",0.01,10.141,"bayesian-n",50,0.024,0.951
"6",0.01,2.963,"fiducial-n",100,0.75,0.157
"7",0.01,2.887,"bayesian-n",100,0.75,0.152
"8",0.05,3.897,"fiducial-n",10,0.77,0.175
"9",0.05,3.529,"bayesian-n",10,0.711,0.22
"10",0.05,1.783,"fiducial-n",50,0.196,0.616
"11",0.05,1.872,"bayesian-n",50,0.195,0.64
"12",0.05,1.055,"fiducial-n",100,0.407,0.316
"13",0.05,1.069,"bayesian-n",100,0.372,0.351
"14",0.1,3.115,"fiducial-n",10,0.8,0.121
"15",0.1,2.867,"bayesian-n",10,0.751,0.161
"16",0.1,1.301,"fiducial-n",50,0.66,0.131
"17",0.1,1.332,"bayesian-n",50,0.678,0.125
"18",0.1,0.806,"fiducial-n",100,0.538,0.122
"19",0.1,0.842,"bayesian-n",100,0.552,0.122
"20",0.2,1.889,"fiducial-n",10,0.709,0.15
"21",0.2,1.817,"bayesian-n",10,0.681,0.172
"22",0.2,1.139,"fiducial-n",50,0.779,0.035
"23",0.2,1.149,"bayesian-n",50,0.781,0.029
"24",0.2,0.673,"fiducial-n",100,0.593,0.035
"25",0.2,0.652,"bayesian-n",100,0.59,0.025
"26",0.4,1.556,"fiducial-n",10,0.821,0.047
"27",0.4,1.468,"bayesian-n",10,0.786,0.049
"28",0.4,0.299,"fiducial-n",50,0.09,0.205
"29",0.4,0.243,"bayesian-n",50,0.077,0.163
"30",0.4,0.067,"fiducial-n",100,0.045,0.022
"31",0.4,0.061,"bayesian-n",100,0.042,0.019
"32",0.5,1.341,"fiducial-n",10,0.012,0.791
"33",0.5,1.344,"bayesian-n",10,0.019,0.796
"34",0.5,0.151,"fiducial-n",50,0.044,0.107
"35",0.5,0.139,"bayesian-n",50,0.045,0.094
"36",0.5,0.047,"fiducial-n",100,0,0.047
"37",0.5,0.04,"bayesian-n",100,0,0.04
"38",0.6,1.066,"fiducial-n",10,0.017,0.734
"39",0.6,1.095,"bayesian-n",10,0.014,0.743
"40",0.6,0.817,"fiducial-n",50,0.817,0
"41",0.6,0.82,"bayesian-n",50,0.82,0
"42",0.6,0.003,"fiducial-n",100,0,0.003
"43",0.6,0.001,"bayesian-n",100,0,0.001
"44",0.7,0.811,"fiducial-n",10,0.005,0.696
"45",0.7,0.829,"bayesian-n",10,0.004,0.683
"46",0.7,0.001,"fiducial-n",50,0,0.001
"47",0.7,0.002,"bayesian-n",50,0,0.002
"48",0.7,0,"fiducial-n",100,0,0
"49",0.7,0,"bayesian-n",100,0,0
"50",0.8,0.107,"fiducial-n",10,0,0.106
"51",0.8,0.117,"bayesian-n",10,0,0.116
"52",0.8,0,"fiducial-n",50,0,0
"53",0.8,0,"bayesian-n",50,0,0
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.032,"fiducial-n",10,0,0.032
"57",0.9,0.025,"bayesian-n",10,0,0.025
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0,"fiducial-n",10,0,0
"63",0.95,0,"bayesian-n",10,0,0
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
