"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,8.894,"fiducial-n",10,0.797,0.181
"3",0.01,7.453,"bayesian-n",10,0.647,0.32
"4",0.01,5.368,"fiducial-n",50,0.905,0.066
"5",0.01,4.694,"bayesian-n",50,0.875,0.089
"6",0.01,2.474,"fiducial-n",100,0.502,0.372
"7",0.01,2.525,"bayesian-n",100,0.491,0.387
"8",0.05,3.555,"fiducial-n",10,0.618,0.31
"9",0.05,3.327,"bayesian-n",10,0.552,0.359
"10",0.05,1.522,"fiducial-n",50,0.514,0.281
"11",0.05,1.584,"bayesian-n",50,0.515,0.305
"12",0.05,1.137,"fiducial-n",100,0.228,0.488
"13",0.05,1.166,"bayesian-n",100,0.224,0.491
"14",0.1,2.686,"fiducial-n",10,0.711,0.191
"15",0.1,2.562,"bayesian-n",10,0.65,0.248
"16",0.1,1.357,"fiducial-n",50,0.153,0.629
"17",0.1,1.342,"bayesian-n",50,0.14,0.626
"18",0.1,0.815,"fiducial-n",100,0.522,0.142
"19",0.1,0.778,"bayesian-n",100,0.485,0.157
"20",0.2,2.613,"fiducial-n",10,0.873,0.06
"21",0.2,2.588,"bayesian-n",10,0.854,0.067
"22",0.2,0.786,"fiducial-n",50,0.112,0.501
"23",0.2,0.793,"bayesian-n",50,0.085,0.54
"24",0.2,1.739,"fiducial-n",100,0,0.982
"25",0.2,1.722,"bayesian-n",100,0.001,0.982
"26",0.4,0.97,"fiducial-n",10,0.512,0.194
"27",0.4,0.972,"bayesian-n",10,0.46,0.25
"28",0.4,0.263,"fiducial-n",50,0.122,0.139
"29",0.4,0.267,"bayesian-n",50,0.121,0.143
"30",0.4,0.695,"fiducial-n",100,0.693,0.002
"31",0.4,0.651,"bayesian-n",100,0.649,0.001
"32",0.5,0.722,"fiducial-n",10,0.174,0.411
"33",0.5,0.74,"bayesian-n",10,0.168,0.426
"34",0.5,0.191,"fiducial-n",50,0.157,0.034
"35",0.5,0.201,"bayesian-n",50,0.184,0.017
"36",0.5,0.128,"fiducial-n",100,0,0.128
"37",0.5,0.134,"bayesian-n",100,0,0.134
"38",0.6,0.906,"fiducial-n",10,0.711,0.028
"39",0.6,0.89,"bayesian-n",10,0.672,0.05
"40",0.6,0.174,"fiducial-n",50,0.174,0
"41",0.6,0.19,"bayesian-n",50,0.188,0.002
"42",0.6,0.666,"fiducial-n",100,0,0.666
"43",0.6,0.679,"bayesian-n",100,0,0.679
"44",0.7,0.509,"fiducial-n",10,0.449,0.058
"45",0.7,0.528,"bayesian-n",10,0.453,0.072
"46",0.7,0.141,"fiducial-n",50,0.141,0
"47",0.7,0.126,"bayesian-n",50,0.126,0
"48",0.7,0,"fiducial-n",100,0,0
"49",0.7,0,"bayesian-n",100,0,0
"50",0.8,0.448,"fiducial-n",10,0.431,0.017
"51",0.8,0.478,"bayesian-n",10,0.457,0.021
"52",0.8,0,"fiducial-n",50,0,0
"53",0.8,0,"bayesian-n",50,0,0
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.025,"fiducial-n",10,0,0.025
"57",0.9,0.023,"bayesian-n",10,0,0.023
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0,"fiducial-n",10,0,0
"63",0.95,0,"bayesian-n",10,0,0
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
