"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,9.563,"fiducial-n",10,0.446,0.518
"3",0.01,11.772,"bayesian-n",10,0.25,0.72
"4",0.01,4.063,"fiducial-n",50,0.769,0.172
"5",0.01,3.704,"bayesian-n",50,0.71,0.221
"6",0.01,2.667,"fiducial-n",100,0.663,0.225
"7",0.01,2.609,"bayesian-n",100,0.617,0.275
"8",0.05,9.261,"fiducial-n",10,0.039,0.938
"9",0.05,10.395,"bayesian-n",10,0.022,0.967
"10",0.05,2.395,"fiducial-n",50,0.114,0.752
"11",0.05,2.315,"bayesian-n",50,0.122,0.734
"12",0.05,1.895,"fiducial-n",100,0.841,0.041
"13",0.05,1.929,"bayesian-n",100,0.862,0.031
"14",0.1,2.76,"fiducial-n",10,0.279,0.598
"15",0.1,2.926,"bayesian-n",10,0.224,0.654
"16",0.1,1.021,"fiducial-n",50,0.308,0.395
"17",0.1,1.036,"bayesian-n",50,0.323,0.382
"18",0.1,0.697,"fiducial-n",100,0.323,0.269
"19",0.1,0.695,"bayesian-n",100,0.336,0.271
"20",0.2,2.823,"fiducial-n",10,0.059,0.836
"21",0.2,3.026,"bayesian-n",10,0.054,0.862
"22",0.2,0.805,"fiducial-n",50,0.099,0.535
"23",0.2,0.837,"bayesian-n",50,0.088,0.555
"24",0.2,0.374,"fiducial-n",100,0.222,0.148
"25",0.2,0.372,"bayesian-n",100,0.223,0.144
"26",0.4,1.427,"fiducial-n",10,0.066,0.724
"27",0.4,1.387,"bayesian-n",10,0.064,0.703
"28",0.4,0.95,"fiducial-n",50,0.862,0.002
"29",0.4,0.977,"bayesian-n",50,0.873,0.001
"30",0.4,0.466,"fiducial-n",100,0,0.465
"31",0.4,0.484,"bayesian-n",100,0,0.481
"32",0.5,2.615,"fiducial-n",10,0.001,0.985
"33",0.5,2.535,"bayesian-n",10,0,0.979
"34",0.5,0.227,"fiducial-n",50,0.015,0.212
"35",0.5,0.213,"bayesian-n",50,0.02,0.192
"36",0.5,0.113,"fiducial-n",100,0.112,0.001
"37",0.5,0.114,"bayesian-n",100,0.114,0
"38",0.6,0.959,"fiducial-n",10,0.731,0.03
"39",0.6,0.968,"bayesian-n",10,0.738,0.025
"40",0.6,0.029,"fiducial-n",50,0,0.029
"41",0.6,0.031,"bayesian-n",50,0,0.031
"42",0.6,0,"fiducial-n",100,0,0
"43",0.6,0,"bayesian-n",100,0,0
"44",0.7,0.542,"fiducial-n",10,0.512,0.03
"45",0.7,0.529,"bayesian-n",10,0.484,0.044
"46",0.7,0.001,"fiducial-n",50,0,0.001
"47",0.7,0,"bayesian-n",50,0,0
"48",0.7,0.002,"fiducial-n",100,0,0.002
"49",0.7,0,"bayesian-n",100,0,0
"50",0.8,0.102,"fiducial-n",10,0,0.101
"51",0.8,0.088,"bayesian-n",10,0,0.088
"52",0.8,0,"fiducial-n",50,0,0
"53",0.8,0,"bayesian-n",50,0,0
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.072,"fiducial-n",10,0,0.072
"57",0.9,0.078,"bayesian-n",10,0,0.078
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0,"fiducial-n",10,0,0
"63",0.95,0,"bayesian-n",10,0,0
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
