"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,8.613,"fiducial-n",10,0.822,0.161
"3",0.01,7.038,"bayesian-n",10,0.647,0.321
"4",0.01,3.743,"fiducial-n",50,0.406,0.508
"5",0.01,3.891,"bayesian-n",50,0.309,0.591
"6",0.01,5.742,"fiducial-n",100,0.032,0.922
"7",0.01,6.14,"bayesian-n",100,0.026,0.934
"8",0.05,3.582,"fiducial-n",10,0.446,0.456
"9",0.05,3.872,"bayesian-n",10,0.355,0.564
"10",0.05,1.471,"fiducial-n",50,0.447,0.366
"11",0.05,1.543,"bayesian-n",50,0.47,0.351
"12",0.05,1.912,"fiducial-n",100,0.857,0.044
"13",0.05,1.813,"bayesian-n",100,0.844,0.041
"14",0.1,2.584,"fiducial-n",10,0.7,0.183
"15",0.1,2.615,"bayesian-n",10,0.651,0.246
"16",0.1,2.184,"fiducial-n",50,0.026,0.87
"17",0.1,2.142,"bayesian-n",50,0.022,0.868
"18",0.1,0.797,"fiducial-n",100,0.116,0.502
"19",0.1,0.842,"bayesian-n",100,0.12,0.514
"20",0.2,1.663,"fiducial-n",10,0.259,0.536
"21",0.2,1.718,"bayesian-n",10,0.226,0.58
"22",0.2,0.613,"fiducial-n",50,0.336,0.206
"23",0.2,0.615,"bayesian-n",50,0.297,0.238
"24",0.2,0.974,"fiducial-n",100,0.002,0.79
"25",0.2,0.945,"bayesian-n",100,0.006,0.763
"26",0.4,2.277,"fiducial-n",10,0.01,0.923
"27",0.4,2.378,"bayesian-n",10,0.006,0.931
"28",0.4,0.925,"fiducial-n",50,0.844,0.004
"29",0.4,0.91,"bayesian-n",50,0.829,0
"30",0.4,0.051,"fiducial-n",100,0.034,0.017
"31",0.4,0.058,"bayesian-n",100,0.037,0.021
"32",0.5,0.892,"fiducial-n",10,0.121,0.515
"33",0.5,0.878,"bayesian-n",10,0.117,0.526
"34",0.5,0.367,"fiducial-n",50,0.363,0.003
"35",0.5,0.366,"bayesian-n",50,0.357,0.009
"36",0.5,0.024,"fiducial-n",100,0,0.024
"37",0.5,0.013,"bayesian-n",100,0.002,0.011
"38",0.6,0.865,"fiducial-n",10,0.655,0.04
"39",0.6,0.912,"bayesian-n",10,0.683,0.043
"40",0.6,0.046,"fiducial-n",50,0.015,0.031
"41",0.6,0.035,"bayesian-n",50,0.012,0.023
"42",0.6,0.035,"fiducial-n",100,0,0.035
"43",0.6,0.048,"bayesian-n",100,0,0.048
"44",0.7,0.378,"fiducial-n",10,0.12,0.247
"45",0.7,0.392,"bayesian-n",10,0.123,0.249
"46",0.7,0.001,"fiducial-n",50,0,0.001
"47",0.7,0.001,"bayesian-n",50,0,0.001
"48",0.7,0,"fiducial-n",100,0,0
"49",0.7,0,"bayesian-n",100,0,0
"50",0.8,0.113,"fiducial-n",10,0,0.113
"51",0.8,0.089,"bayesian-n",10,0,0.089
"52",0.8,0,"fiducial-n",50,0,0
"53",0.8,0,"bayesian-n",50,0,0
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.022,"fiducial-n",10,0,0.022
"57",0.9,0.027,"bayesian-n",10,0,0.027
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0,"fiducial-n",10,0,0
"63",0.95,0,"bayesian-n",10,0,0
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
