"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,9.386,"fiducial-n",10,0.438,0.52
"3",0.01,11.756,"bayesian-n",10,0.263,0.698
"4",0.01,3.552,"fiducial-n",50,0.599,0.321
"5",0.01,3.415,"bayesian-n",50,0.506,0.397
"6",0.01,2.79,"fiducial-n",100,0.259,0.605
"7",0.01,3.076,"bayesian-n",100,0.213,0.673
"8",0.05,4.097,"fiducial-n",10,0.79,0.157
"9",0.05,3.663,"bayesian-n",10,0.725,0.212
"10",0.05,1.741,"fiducial-n",50,0.192,0.625
"11",0.05,1.837,"bayesian-n",50,0.199,0.612
"12",0.05,2.025,"fiducial-n",100,0.887,0.03
"13",0.05,2.041,"bayesian-n",100,0.904,0.024
"14",0.1,3.925,"fiducial-n",10,0.115,0.798
"15",0.1,4.058,"bayesian-n",10,0.126,0.811
"16",0.1,2.479,"fiducial-n",50,0.009,0.923
"17",0.1,2.411,"bayesian-n",50,0.008,0.898
"18",0.1,0.662,"fiducial-n",100,0.266,0.304
"19",0.1,0.695,"bayesian-n",100,0.266,0.321
"20",0.2,2.843,"fiducial-n",10,0.904,0.034
"21",0.2,2.84,"bayesian-n",10,0.895,0.048
"22",0.2,1.788,"fiducial-n",50,0.946,0.003
"23",0.2,1.791,"bayesian-n",50,0.949,0.006
"24",0.2,0.63,"fiducial-n",100,0.575,0.03
"25",0.2,0.639,"bayesian-n",100,0.58,0.027
"26",0.4,0.96,"fiducial-n",10,0.46,0.247
"27",0.4,0.978,"bayesian-n",10,0.464,0.227
"28",0.4,0.901,"fiducial-n",50,0,0.793
"29",0.4,0.869,"bayesian-n",50,0,0.775
"30",0.4,0.057,"fiducial-n",100,0.021,0.036
"31",0.4,0.055,"bayesian-n",100,0.01,0.045
"32",0.5,0.89,"fiducial-n",10,0.551,0.132
"33",0.5,0.915,"bayesian-n",10,0.604,0.107
"34",0.5,0.357,"fiducial-n",50,0.348,0.008
"35",0.5,0.376,"bayesian-n",50,0.367,0.009
"36",0.5,0.076,"fiducial-n",100,0,0.076
"37",0.5,0.067,"bayesian-n",100,0,0.067
"38",0.6,0.557,"fiducial-n",10,0.176,0.323
"39",0.6,0.556,"bayesian-n",10,0.163,0.326
"40",0.6,0.015,"fiducial-n",50,0,0.015
"41",0.6,0.012,"bayesian-n",50,0,0.012
"42",0.6,0,"fiducial-n",100,0,0
"43",0.6,0,"bayesian-n",100,0,0
"44",0.7,0.381,"fiducial-n",10,0.241,0.134
"45",0.7,0.404,"bayesian-n",10,0.256,0.14
"46",0.7,0.007,"fiducial-n",50,0,0.007
"47",0.7,0.005,"bayesian-n",50,0,0.005
"48",0.7,0,"fiducial-n",100,0,0
"49",0.7,0,"bayesian-n",100,0,0
"50",0.8,0.055,"fiducial-n",10,0,0.055
"51",0.8,0.042,"bayesian-n",10,0,0.042
"52",0.8,0,"fiducial-n",50,0,0
"53",0.8,0,"bayesian-n",50,0,0
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.171,"fiducial-n",10,0,0.171
"57",0.9,0.193,"bayesian-n",10,0,0.193
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0.001,"fiducial-n",10,0,0.001
"63",0.95,0,"bayesian-n",10,0,0
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
