"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,10.001,"fiducial-n",10,0.416,0.551
"3",0.01,11.908,"bayesian-n",10,0.242,0.717
"4",0.01,4.529,"fiducial-n",50,0.232,0.683
"5",0.01,4.727,"bayesian-n",50,0.213,0.713
"6",0.01,2.544,"fiducial-n",100,0.508,0.362
"7",0.01,2.558,"bayesian-n",100,0.456,0.404
"8",0.05,3.697,"fiducial-n",10,0.424,0.486
"9",0.05,3.729,"bayesian-n",10,0.37,0.539
"10",0.05,2.251,"fiducial-n",50,0.135,0.733
"11",0.05,2.2,"bayesian-n",50,0.114,0.736
"12",0.05,1.827,"fiducial-n",100,0.059,0.798
"13",0.05,1.844,"bayesian-n",100,0.054,0.798
"14",0.1,2.351,"fiducial-n",10,0.434,0.43
"15",0.1,2.513,"bayesian-n",10,0.349,0.521
"16",0.1,1.162,"fiducial-n",50,0.586,0.178
"17",0.1,1.12,"bayesian-n",50,0.545,0.197
"18",0.1,1.005,"fiducial-n",100,0.651,0.075
"19",0.1,0.976,"bayesian-n",100,0.67,0.063
"20",0.2,1.766,"fiducial-n",10,0.626,0.219
"21",0.2,1.729,"bayesian-n",10,0.597,0.229
"22",0.2,2.074,"fiducial-n",50,0.972,0.001
"23",0.2,2.119,"bayesian-n",50,0.98,0.001
"24",0.2,0.379,"fiducial-n",100,0.178,0.193
"25",0.2,0.347,"bayesian-n",100,0.156,0.185
"26",0.4,1.654,"fiducial-n",10,0.037,0.788
"27",0.4,1.65,"bayesian-n",10,0.055,0.776
"28",0.4,0.294,"fiducial-n",50,0.076,0.213
"29",0.4,0.267,"bayesian-n",50,0.059,0.201
"30",0.4,0.597,"fiducial-n",100,0.597,0
"31",0.4,0.598,"bayesian-n",100,0.598,0
"32",0.5,0.811,"fiducial-n",10,0.461,0.177
"33",0.5,0.834,"bayesian-n",10,0.508,0.169
"34",0.5,0.381,"fiducial-n",50,0.005,0.374
"35",0.5,0.38,"bayesian-n",50,0.001,0.377
"36",0.5,0.082,"fiducial-n",100,0,0.082
"37",0.5,0.07,"bayesian-n",100,0,0.07
"38",0.6,1.163,"fiducial-n",10,0.824,0.019
"39",0.6,1.165,"bayesian-n",10,0.814,0.023
"40",0.6,0.032,"fiducial-n",50,0.019,0.013
"41",0.6,0.052,"bayesian-n",50,0.028,0.024
"42",0.6,0.001,"fiducial-n",100,0.001,0
"43",0.6,0.003,"bayesian-n",100,0.003,0
"44",0.7,0.509,"fiducial-n",10,0.414,0.09
"45",0.7,0.448,"bayesian-n",10,0.354,0.085
"46",0.7,0.024,"fiducial-n",50,0,0.024
"47",0.7,0.03,"bayesian-n",50,0,0.03
"48",0.7,0,"fiducial-n",100,0,0
"49",0.7,0,"bayesian-n",100,0,0
"50",0.8,0.461,"fiducial-n",10,0,0.449
"51",0.8,0.474,"bayesian-n",10,0,0.453
"52",0.8,0.001,"fiducial-n",50,0,0.001
"53",0.8,0,"bayesian-n",50,0,0
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.005,"fiducial-n",10,0,0.005
"57",0.9,0.005,"bayesian-n",10,0,0.005
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0,"fiducial-n",10,0,0
"63",0.95,0.001,"bayesian-n",10,0,0.001
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
