"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,17.299,"fiducial-n",10,0.126,0.851
"3",0.01,20.419,"bayesian-n",10,0.054,0.93
"4",0.01,3.666,"fiducial-n",50,0.414,0.503
"5",0.01,3.869,"bayesian-n",50,0.341,0.566
"6",0.01,3.48,"fiducial-n",100,0.192,0.715
"7",0.01,3.6,"bayesian-n",100,0.152,0.747
"8",0.05,5.36,"fiducial-n",10,0.903,0.069
"9",0.05,4.746,"bayesian-n",10,0.867,0.097
"10",0.05,1.829,"fiducial-n",50,0.713,0.14
"11",0.05,1.8,"bayesian-n",50,0.693,0.159
"12",0.05,1.064,"fiducial-n",100,0.386,0.324
"13",0.05,1.078,"bayesian-n",100,0.375,0.351
"14",0.1,2.571,"fiducial-n",10,0.654,0.254
"15",0.1,2.382,"bayesian-n",10,0.616,0.28
"16",0.1,2.499,"fiducial-n",50,0.01,0.913
"17",0.1,2.533,"bayesian-n",50,0.018,0.925
"18",0.1,0.892,"fiducial-n",100,0.59,0.099
"19",0.1,0.867,"bayesian-n",100,0.588,0.092
"20",0.2,1.949,"fiducial-n",10,0.204,0.628
"21",0.2,2.019,"bayesian-n",10,0.176,0.657
"22",0.2,0.665,"fiducial-n",50,0.303,0.283
"23",0.2,0.634,"bayesian-n",50,0.304,0.25
"24",0.2,0.696,"fiducial-n",100,0.62,0.026
"25",0.2,0.699,"bayesian-n",100,0.624,0.019
"26",0.4,0.975,"fiducial-n",10,0.213,0.476
"27",0.4,0.963,"bayesian-n",10,0.217,0.458
"28",0.4,1.17,"fiducial-n",50,0,0.908
"29",0.4,1.166,"bayesian-n",50,0,0.929
"30",0.4,0.096,"fiducial-n",100,0.084,0.012
"31",0.4,0.097,"bayesian-n",100,0.085,0.012
"32",0.5,1.542,"fiducial-n",10,0.005,0.86
"33",0.5,1.502,"bayesian-n",10,0.018,0.828
"34",0.5,0.124,"fiducial-n",50,0.023,0.101
"35",0.5,0.13,"bayesian-n",50,0.026,0.104
"36",0.5,0.013,"fiducial-n",100,0.01,0.003
"37",0.5,0.008,"bayesian-n",100,0.006,0.002
"38",0.6,0.597,"fiducial-n",10,0.126,0.388
"39",0.6,0.596,"bayesian-n",10,0.137,0.392
"40",0.6,0.041,"fiducial-n",50,0.03,0.011
"41",0.6,0.036,"bayesian-n",50,0.025,0.011
"42",0.6,0,"fiducial-n",100,0,0
"43",0.6,0,"bayesian-n",100,0,0
"44",0.7,0.543,"fiducial-n",10,0.475,0.066
"45",0.7,0.546,"bayesian-n",10,0.486,0.058
"46",0.7,0,"fiducial-n",50,0,0
"47",0.7,0,"bayesian-n",50,0,0
"48",0.7,0,"fiducial-n",100,0,0
"49",0.7,0,"bayesian-n",100,0,0
"50",0.8,0.334,"fiducial-n",10,0.29,0.044
"51",0.8,0.345,"bayesian-n",10,0.312,0.033
"52",0.8,0,"fiducial-n",50,0,0
"53",0.8,0,"bayesian-n",50,0,0
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.005,"fiducial-n",10,0,0.005
"57",0.9,0.004,"bayesian-n",10,0,0.004
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0,"fiducial-n",10,0,0
"63",0.95,0,"bayesian-n",10,0,0
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
