"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,9.806,"fiducial-n",10,0.435,0.534
"3",0.01,11.679,"bayesian-n",10,0.244,0.721
"4",0.01,3.949,"fiducial-n",50,0.767,0.171
"5",0.01,3.845,"bayesian-n",50,0.717,0.216
"6",0.01,2.695,"fiducial-n",100,0.651,0.24
"7",0.01,2.608,"bayesian-n",100,0.639,0.257
"8",0.05,3.71,"fiducial-n",10,0.397,0.525
"9",0.05,3.883,"bayesian-n",10,0.37,0.552
"10",0.05,2.265,"fiducial-n",50,0.09,0.776
"11",0.05,2.273,"bayesian-n",50,0.114,0.756
"12",0.05,1.031,"fiducial-n",100,0.407,0.295
"13",0.05,1.085,"bayesian-n",100,0.411,0.31
"14",0.1,2.786,"fiducial-n",10,0.271,0.614
"15",0.1,2.812,"bayesian-n",10,0.247,0.64
"16",0.1,1.987,"fiducial-n",50,0.041,0.824
"17",0.1,2.078,"bayesian-n",50,0.035,0.846
"18",0.1,0.936,"fiducial-n",100,0.077,0.611
"19",0.1,1.011,"bayesian-n",100,0.083,0.625
"20",0.2,1.805,"fiducial-n",10,0.676,0.179
"21",0.2,1.769,"bayesian-n",10,0.655,0.184
"22",0.2,0.841,"fiducial-n",50,0.595,0.081
"23",0.2,0.899,"bayesian-n",50,0.632,0.082
"24",0.2,0.401,"fiducial-n",100,0.168,0.218
"25",0.2,0.393,"bayesian-n",100,0.144,0.236
"26",0.4,1.104,"fiducial-n",10,0.09,0.616
"27",0.4,1.106,"bayesian-n",10,0.09,0.62
"28",0.4,0.715,"fiducial-n",50,0.003,0.662
"29",0.4,0.728,"bayesian-n",50,0,0.68
"30",0.4,0.502,"fiducial-n",100,0.499,0.003
"31",0.4,0.441,"bayesian-n",100,0.439,0.001
"32",0.5,0.951,"fiducial-n",10,0.625,0.089
"33",0.5,0.964,"bayesian-n",10,0.625,0.097
"34",0.5,0.157,"fiducial-n",50,0.092,0.065
"35",0.5,0.137,"bayesian-n",50,0.072,0.065
"36",0.5,0.019,"fiducial-n",100,0.001,0.018
"37",0.5,0.018,"bayesian-n",100,0.001,0.017
"38",0.6,1.668,"fiducial-n",10,0,0.945
"39",0.6,1.701,"bayesian-n",10,0,0.944
"40",0.6,0.139,"fiducial-n",50,0,0.139
"41",0.6,0.146,"bayesian-n",50,0,0.146
"42",0.6,0.001,"fiducial-n",100,0.001,0
"43",0.6,0.001,"bayesian-n",100,0,0.001
"44",0.7,0.692,"fiducial-n",10,0.676,0.016
"45",0.7,0.705,"bayesian-n",10,0.686,0.018
"46",0.7,0.25,"fiducial-n",50,0.25,0
"47",0.7,0.247,"bayesian-n",50,0.247,0
"48",0.7,0,"fiducial-n",100,0,0
"49",0.7,0,"bayesian-n",100,0,0
"50",0.8,0.111,"fiducial-n",10,0,0.111
"51",0.8,0.127,"bayesian-n",10,0,0.126
"52",0.8,0,"fiducial-n",50,0,0
"53",0.8,0,"bayesian-n",50,0,0
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.038,"fiducial-n",10,0,0.038
"57",0.9,0.031,"bayesian-n",10,0,0.031
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0,"fiducial-n",10,0,0
"63",0.95,0,"bayesian-n",10,0,0
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
