"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,8.86,"fiducial-n",10,0.816,0.166
"3",0.01,7.624,"bayesian-n",10,0.619,0.343
"4",0.01,5.593,"fiducial-n",50,0.154,0.77
"5",0.01,6.296,"bayesian-n",50,0.116,0.844
"6",0.01,2.78,"fiducial-n",100,0.308,0.571
"7",0.01,3.129,"bayesian-n",100,0.25,0.642
"8",0.05,6.964,"fiducial-n",10,0.973,0.018
"9",0.05,6.115,"bayesian-n",10,0.955,0.027
"10",0.05,1.495,"fiducial-n",50,0.465,0.34
"11",0.05,1.551,"bayesian-n",50,0.482,0.331
"12",0.05,1.035,"fiducial-n",100,0.349,0.353
"13",0.05,1.071,"bayesian-n",100,0.36,0.352
"14",0.1,2.409,"fiducial-n",10,0.374,0.499
"15",0.1,2.495,"bayesian-n",10,0.337,0.516
"16",0.1,1.219,"fiducial-n",50,0.594,0.17
"17",0.1,1.231,"bayesian-n",50,0.611,0.166
"18",0.1,0.828,"fiducial-n",100,0.121,0.506
"19",0.1,0.83,"bayesian-n",100,0.115,0.513
"20",0.2,1.577,"fiducial-n",10,0.447,0.365
"21",0.2,1.564,"bayesian-n",10,0.429,0.38
"22",0.2,0.661,"fiducial-n",50,0.353,0.227
"23",0.2,0.633,"bayesian-n",50,0.327,0.228
"24",0.2,0.477,"fiducial-n",100,0.388,0.07
"25",0.2,0.5,"bayesian-n",100,0.413,0.073
"26",0.4,0.931,"fiducial-n",10,0.247,0.428
"27",0.4,0.978,"bayesian-n",10,0.23,0.43
"28",0.4,1.761,"fiducial-n",50,0,0.994
"29",0.4,1.741,"bayesian-n",50,0,0.997
"30",0.4,0.403,"fiducial-n",100,0.402,0.001
"31",0.4,0.437,"bayesian-n",100,0.435,0.002
"32",0.5,0.708,"fiducial-n",10,0.203,0.373
"33",0.5,0.749,"bayesian-n",10,0.196,0.396
"34",0.5,0.191,"fiducial-n",50,0.166,0.025
"35",0.5,0.177,"bayesian-n",50,0.167,0.01
"36",0.5,0.007,"fiducial-n",100,0.002,0.005
"37",0.5,0.012,"bayesian-n",100,0.005,0.007
"38",0.6,0.671,"fiducial-n",10,0.091,0.465
"39",0.6,0.669,"bayesian-n",10,0.083,0.473
"40",0.6,0.061,"fiducial-n",50,0.008,0.053
"41",0.6,0.062,"bayesian-n",50,0.005,0.057
"42",0.6,0.023,"fiducial-n",100,0,0.023
"43",0.6,0.024,"bayesian-n",100,0,0.024
"44",0.7,0.537,"fiducial-n",10,0,0.495
"45",0.7,0.545,"bayesian-n",10,0,0.494
"46",0.7,0.041,"fiducial-n",50,0,0.041
"47",0.7,0.047,"bayesian-n",50,0,0.047
"48",0.7,0,"fiducial-n",100,0,0
"49",0.7,0,"bayesian-n",100,0,0
"50",0.8,0.397,"fiducial-n",10,0,0.384
"51",0.8,0.357,"bayesian-n",10,0,0.347
"52",0.8,0,"fiducial-n",50,0,0
"53",0.8,0,"bayesian-n",50,0,0
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.032,"fiducial-n",10,0,0.032
"57",0.9,0.042,"bayesian-n",10,0,0.042
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0.001,"fiducial-n",10,0,0.001
"63",0.95,0,"bayesian-n",10,0,0
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
