"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,16.212,"fiducial-n",10,0.138,0.837
"3",0.01,21.111,"bayesian-n",10,0.067,0.912
"4",0.01,6.675,"fiducial-n",50,0.967,0.016
"5",0.01,6.216,"bayesian-n",50,0.957,0.031
"6",0.01,2.547,"fiducial-n",100,0.339,0.516
"7",0.01,2.674,"bayesian-n",100,0.333,0.533
"8",0.05,3.621,"fiducial-n",10,0.413,0.488
"9",0.05,4.051,"bayesian-n",10,0.336,0.572
"10",0.05,1.565,"fiducial-n",50,0.544,0.256
"11",0.05,1.527,"bayesian-n",50,0.538,0.282
"12",0.05,1.685,"fiducial-n",100,0.072,0.757
"13",0.05,1.594,"bayesian-n",100,0.084,0.724
"14",0.1,2.381,"fiducial-n",10,0.393,0.466
"15",0.1,2.4,"bayesian-n",10,0.365,0.5
"16",0.1,1.741,"fiducial-n",50,0.049,0.782
"17",0.1,1.72,"bayesian-n",50,0.058,0.79
"18",0.1,0.982,"fiducial-n",100,0.081,0.622
"19",0.1,1.002,"bayesian-n",100,0.072,0.623
"20",0.2,1.786,"fiducial-n",10,0.295,0.522
"21",0.2,1.771,"bayesian-n",10,0.266,0.556
"22",0.2,0.655,"fiducial-n",50,0.177,0.384
"23",0.2,0.698,"bayesian-n",50,0.162,0.42
"24",0.2,0.856,"fiducial-n",100,0.755,0.009
"25",0.2,0.834,"bayesian-n",100,0.732,0.007
"26",0.4,1.165,"fiducial-n",10,0.106,0.625
"27",0.4,1.261,"bayesian-n",10,0.118,0.641
"28",0.4,0.285,"fiducial-n",50,0.217,0.064
"29",0.4,0.306,"bayesian-n",50,0.224,0.078
"30",0.4,0.091,"fiducial-n",100,0.012,0.079
"31",0.4,0.094,"bayesian-n",100,0.008,0.086
"32",0.5,0.681,"fiducial-n",10,0.293,0.277
"33",0.5,0.746,"bayesian-n",10,0.33,0.288
"34",0.5,0.228,"fiducial-n",50,0.205,0.023
"35",0.5,0.24,"bayesian-n",50,0.216,0.024
"36",0.5,0.14,"fiducial-n",100,0,0.14
"37",0.5,0.12,"bayesian-n",100,0,0.12
"38",0.6,0.519,"fiducial-n",10,0.341,0.164
"39",0.6,0.487,"bayesian-n",10,0.33,0.146
"40",0.6,0.184,"fiducial-n",50,0.182,0.002
"41",0.6,0.159,"bayesian-n",50,0.156,0.003
"42",0.6,0.003,"fiducial-n",100,0.003,0
"43",0.6,0.003,"bayesian-n",100,0.003,0
"44",0.7,0.877,"fiducial-n",10,0.756,0.014
"45",0.7,0.872,"bayesian-n",10,0.743,0.022
"46",0.7,0.008,"fiducial-n",50,0.008,0
"47",0.7,0.011,"bayesian-n",50,0.01,0.001
"48",0.7,0,"fiducial-n",100,0,0
"49",0.7,0,"bayesian-n",100,0,0
"50",0.8,0.039,"fiducial-n",10,0,0.039
"51",0.8,0.04,"bayesian-n",10,0,0.04
"52",0.8,0,"fiducial-n",50,0,0
"53",0.8,0,"bayesian-n",50,0,0
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.007,"fiducial-n",10,0,0.007
"57",0.9,0.001,"bayesian-n",10,0,0.001
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0,"fiducial-n",10,0,0
"63",0.95,0,"bayesian-n",10,0,0
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
