"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,8.747,"fiducial-n",10,0.812,0.172
"3",0.01,7.414,"bayesian-n",10,0.657,0.315
"4",0.01,3.671,"fiducial-n",50,0.42,0.492
"5",0.01,4.002,"bayesian-n",50,0.342,0.574
"6",0.01,3.409,"fiducial-n",100,0.186,0.709
"7",0.01,3.565,"bayesian-n",100,0.146,0.761
"8",0.05,3.674,"fiducial-n",10,0.391,0.531
"9",0.05,4.056,"bayesian-n",10,0.326,0.588
"10",0.05,2.375,"fiducial-n",50,0.833,0.072
"11",0.05,2.253,"bayesian-n",50,0.807,0.084
"12",0.05,1.346,"fiducial-n",100,0.119,0.633
"13",0.05,1.43,"bayesian-n",100,0.133,0.647
"14",0.1,7.49,"fiducial-n",10,0.998,0
"15",0.1,7.171,"bayesian-n",10,0.998,0
"16",0.1,1.109,"fiducial-n",50,0.215,0.502
"17",0.1,1.153,"bayesian-n",50,0.218,0.529
"18",0.1,0.703,"fiducial-n",100,0.313,0.281
"19",0.1,0.688,"bayesian-n",100,0.303,0.296
"20",0.2,1.748,"fiducial-n",10,0.648,0.181
"21",0.2,1.736,"bayesian-n",10,0.6,0.236
"22",0.2,1.882,"fiducial-n",50,0.953,0.001
"23",0.2,1.814,"bayesian-n",50,0.951,0.001
"24",0.2,0.458,"fiducial-n",100,0.355,0.089
"25",0.2,0.448,"bayesian-n",100,0.353,0.079
"26",0.4,1.13,"fiducial-n",10,0.106,0.605
"27",0.4,1.145,"bayesian-n",10,0.121,0.598
"28",0.4,0.548,"fiducial-n",50,0.006,0.521
"29",0.4,0.564,"bayesian-n",50,0.005,0.527
"30",0.4,0.08,"fiducial-n",100,0.01,0.07
"31",0.4,0.076,"bayesian-n",100,0.009,0.067
"32",0.5,1.012,"fiducial-n",10,0.113,0.604
"33",0.5,0.972,"bayesian-n",10,0.099,0.58
"34",0.5,0.195,"fiducial-n",50,0.175,0.02
"35",0.5,0.191,"bayesian-n",50,0.164,0.027
"36",0.5,0.629,"fiducial-n",100,0,0.629
"37",0.5,0.632,"bayesian-n",100,0,0.632
"38",0.6,1.038,"fiducial-n",10,0.767,0.022
"39",0.6,1.016,"bayesian-n",10,0.754,0.027
"40",0.6,0.887,"fiducial-n",50,0.887,0
"41",0.6,0.887,"bayesian-n",50,0.887,0
"42",0.6,0,"fiducial-n",100,0,0
"43",0.6,0.001,"bayesian-n",100,0.001,0
"44",0.7,0.648,"fiducial-n",10,0.615,0.032
"45",0.7,0.663,"bayesian-n",10,0.646,0.017
"46",0.7,0,"fiducial-n",50,0,0
"47",0.7,0.001,"bayesian-n",50,0,0.001
"48",0.7,0,"fiducial-n",100,0,0
"49",0.7,0,"bayesian-n",100,0,0
"50",0.8,0.258,"fiducial-n",10,0.205,0.052
"51",0.8,0.281,"bayesian-n",10,0.202,0.078
"52",0.8,0,"fiducial-n",50,0,0
"53",0.8,0,"bayesian-n",50,0,0
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.007,"fiducial-n",10,0,0.007
"57",0.9,0.008,"bayesian-n",10,0,0.008
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0,"fiducial-n",10,0,0
"63",0.95,0,"bayesian-n",10,0,0
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
