"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,17.02,"fiducial-n",10,0.149,0.823
"3",0.01,20.708,"bayesian-n",10,0.074,0.905
"4",0.01,6.747,"fiducial-n",50,0.972,0.02
"5",0.01,6.232,"bayesian-n",50,0.954,0.03
"6",0.01,2.563,"fiducial-n",100,0.399,0.461
"7",0.01,2.485,"bayesian-n",100,0.351,0.509
"8",0.05,4.462,"fiducial-n",10,0.264,0.655
"9",0.05,4.93,"bayesian-n",10,0.195,0.727
"10",0.05,1.534,"fiducial-n",50,0.372,0.426
"11",0.05,1.595,"bayesian-n",50,0.39,0.416
"12",0.05,1.13,"fiducial-n",100,0.265,0.464
"13",0.05,1.108,"bayesian-n",100,0.24,0.473
"14",0.1,4.191,"fiducial-n",10,0.104,0.813
"15",0.1,4.51,"bayesian-n",10,0.068,0.876
"16",0.1,1.029,"fiducial-n",50,0.317,0.387
"17",0.1,1.035,"bayesian-n",50,0.325,0.372
"18",0.1,0.706,"fiducial-n",100,0.256,0.332
"19",0.1,0.662,"bayesian-n",100,0.287,0.286
"20",0.2,1.564,"fiducial-n",10,0.521,0.294
"21",0.2,1.536,"bayesian-n",10,0.476,0.311
"22",0.2,1.007,"fiducial-n",50,0.72,0.03
"23",0.2,1.003,"bayesian-n",50,0.709,0.035
"24",0.2,0.469,"fiducial-n",100,0.39,0.066
"25",0.2,0.479,"bayesian-n",100,0.39,0.074
"26",0.4,0.92,"fiducial-n",10,0.234,0.416
"27",0.4,0.982,"bayesian-n",10,0.234,0.446
"28",0.4,0.263,"fiducial-n",50,0.071,0.19
"29",0.4,0.269,"bayesian-n",50,0.061,0.198
"30",0.4,0.055,"fiducial-n",100,0.016,0.039
"31",0.4,0.043,"bayesian-n",100,0.018,0.025
"32",0.5,1.28,"fiducial-n",10,0.021,0.761
"33",0.5,1.33,"bayesian-n",10,0.021,0.774
"34",0.5,0.135,"fiducial-n",50,0.094,0.041
"35",0.5,0.141,"bayesian-n",50,0.089,0.052
"36",0.5,0.929,"fiducial-n",100,0,0.927
"37",0.5,0.946,"bayesian-n",100,0,0.944
"38",0.6,1.091,"fiducial-n",10,0.006,0.785
"39",0.6,1.164,"bayesian-n",10,0.012,0.79
"40",0.6,0.068,"fiducial-n",50,0.059,0.009
"41",0.6,0.075,"bayesian-n",50,0.073,0.002
"42",0.6,0,"fiducial-n",100,0,0
"43",0.6,0,"bayesian-n",100,0,0
"44",0.7,0.429,"fiducial-n",10,0,0.4
"45",0.7,0.429,"bayesian-n",10,0,0.391
"46",0.7,0.001,"fiducial-n",50,0,0.001
"47",0.7,0.003,"bayesian-n",50,0,0.003
"48",0.7,0,"fiducial-n",100,0,0
"49",0.7,0,"bayesian-n",100,0,0
"50",0.8,0.186,"fiducial-n",10,0,0.185
"51",0.8,0.176,"bayesian-n",10,0,0.174
"52",0.8,0.011,"fiducial-n",50,0,0.011
"53",0.8,0.009,"bayesian-n",50,0,0.009
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.04,"fiducial-n",10,0,0.04
"57",0.9,0.031,"bayesian-n",10,0,0.031
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0,"fiducial-n",10,0,0
"63",0.95,0,"bayesian-n",10,0,0
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
