"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,8.623,"fiducial-n",10,0.801,0.183
"3",0.01,7.399,"bayesian-n",10,0.647,0.308
"4",0.01,9.403,"fiducial-n",50,0.028,0.948
"5",0.01,9.86,"bayesian-n",50,0.02,0.957
"6",0.01,3.04,"fiducial-n",100,0.243,0.632
"7",0.01,3.079,"bayesian-n",100,0.248,0.636
"8",0.05,4.775,"fiducial-n",10,0.231,0.703
"9",0.05,4.987,"bayesian-n",10,0.189,0.75
"10",0.05,1.931,"fiducial-n",50,0.741,0.125
"11",0.05,1.959,"bayesian-n",50,0.742,0.133
"12",0.05,1.932,"fiducial-n",100,0.057,0.804
"13",0.05,1.89,"bayesian-n",100,0.038,0.814
"14",0.1,2.895,"fiducial-n",10,0.232,0.648
"15",0.1,2.995,"bayesian-n",10,0.231,0.636
"16",0.1,1.05,"fiducial-n",50,0.442,0.273
"17",0.1,1.048,"bayesian-n",50,0.448,0.267
"18",0.1,1.926,"fiducial-n",100,0.007,0.942
"19",0.1,1.899,"bayesian-n",100,0.006,0.918
"20",0.2,2.928,"fiducial-n",10,0.046,0.846
"21",0.2,3.103,"bayesian-n",10,0.052,0.86
"22",0.2,0.793,"fiducial-n",50,0.093,0.535
"23",0.2,0.772,"bayesian-n",50,0.084,0.526
"24",0.2,0.381,"fiducial-n",100,0.214,0.156
"25",0.2,0.399,"bayesian-n",100,0.208,0.181
"26",0.4,1.012,"fiducial-n",10,0.184,0.511
"27",0.4,1.06,"bayesian-n",10,0.167,0.531
"28",0.4,1.012,"fiducial-n",50,0,0.854
"29",0.4,1.013,"bayesian-n",50,0,0.869
"30",0.4,0.062,"fiducial-n",100,0.037,0.025
"31",0.4,0.05,"bayesian-n",100,0.021,0.029
"32",0.5,1.085,"fiducial-n",10,0.719,0.058
"33",0.5,1.111,"bayesian-n",10,0.75,0.043
"34",0.5,0.718,"fiducial-n",50,0,0.707
"35",0.5,0.721,"bayesian-n",50,0,0.705
"36",0.5,0.691,"fiducial-n",100,0.691,0
"37",0.5,0.71,"bayesian-n",100,0.71,0
"38",0.6,0.712,"fiducial-n",10,0.068,0.513
"39",0.6,0.709,"bayesian-n",10,0.077,0.49
"40",0.6,0.168,"fiducial-n",50,0.002,0.166
"41",0.6,0.159,"bayesian-n",50,0.001,0.158
"42",0.6,0,"fiducial-n",100,0,0
"43",0.6,0,"bayesian-n",100,0,0
"44",0.7,0.788,"fiducial-n",10,0,0.677
"45",0.7,0.784,"bayesian-n",10,0,0.666
"46",0.7,0.003,"fiducial-n",50,0.002,0.001
"47",0.7,0.004,"bayesian-n",50,0.003,0.001
"48",0.7,0,"fiducial-n",100,0,0
"49",0.7,0,"bayesian-n",100,0,0
"50",0.8,0.221,"fiducial-n",10,0,0.216
"51",0.8,0.224,"bayesian-n",10,0,0.218
"52",0.8,0,"fiducial-n",50,0,0
"53",0.8,0,"bayesian-n",50,0,0
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.004,"fiducial-n",10,0,0.004
"57",0.9,0.004,"bayesian-n",10,0,0.004
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0.001,"fiducial-n",10,0,0.001
"63",0.95,0.002,"bayesian-n",10,0,0.002
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
