"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,9.007,"fiducial-n",10,0.451,0.508
"3",0.01,11.755,"bayesian-n",10,0.245,0.718
"4",0.01,3.559,"fiducial-n",50,0.586,0.337
"5",0.01,3.462,"bayesian-n",50,0.529,0.387
"6",0.01,4.028,"fiducial-n",100,0.097,0.815
"7",0.01,4.63,"bayesian-n",100,0.103,0.837
"8",0.05,5.818,"fiducial-n",10,0.124,0.815
"9",0.05,6.334,"bayesian-n",10,0.095,0.849
"10",0.05,1.636,"fiducial-n",50,0.603,0.208
"11",0.05,1.691,"bayesian-n",50,0.635,0.203
"12",0.05,1.243,"fiducial-n",100,0.634,0.13
"13",0.05,1.329,"bayesian-n",100,0.663,0.135
"14",0.1,4.693,"fiducial-n",10,0.071,0.867
"15",0.1,4.973,"bayesian-n",10,0.057,0.893
"16",0.1,1.026,"fiducial-n",50,0.467,0.237
"17",0.1,1.04,"bayesian-n",50,0.465,0.261
"18",0.1,0.672,"fiducial-n",100,0.315,0.256
"19",0.1,0.65,"bayesian-n",100,0.313,0.243
"20",0.2,1.582,"fiducial-n",10,0.277,0.504
"21",0.2,1.651,"bayesian-n",10,0.266,0.532
"22",0.2,0.637,"fiducial-n",50,0.306,0.242
"23",0.2,0.596,"bayesian-n",50,0.29,0.245
"24",0.2,0.465,"fiducial-n",100,0.059,0.383
"25",0.2,0.446,"bayesian-n",100,0.06,0.363
"26",0.4,1.192,"fiducial-n",10,0.116,0.619
"27",0.4,1.174,"bayesian-n",10,0.142,0.591
"28",0.4,0.411,"fiducial-n",50,0.029,0.363
"29",0.4,0.433,"bayesian-n",50,0.031,0.38
"30",0.4,0.381,"fiducial-n",100,0,0.38
"31",0.4,0.369,"bayesian-n",100,0,0.369
"32",0.5,0.799,"fiducial-n",10,0.494,0.146
"33",0.5,0.745,"bayesian-n",10,0.488,0.125
"34",0.5,0.593,"fiducial-n",50,0.001,0.584
"35",0.5,0.594,"bayesian-n",50,0,0.586
"36",0.5,0.054,"fiducial-n",100,0,0.054
"37",0.5,0.052,"bayesian-n",100,0,0.052
"38",0.6,2.415,"fiducial-n",10,0,0.996
"39",0.6,2.374,"bayesian-n",10,0,0.992
"40",0.6,0.077,"fiducial-n",50,0.071,0.006
"41",0.6,0.071,"bayesian-n",50,0.062,0.009
"42",0.6,0.001,"fiducial-n",100,0.001,0
"43",0.6,0,"bayesian-n",100,0,0
"44",0.7,0.387,"fiducial-n",10,0,0.363
"45",0.7,0.392,"bayesian-n",10,0,0.366
"46",0.7,0.004,"fiducial-n",50,0,0.004
"47",0.7,0.005,"bayesian-n",50,0,0.005
"48",0.7,0,"fiducial-n",100,0,0
"49",0.7,0,"bayesian-n",100,0,0
"50",0.8,0.601,"fiducial-n",10,0.594,0.007
"51",0.8,0.652,"bayesian-n",10,0.646,0.006
"52",0.8,0,"fiducial-n",50,0,0
"53",0.8,0,"bayesian-n",50,0,0
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.015,"fiducial-n",10,0,0.015
"57",0.9,0.017,"bayesian-n",10,0,0.017
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0,"fiducial-n",10,0,0
"63",0.95,0,"bayesian-n",10,0,0
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
