"","P","MD","parameter","data_size","upper_p","lower_p"
"1",NA,NA,NA,NA,NA,NA
"2",0.01,9.485,"fiducial-n",10,0.419,0.541
"3",0.01,11.908,"bayesian-n",10,0.234,0.737
"4",0.01,3.726,"fiducial-n",50,0.4,0.507
"5",0.01,3.782,"bayesian-n",50,0.33,0.557
"6",0.01,2.829,"fiducial-n",100,0.269,0.608
"7",0.01,3.056,"bayesian-n",100,0.242,0.646
"8",0.05,5.175,"fiducial-n",10,0.887,0.093
"9",0.05,4.737,"bayesian-n",10,0.863,0.098
"10",0.05,1.584,"fiducial-n",50,0.545,0.274
"11",0.05,1.574,"bayesian-n",50,0.545,0.278
"12",0.05,1.774,"fiducial-n",100,0.837,0.037
"13",0.05,1.853,"bayesian-n",100,0.826,0.05
"14",0.1,2.979,"fiducial-n",10,0.789,0.139
"15",0.1,2.919,"bayesian-n",10,0.792,0.134
"16",0.1,1.55,"fiducial-n",50,0.77,0.069
"17",0.1,1.565,"bayesian-n",50,0.796,0.066
"18",0.1,0.672,"fiducial-n",100,0.27,0.299
"19",0.1,0.686,"bayesian-n",100,0.251,0.315
"20",0.2,2.307,"fiducial-n",10,0.123,0.735
"21",0.2,2.354,"bayesian-n",10,0.13,0.738
"22",0.2,1.473,"fiducial-n",50,0.896,0.006
"23",0.2,1.489,"bayesian-n",50,0.88,0.005
"24",0.2,0.467,"fiducial-n",100,0.071,0.377
"25",0.2,0.492,"bayesian-n",100,0.069,0.389
"26",0.4,1.099,"fiducial-n",10,0.134,0.576
"27",0.4,1.147,"bayesian-n",10,0.143,0.599
"28",0.4,0.448,"fiducial-n",50,0.021,0.407
"29",0.4,0.417,"bayesian-n",50,0.015,0.391
"30",0.4,0.075,"fiducial-n",100,0.049,0.026
"31",0.4,0.068,"bayesian-n",100,0.048,0.02
"32",0.5,0.697,"fiducial-n",10,0.266,0.324
"33",0.5,0.664,"bayesian-n",10,0.254,0.327
"34",0.5,0.698,"fiducial-n",50,0.693,0.003
"35",0.5,0.713,"bayesian-n",50,0.711,0
"36",0.5,0.289,"fiducial-n",100,0,0.289
"37",0.5,0.272,"bayesian-n",100,0,0.272
"38",0.6,1.238,"fiducial-n",10,0,0.823
"39",0.6,1.275,"bayesian-n",10,0,0.845
"40",0.6,0.072,"fiducial-n",50,0.002,0.07
"41",0.6,0.074,"bayesian-n",50,0.005,0.069
"42",0.6,0.004,"fiducial-n",100,0.004,0
"43",0.6,0.006,"bayesian-n",100,0.006,0
"44",0.7,0.388,"fiducial-n",10,0.181,0.195
"45",0.7,0.389,"bayesian-n",10,0.161,0.216
"46",0.7,0.003,"fiducial-n",50,0,0.003
"47",0.7,0,"bayesian-n",50,0,0
"48",0.7,0,"fiducial-n",100,0,0
"49",0.7,0,"bayesian-n",100,0,0
"50",0.8,0.181,"fiducial-n",10,0,0.178
"51",0.8,0.172,"bayesian-n",10,0,0.17
"52",0.8,0,"fiducial-n",50,0,0
"53",0.8,0,"bayesian-n",50,0,0
"54",0.8,0,"fiducial-n",100,0,0
"55",0.8,0,"bayesian-n",100,0,0
"56",0.9,0.004,"fiducial-n",10,0,0.004
"57",0.9,0.005,"bayesian-n",10,0,0.005
"58",0.9,0,"fiducial-n",50,0,0
"59",0.9,0,"bayesian-n",50,0,0
"60",0.9,0,"fiducial-n",100,0,0
"61",0.9,0,"bayesian-n",100,0,0
"62",0.95,0.001,"fiducial-n",10,0,0.001
"63",0.95,0,"bayesian-n",10,0,0
"64",0.95,0,"fiducial-n",50,0,0
"65",0.95,0,"bayesian-n",50,0,0
"66",0.95,0,"fiducial-n",100,0,0
"67",0.95,0,"bayesian-n",100,0,0
"68",0.99,0,"fiducial-n",10,0,0
"69",0.99,0,"bayesian-n",10,0,0
"70",0.99,0,"fiducial-n",50,0,0
"71",0.99,0,"bayesian-n",50,0,0
"72",0.99,0,"fiducial-n",100,0,0
"73",0.99,0,"bayesian-n",100,0,0
