"","lower_p","upper_p","n_value","iteration_number"
"2",0.688571107574114,0.689054344793895,98,0
"3",0.681018874903157,0.682631959495371,99,0
"4",0.673638336127727,0.676323653635128,100,0
"5",0.666423194920456,0.670126659212092,101,0
"6",0.659367503268249,0.664038278260857,102,0
"7",0.652465633095749,0.658055882641385,103,0
"8",0.645712251145577,0.652176913507807,104,0
"9",0.639102296625875,0.646398880519648,105,0
"10",0.632630961225313,0.640719360847868,106,0
"11",0.626293671166386,0.635135998019138,107,0
"12",0.62062815656677,0.629611825172228,108,0
"13",0.615301188330232,0.623427328851097,109,0
"14",0.61006274758962,0.61736685308673,110,0
"15",0.604910739148645,0.611426512792806,111,0
"16",0.599843127730384,0.605602596843874,112,0
"17",0.594857936306752,0.599891557299203,113,0
"18",0.589953244435162,0.594289999530298,114,0
"19",0.585127186609958,0.588794673153076,115,0
"20",0.580377950634731,0.583402463679139,116,0
"21",0.575703776020417,0.578110384811978,117,0
"22",0.571102952413077,0.572915571323411,118,0
"23",0.566573818054359,0.567815272453691,119,0
"24",0.562114758276984,0.562806845785555,120,0
"25",0.557724204036941,0.557887751548414,121,0
"26",0.688571107574114,0.689054344793895,98,0
"31",0.681018874903157,0.682631959495371,99,0
"41",0.673638336127727,0.676323653635128,100,0
"51",0.666423194920456,0.670126659212092,101,0
"61",0.659367503268249,0.664038278260857,102,0
"71",0.652465633095749,0.658055882641385,103,0
"81",0.645712251145577,0.652176913507807,104,0
"91",0.639102296625875,0.646398880519648,105,0
"101",0.632630961225313,0.640719360847868,106,0
"111",0.626293671166386,0.635135998019138,107,0
"121",0.62062815656677,0.629611825172228,108,0
"131",0.615301188330232,0.623427328851097,109,0
"141",0.61006274758962,0.61736685308673,110,0
"151",0.604910739148645,0.611426512792806,111,0
"161",0.599843127730384,0.605602596843874,112,0
"171",0.594857936306752,0.599891557299203,113,0
"181",0.589953244435162,0.594289999530298,114,0
"191",0.585127186609958,0.588794673153076,115,0
"201",0.580377950634731,0.583402463679139,116,0
"211",0.575703776020417,0.578110384811978,117,0
"221",0.571102952413077,0.572915571323411,118,0
"231",0.566573818054359,0.567815272453691,119,0
"241",0.562114758276984,0.562806845785555,120,0
"251",0.557724204036941,0.557887751548414,121,0
"27",0.688571107574114,0.689054344793895,98,2
"32",0.681018874903157,0.682631959495371,99,2
"42",0.673638336127727,0.676323653635128,100,2
"52",0.666423194920456,0.670126659212092,101,2
"62",0.659367503268249,0.664038278260857,102,2
"72",0.652465633095749,0.658055882641385,103,2
"82",0.645712251145577,0.652176913507807,104,2
"92",0.639102296625875,0.646398880519648,105,2
"102",0.632630961225313,0.640719360847868,106,2
"112",0.626293671166386,0.635135998019138,107,2
"122",0.62062815656677,0.629611825172228,108,2
"132",0.615301188330232,0.623427328851097,109,2
"142",0.61006274758962,0.61736685308673,110,2
"152",0.604910739148645,0.611426512792806,111,2
"162",0.599843127730384,0.605602596843874,112,2
"172",0.594857936306752,0.599891557299203,113,2
"182",0.589953244435162,0.594289999530298,114,2
"192",0.585127186609958,0.588794673153076,115,2
"202",0.580377950634731,0.583402463679139,116,2
"212",0.575703776020417,0.578110384811978,117,2
"222",0.571102952413077,0.572915571323411,118,2
"232",0.566573818054359,0.567815272453691,119,2
"242",0.562114758276984,0.562806845785555,120,2
"252",0.557724204036941,0.557887751548414,121,2
"28",0.627338849445789,0.627365915213002,107,3
"33",0.621595437126779,0.62174689858652,108,3
"29",0.627338849445789,0.627344821152615,107,4
"210",0.627338849445789,0.627357300308107,107,5
"213",0.632465435148301,0.632595422040011,106,6
"34",0.626302906764823,0.626848525828448,107,6
"214",0.638752989368446,0.638840720151409,105,7
"35",0.632465435148301,0.632639582072645,106,7
"215",0.663891465248356,0.664077274200104,101,8
"36",0.657366952960556,0.657736573932295,102,8
"43",0.651005568920746,0.65151452469827,103,8
"53",0.644817131930824,0.645369417632813,104,8
"63",0.638744813231233,0.639043456520919,105,8
"73",0.632785397068596,0.632842052817554,106,8
"216",0.638689657326679,0.63886901020924,105,9
"217",0.650962575436842,0.651442093788905,103,10
"37",0.644508905616818,0.644581810922967,104,10
"218",0.644903301317346,0.645173731364974,104,11
"38",0.638850368201786,0.638923515722828,105,11
