"","lower_p","upper_p","n_value","iteration_number"
"2",0.822429227319316,0.848064094755105,16,0
"3",0.764093624565646,0.812105224050185,17,0
"4",0.731269935357768,0.775235474297831,18,0
"5",0.700805133047073,0.726869926915537,19,0
"6",0.672532814728947,0.684863199691706,20,0
"7",0.646275494107905,0.647838009388221,21,0
"21",0.822429227319316,0.848064094755105,16,2
"31",0.764093624565646,0.812105224050185,17,2
"41",0.731269935357768,0.775235474297831,18,2
"51",0.700805133047073,0.726869926915537,19,2
"61",0.672532814728947,0.684863199691706,20,2
"71",0.646275494107905,0.647838009388221,21,2
"22",0.748465635949993,0.751243469882823,16,3
"23",0.663096887169267,0.667151816717495,16,4
"24",0.680482172312746,0.681049125369219,16,5
"25",0.640530356036045,0.641439226843512,16,6
"26",0.640530356036045,0.64170580042276,16,7
"27",0.641494589930111,0.64170580042276,16,8
"28",0.613755967847609,0.61655695917772,16,9
"29",0.616153254948696,0.61655695917772,16,10
"210",0.637918003202508,0.63927668084157,16,11
"211",0.649826778473077,0.654160563974996,16,12
"212",0.628566205723232,0.630308665403116,16,13
"213",0.581943108525217,0.583698400969313,17,14
"214",0.583106869823974,0.583698400969313,17,15
"215",0.591731376294636,0.597247780643593,17,16
"216",0.604049179977885,0.612543880881805,17,17
"217",0.605841404937775,0.605935214625601,17,18
"218",0.606096956798741,0.606991926674482,17,19
"219",0.606046599015532,0.606163495370618,17,20
"220",0.57243177375409,0.572509774086805,18,21
"221",0.57243177375409,0.572522307563537,18,22
"222",0.572331601408866,0.572522307563537,18,23
"223",0.580987662740319,0.583595053440382,18,24
"32",0.541763971696115,0.542186715372186,19,24
"224",0.569057601493763,0.570947173709956,18,25
"225",0.56973550281723,0.570947173709956,18,26
"226",0.723015974218893,0.725450565582717,17,27
"227",0.695789379018567,0.701506692058458,17,28
"228",0.655272026803906,0.657355763655174,18,29
"229",0.621770939999014,0.625024463110715,18,30
"230",0.6708963995978,0.671118132446496,18,31
"231",0.670932744997591,0.671118132446496,18,32
"232",0.656019546727664,0.657959094571706,18,33
"233",0.672058363021909,0.672233950921157,18,34
"234",0.681968351209154,0.683679551142492,18,35
"235",0.712797874847,0.713033540387049,18,36
"236",0.712797874847,0.713033540387049,18,37
"237",0.712797874847,0.713033540387049,18,38
"238",0.717045467909976,0.717544685959155,17,39
