"","lower_p","upper_p","n_value","iteration_number"
"2",0.822429227319316,0.848064094755105,16,0
"3",0.764093624565646,0.812105224050185,17,0
"4",0.731269935357768,0.775235474297831,18,0
"5",0.700805133047073,0.726869926915537,19,0
"6",0.672532814728947,0.684863199691706,20,0
"7",0.646275494107905,0.647838009388221,21,0
"21",0.822429227319316,0.848064094755105,16,2
"31",0.764093624565646,0.812105224050185,17,2
"41",0.731269935357768,0.775235474297831,18,2
"51",0.700805133047073,0.726869926915537,19,2
"61",0.672532814728947,0.684863199691706,20,2
"71",0.646275494107905,0.647838009388221,21,2
"22",0.775069390716613,0.777574273142715,16,3
"23",0.718168210539451,0.72159365545924,16,4
"24",0.729567042742313,0.730127366631721,16,5
"25",0.703402977231836,0.704214482295456,16,6
"26",0.666694441364464,0.675695315276631,16,7
"27",0.676122781145111,0.676347823151362,16,8
"28",0.736534787332096,0.738652898507512,15,9
"29",0.777485245214301,0.77822495029271,15,10
"210",0.762428068939058,0.764147641521262,15,11
"211",0.762067329408912,0.764147641521262,15,12
"212",0.762067329408912,0.767009774531263,15,13
"213",0.716907319539508,0.720051370242982,16,14
"214",0.718999216754222,0.720051370242982,16,15
"215",0.677396515393167,0.679157631780688,17,16
"216",0.712857430192219,0.715509347962432,16,17
"217",0.671889867358838,0.672815902400808,17,18
"218",0.676263073068923,0.678601538126846,17,19
"219",0.695323629052243,0.696173908923797,16,20
"220",0.695323629052243,0.695339141113929,16,21
"221",0.70924310038646,0.709309465929342,16,22
"222",0.709104602386062,0.709309465929342,16,23
"223",0.680164711938529,0.685717332562265,16,24
"224",0.652116561583113,0.65268051640204,16,25
"225",0.638930315040353,0.641260465500699,16,26
"226",0.693205265172896,0.696769305105966,16,27
"227",0.712755540432409,0.713399228625778,16,28
"228",0.713482136710691,0.716280119555773,16,29
"229",0.713482136710691,0.715536288534238,16,30
"230",0.73185440922121,0.733749678788735,16,31
"231",0.733381428073088,0.733749678788735,16,32
"232",0.719189616080358,0.723405100383388,16,33
"233",0.705031360427471,0.705902627682695,16,34
"234",0.764768017055288,0.767070442043285,15,35
"235",0.724546057862497,0.726858786782616,15,36
"236",0.726322928428406,0.726858786782616,15,37
"237",0.674422488327223,0.674737216983189,15,38
"238",0.631855424723482,0.639613748149446,16,39
